"Certified Utilities Net Generation and Total Disposition (MWh), 2012",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Chignik Lake Electric Utility,Chignik Lake,395,0,NA,395,325,NA,27,13,30,pce,NA
Chitina Electric Inc,Chitina,572,0,NA,572,487,NA,7,43,35,pce,NA
Chugach Electric Assn Inc,Anchorage,2248022,523476,10996,2782494,1178836,1427887,NA,9063,166708,eia,"In addition to Anchorage, CEA serves eight communities."
Circle Electric Utility,Circle,397,27,NA,424,356,NA,0,2,66,pce,NA
Copper Valley Elec Assn Inc,Valdez,90419,NA,0,90419,83274,NA,NA,217,6928,eia,"In addition to Valdez, the CVEA service area includes 14 communities."
Cordova Electric Cooperative,"Cordova, Eyak",28915,0,NA,28915,25614,NA,0,504,2797,pce,NA
Diomede Joint Utilities,Diomede,552,0,NA,552,505,NA,16,31,0,pce,NA
Egegik Light & Power Co,Egegik,611,0,NA,611,564,NA,0,2,45,pce,NA
Elfin Cove Utility Commission,Elfin Cove,296,0,NA,296,246,NA,0,33,17,pce,NA
"False Pass, City of",False Pass,620,0,NA,620,495,NA,0,44,81,pce,NA
Fire Island Wind LLC,Anchorage,18039,0,0,18039,0,18039,0,0,0,AEA,Independent Power Producer sells power to Chugach Electric Association.
"Galena, City of",Galena,5903,0,NA,5903,4600,NA,0,165,1138,pce,NA
G & K Inc,Cold Bay,3009,0,NA,3009,2678,NA,0,165,166,pce,NA
Gold Country Energy,Central,543,0,NA,543,444,NA,0,15,84,pce,NA
Golden Valley Elec Assn Inc,Fairbanks,824229,554507,364,1379100,1293507,281,NA,9664,75648,eia,"In addition to Fairbanks, the GVEA service are includes 25 communities."
Golovin Power Utilities,Golovin,840,0,NA,840,727,NA,29,28,56,pce,NA
Gustavus Electric Co,Gustavus,2201,0,NA,2201,1861,NA,0,41,299,pce,NA
Gwitchyaa Zhee Utilities Company,Fort Yukon,3490,0,NA,3490,2767,NA,0,44,679,pce,NA
Homer Electric Assn Inc,Homer,253,526517,0,526770,489669,NA,NA,2233,34868,eia,"In addition to Homer, HEA serves 24 communities."
Hughes Power & Light,Hughes,435,0,NA,435,331,NA,2,37,65,pce,NA
Igiugig Electric Company,Igiugig,352,0,NA,352,292,NA,0,16,44,pce,NA
"I-N-N Electric Coop, Inc","Iliamna, Newhalen, Nondalton",4334,0,NA,4334,3397,NA,0,413,524,pce,NA
Inside Passage Electric,Angoon,1879,0,NA,1879,1664,NA,0,65,150,pce,NA
Inside Passage Electric,Chilkat Valley,1059,725,NA,1784,1116,357,0,64,247,pce,NA
Inside Passage Electric,Hoonah,4746,0,NA,4746,4302,NA,0,77,367,pce,NA
Inside Passage Electric,Kake,3020,0,NA,3020,2739,NA,0,50,231,pce,NA
Inside Passage Electric,Klukwan,0,357,NA,357,357,NA,0,0,0,pce,NA
Ipnatchiaq Electric Company,Deering,750,0,NA,750,645,NA,3,16,86,pce,NA
Ketchikan Public Utilities,"Ketchikan, Petersburg, Wrangell",85819,94372,0,180191,172190,NA,2268,114,5619,eia,NA
"King Cove, City of",King Cove,5128,0,NA,5128,4299,NA,0,73,756,pce,NA
Kipnuk Light Plant,Kipnuk,1510,0,NA,1510,1325,NA,72,20,93,pce,NA
Kobuk Valley Electric Company,Kobuk,0,588,NA,588,555,NA,0,0,33,pce,NA
Kodiak Electric Assn Inc,Kodiak,152608,NA,0,152608,144595,NA,NA,619,7394,eia,"The KEA service area also includes: Port Lions, Chiniak, Womens Bay and Woody Island."
Kokhanok Village Council,Kokhanok,507,0,NA,507,407,NA,20,31,49,pce,NA
Kotzebue Electric Association,Kotzebue,23195,0,NA,23195,21157,NA,0,519,1519,pce,NA
"Koyukuk, City of",Koyukuk,321,0,NA,321,275,NA,1,0,45,pce,NA
Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,Kwethluk,1480,0,NA,1480,1117,NA,121,42,200,pce,NA
Kwigillingok Power Company,Kwigillingok,1153,0,NA,1153,989,NA,31,49,84,pce,NA
Larsen Bay Utility Company,Larsen Bay,1166,0,NA,1166,632,NA,118,19,397,pce,NA
Levelock Electrical Coop,Levelock,498,0,NA,498,345,NA,13,42,98,pce,NA
Lime Village Electric Utility,Lime Village,76,0,NA,76,57,NA,0,2,17,pce,NA
Manokotak Power Company,Manokotak,1433,0,NA,1433,1265,NA,31,59,78,pce,NA
Matanuska Electric Association,"Palmer, Wasilla",NA,782906,0,782906,726487,NA,NA,3065,53354,eia,MEA services 29 communities including Palmer and Wasilla.
Mcgrath Light & Power,McGrath,2818,0,NA,2818,2562,NA,4,63,189,pce,NA
Middle Kuskokwim Electric,Chuathbaluk,272,0,NA,272,271,NA,0,1,0,pce,NA
Middle Kuskokwim Electric,Crooked Creek,299,0,NA,299,236,NA,0,0,63,pce,NA
Middle Kuskokwim Electric,Red Devil,119,0,NA,119,83,NA,0,2,34,pce,NA
Middle Kuskokwim Electric,Sleetmute,271,0,NA,271,245,NA,0,15,11,pce,NA
Middle Kuskokwim Electric,Stony River,141,0,NA,141,101,NA,0,3,37,pce,NA
Naknek Electric Association,"Naknek, South Naknek, King Salmon",19934,0,NA,19934,18190,NA,0,589,1155,pce,NA
Napakiak Ircinraq,Napakiak,0,690,NA,690,633,NA,2,2,53,pce,NA
Napaskiak Electric Utility,Napaskiak,811,0,NA,811,675,NA,62,34,40,pce,NA
Naterkaq Light Plant (City of Chefornak),Chefornak,1892,0,NA,1892,1098,NA,62,45,687,pce,NA
Native Village of Perryville,Perryville,462,0,NA,462,384,NA,17,7,54,pce,NA
Nelson Lagoon Electrical Coop,Nelson Lagoon,393,0,NA,393,339,NA,0,3,51,pce,NA
New Koliganek Village Council,Koliganek,680,0,NA,680,624,NA,0,23,33,pce,NA
"Nikolai, City of",Nikolai,434,0,NA,434,367,NA,0,24,43,pce,NA
Nome Joint Utility Systems,Nome,35951,1052,NA,37003,33333,NA,0,1420,2250,pce,NA
North Slope Borough Power & Light,Anaktuvuk Pass,4251,0,NA,4251,3764,NA,0,206,281,pce,NA
North Slope Borough Power & Light,Atqasuk,3616,0,NA,3616,3519,NA,0,92,5,pce,NA
North Slope Borough Power & Light,Kaktovik,5901,0,NA,5901,5729,NA,0,173,-1,pce,NA
North Slope Borough Power & Light,Nuiqsut,6105,0,NA,6105,5572,NA,0,386,147,pce,NA
North Slope Borough Power & Light,Point Hope,6681,0,NA,6681,5231,NA,0,344,1106,pce,NA
North Slope Borough Power & Light,Point Lay,3618,0,NA,3618,3194,NA,0,390,34,pce,NA
North Slope Borough Power & Light,Wainwright,6804,0,NA,6804,5461,NA,0,428,915,pce,NA
Nunam Iqua Electric Company,Nunam Iqua,904,0,NA,904,823,NA,12,25,44,pce,NA
Nushagak Electric Cooperative,"Dillingham, Aleknagik",19352,0,NA,19352,18315,NA,0,187,850,pce,NA
"Ouzinkie, City of",Ouzinkie,587,171,NA,758,706,NA,0,20,32,pce,NA
Pedro Bay Village Council,Pedro Bay,204,0,NA,204,175,NA,0,11,18,pce,NA
Pelican Utility,Pelican,847,0,NA,847,756,NA,1,27,63,pce,NA
"Petersburg, City of",Petersburg,14162,41126,0,55288,49772,NA,NA,1103,4413,eia,NA
Pilot Point Electric Utility,Pilot Point,480,0,NA,480,410,NA,0,21,49,pce,NA
Port Heiden Utilities,Port Heiden,688,0,NA,688,653,NA,0,31,4,pce,NA
Puvurnaq Power Company,Kongiganak,1236,0,NA,1236,917,NA,10,38,271,pce,NA
"Ruby, City of",Ruby,701,0,NA,701,675,NA,0,25,1,pce,NA
"Saint George, City of",Saint George,788,0,NA,788,613,NA,10,53,112,pce,NA
Saint Paul Municipal Electric,Saint Paul,4701,0,NA,4701,3931,NA,0,168,602,pce,NA
"Seward, City of",Seward,71,65673,0,65744,58738,NA,NA,NA,7006,eia,"The City of Seward services the communities of Crown Point, Primrose, Bear Creek and Lowell Point."
"Sitka, City & Borough of",Sitka,117851,NA,0,117851,111401,NA,NA,NA,6450,eia,NA
Takotna Community Assoc Inc,Takotna,225,0,NA,225,178,NA,0,24,23,pce,NA
Tanalian Electric Cooperative,Port Alsworth,777,0,NA,777,709,NA,0,19,49,pce,NA
Tanana Power Company Inc,Tanana,1196,0,NA,1196,1077,NA,0,40,79,pce,NA
Tatitlek Village Ira Council,Tatitlek,529,0,NA,529,400,NA,14,48,67,pce,NA
TDX Adak Generating LLC,Adak,3656,0,NA,3656,2664,NA,0,0,992,pce,NA
TDX Corporation,Sand Point,4026,583,NA,4609,4059,NA,0,127,423,pce,NA
TDX Manley Generating LLC,Manley Hot Springs,486,0,NA,486,420,NA,0,11,55,pce,NA
"Tenakee Springs, City of",Tenakee Springs,420,0,NA,420,361,NA,0,3,56,pce,NA
Tuluksak Traditional,Tuluksak,691,0,NA,691,507,NA,11,56,117,pce,NA
Tuntutuliak Community,Tuntutuliak,1021,0,NA,1021,933,NA,14,33,41,pce,NA
Twin Hills Village Council,Twin Hills,318,0,NA,318,227,NA,12,22,57,pce,NA
Umnak Power Company,Nikolski,245,0,NA,245,216,NA,0,23,6,pce,NA
Unalakleet Valley Electric Cooperative,Unalakleet,4487,0,NA,4487,4108,NA,11,70,298,pce,NA
"Unalaska, City of",Unalaska,45270,0,NA,45270,42244,NA,0,1196,1830,pce,NA
Ungusraq Power Company,Newtok,509,0,NA,509,436,NA,9,6,58,pce,NA
"White Mountain, City of",White Mountain,789,0,NA,789,709,NA,0,29,51,pce,NA
"Wrangell, City of",Wrangell,434,37694,0,38128,35192,NA,NA,604,2332,eia,NA
Yakutat Power Inc,Yakutat,6306,0,NA,6306,5648,NA,0,172,486,pce,NA
