"Certified Utilities Revenue, Sales and Customers by Customer Type, 2012",...2,...3,...4,...5,...6,...7,...8,...9
Alaska Village Electric Cooperative,Old Harbor,0.62,0.41,0.22,0.65,pce,YES,NA
Twin Hills Village Council,Twin Hills,0.55000000000000004,0.41,0.15,0.73,pce,YES,NA
Chitina Electric Inc,Chitina,0.67,0.4,0.27,0.6,pce,YES,NA
Alaska Village Electric Cooperative,Nulato,0.62,0.4,0.22,0.65,pce,YES,NA
Alaska Village Electric Cooperative,Togiak,0.62,0.4,0.22,0.65,pce,YES,NA
Alaska Village Electric Cooperative,Mountain Village,0.61,0.4,0.21,0.65,pce,YES,NA
Alaska Village Electric Cooperative,Shishmaref,0.61,0.4,0.21,0.65,pce,YES,NA
Alaska Village Electric Cooperative,Stebbins,0.61,0.4,0.22,0.65,pce,YES,NA
Bethel Utilities Corporation,"Bethel, Oscarville",0.55000000000000004,0.4,0.16,0.71,pce,YES,NA
Alaska Power & Telephone Company,Whale Pass,0.63,0.39,0.24,0.62,pce,YES,NA
Alaska Village Electric Cooperative,Russian Mission,0.61,0.39,0.21,0.65,pce,YES,NA
Alaska Village Electric Cooperative,Hooper Bay,0.6,0.39,0.21,0.64,pce,YES,NA
Alaska Village Electric Cooperative,Koyuk,0.6,0.39,0.21,0.64,pce,YES,NA
Alaska Village Electric Cooperative,Pilot Station,0.6,0.39,0.21,0.65,pce,YES,NA
Atmautluak Tribal Utilities,Atmautluak,0.8,0.38,0.42,0.48,pce,YES,NA
Akiachak Native Community,Akiachak,0.6,0.38,0.22,0.63,pce,YES,NA
Alaska Village Electric Cooperative,Shaktoolik,0.6,0.38,0.21,0.64,pce,YES,NA
Alaska Village Electric Cooperative,Emmonak,0.59,0.38,0.21,0.64,pce,YES,NA
Alaska Village Electric Cooperative,Holy Cross,0.59,0.38,0.21,0.64,pce,YES,NA
Alaska Village Electric Cooperative,Huslia,0.59,0.38,0.21,0.64,pce,YES,NA
Mcgrath Light & Power,McGrath,0.59,0.38,0.2,0.65,pce,YES,NA
Alaska Power & Telephone Company,Naukati Bay,0.57999999999999996,0.38,0.2,0.65,pce,YES,NA
Akiak City Council,Akiak,0.63,0.37,0.26,0.57999999999999996,pce,YES,NA
Alaska Village Electric Cooperative,Elim,0.59,0.37,0.21,0.64,pce,YES,NA
Alaska Village Electric Cooperative,Marshall,0.57999999999999996,0.37,0.21,0.63,pce,YES,NA
Alaska Village Electric Cooperative,Pitkas Point,0.57999999999999996,0.37,0.21,0.63,pce,YES,NA
Alaska Village Electric Cooperative,"Saint Mary's, Andreafsky",0.57999999999999996,0.37,0.21,0.64,pce,YES,NA
Elfin Cove Utility Commission,Elfin Cove,0.78,0.36,0.42,0.47,pce,YES,NA
Ipnatchiaq Electric Company,Deering,0.7,0.36,0.34,0.52,pce,YES,NA
Puvurnaq Power Company,Kongiganak,0.65,0.36,0.28999999999999998,0.55000000000000004,pce,YES,NA
Alaska Village Electric Cooperative,Kasigluk,0.57999999999999996,0.36,0.21,0.63,pce,YES,NA
Alaska Village Electric Cooperative,Nunapitchuk,0.57999999999999996,0.36,0.21,0.63,pce,YES,NA
Alaska Village Electric Cooperative,Kaltag,0.56999999999999995,0.36,0.21,0.63,pce,YES,NA
Alaska Village Electric Cooperative,Nightmute,0.56999999999999995,0.36,0.21,0.63,pce,YES,NA
Alaska Village Electric Cooperative,Toksook Bay,0.56999999999999995,0.36,0.21,0.63,pce,YES,NA
Alaska Village Electric Cooperative,Tununak,0.56999999999999995,0.36,0.21,0.63,pce,YES,NA
Saint Paul Municipal Electric,Saint Paul,0.55000000000000004,0.36,0.19,0.65,pce,YES,NA
Chenega Ira Council,Chenega Bay,0.53,0.36,0.16,0.69,pce,YES,NA
New Koliganek Village Council,Koliganek,0.5,0.36,0.14000000000000001,0.72,pce,YES,NA
Pilot Point Electric Utility,Pilot Point,0.5,0.36,0.14000000000000001,0.72,pce,YES,NA
Golovin Power Utilities,Golovin,0.6,0.35,0.25,0.57999999999999996,pce,YES,NA
Kipnuk Light Plant,Kipnuk,0.56999999999999995,0.35,0.22,0.61,pce,YES,NA
Alaska Village Electric Cooperative,Gambell,0.56000000000000005,0.35,0.21,0.62,pce,YES,NA
Yakutat Power Inc,Yakutat,0.53,0.35,0.18,0.65,pce,YES,NA
"Chignik, City of",Chignik,0.51,0.35,0.16,0.68,pce,YES,NA
"Koyukuk, City of",Koyukuk,0.95,0.34,0.61,0.36,pce,YES,NA
Port Heiden Utilities,Port Heiden,0.75,0.34,0.41,0.45,pce,YES,NA
Naknek Electric Association,"Naknek, South Naknek, King Salmon",0.56000000000000005,0.34,0.22,0.61,pce,YES,NA
Alaska Village Electric Cooperative,Brevig Mission,0.55000000000000004,0.34,0.21,0.61,pce,YES,NA
Naterkaq Light Plant (City of Chefornak),Chefornak,0.69,0.33,0.36,0.48,pce,YES,NA
Alaska Village Electric Cooperative,Quinhagak,0.55000000000000004,0.33,0.21,0.61,pce,YES,NA
Alaska Village Electric Cooperative,Mekoryuk,0.54,0.33,0.21,0.61,pce,YES,NA
Alaska Village Electric Cooperative,Savoonga,0.54,0.33,0.21,0.61,pce,YES,NA
Nunam Iqua Electric Company,Nunam Iqua,0.53,0.33,0.2,0.62,pce,YES,NA
Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,Kwethluk,0.52,0.32,0.2,0.62,pce,YES,NA
"White Mountain, City of",White Mountain,0.62,0.31,0.31,0.5,pce,YES,NA
Alaska Village Electric Cooperative,Chevak,0.52,0.31,0.21,0.59,pce,YES,NA
Native Village of Perryville,Perryville,0.95,0.28999999999999998,0.66,0.31,pce,YES,NA
Alaska Power & Telephone Company,"Dot Lake, Dot Lake Village",0.48,0.28000000000000003,0.2,0.59,pce,YES,NA
Alaska Power & Telephone Company,Tetlin,0.48,0.28000000000000003,0.2,0.59,pce,YES,NA
Alaska Power & Telephone Company,"Tok, Tanacross",0.48,0.28000000000000003,0.2,0.59,pce,YES,NA
Nushagak Electric Cooperative,"Dillingham, Aleknagik",0.46,0.28000000000000003,0.18,0.61,pce,YES,NA
Kotzebue Electric Association,Kotzebue,0.43,0.27,0.16,0.64,pce,YES,NA
"Galena, City of",Galena,0.61,0.26,0.35,0.42,pce,YES,NA
"Buckland, City of",Buckland,0.47,0.26,0.21,0.56000000000000005,pce,YES,NA
Manokotak Power Company,Manokotak,0.55000000000000004,0.25,0.3,0.45,pce,YES,NA
"Ouzinkie, City of",Ouzinkie,0.44,0.25,0.19,0.56999999999999995,pce,YES,NA
"False Pass, City of",False Pass,0.42,0.25,0.17,0.6,pce,YES,NA
"I-N-N Electric Coop, Inc","Iliamna, Newhalen, Nondalton",0.6,0.23,0.38,0.38,pce,YES,NA
"Unalaska, City of",Unalaska,0.5,0.22,0.28000000000000003,0.44,pce,YES,NA
Unalakleet Valley Electric Cooperative,Unalakleet,0.41,0.21,0.2,0.51,pce,YES,NA
Gustavus Electric Co,Gustavus,0.44,0.19,0.26,0.42,pce,YES,NA
"Akutan, City of",Akutan,0.32,0.18,0.14000000000000001,0.56999999999999995,pce,YES,NA
Nome Joint Utility Systems,Nome,0.36,0.17,0.19,0.48,pce,YES,NA
Cordova Electric Cooperative,"Cordova, Eyak",0.42,0.15,0.28000000000000003,0.34,pce,YES,NA
Alaska Power & Telephone Company,Coffman Cove,0.28999999999999998,0.12,0.18,0.4,pce,YES,NA
"King Cove, City of",King Cove,0.3,0.09,0.21,0.28999999999999998,pce,YES,NA
Alaska Power & Telephone Company,"Craig, Klawock",0.25,0.08,0.17,0.3,pce,YES,NA
Alaska Power & Telephone Company,Hollis,0.25,0.08,0.17,0.3,pce,YES,NA
Alaska Power & Telephone Company,Hydaburg,0.25,0.08,0.17,0.31,pce,YES,NA
Alaska Power & Telephone Company,Klawock,0.25,0.08,0.17,0.3,pce,YES,NA
Alaska Power & Telephone Company,"Thorne Bay, Kasaan",0.25,0.08,0.17,0.3,pce,YES,NA
Alaska Power & Telephone Company,"Haines, Covenant Life",0.24,7.0000000000000007E-2,0.17,0.28000000000000003,pce,YES,NA
Larsen Bay Utility Company,Larsen Bay,0.44,0.06,0.38,0.13,pce,YES,NA
Alaska Power & Telephone Company,Skagway,0.24,0.06,0.17,0.27,pce,YES,NA
North Slope Borough Power & Light,Anaktuvuk Pass,0.15,0.01,0.14000000000000001,0.08,pce,YES,NA
North Slope Borough Power & Light,Atqasuk,0.15,0.01,0.14000000000000001,0.08,pce,YES,NA
North Slope Borough Power & Light,Kaktovik,0.15,0.01,0.14000000000000001,0.08,pce,YES,NA
North Slope Borough Power & Light,Point Hope,0.15,0.01,0.14000000000000001,0.08,pce,YES,NA
North Slope Borough Power & Light,Point Lay,0.15,0.01,0.14000000000000001,0.08,pce,YES,NA
North Slope Borough Power & Light,Wainwright,0.15,0.01,0.14000000000000001,0.08,pce,YES,NA
North Slope Borough Power & Light,Nuiqsut,0.08,0,0.08,0,pce,YES,NA
