"Certified Utilities Net Generation by Prime Mover (MWh), 2012",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12
Utility Name,Plant Name,Community Name,Fossil Fuel Turbines,Reciprocating Internal Combustion,Hydroelectric,Wind Turbine,Total Net Generation,Station Service Consumption,Gross Generation,Source,Notes
Alaska Village Electric Cooperative,Nulato,Nulato,0,1064,NA,0,1064,20,1084,pce,NA
Alaska Village Electric Cooperative,Old Harbor,Old Harbor,0,853,NA,0,853,29,882,pce,NA
Alaska Village Electric Cooperative,Pilot Station,Pilot Station,0,1814,NA,0,1814,19,1833,pce,NA
Alaska Village Electric Cooperative,Quinhagak,Quinhagak,0,1381,NA,536,1917,51,1968,pce,NA
Alaska Village Electric Cooperative,Russian Mission,Russian Mission,0,1034,NA,0,1034,20,1054,pce,NA
Alaska Village Electric Cooperative,Saint Mary's,"Saint Mary's, Andreafsky",0,3271,NA,0,3271,47,3318,pce,NA
Alaska Village Electric Cooperative,Saint Michael,Saint Michael,0,1798,NA,0,1798,45,1843,pce,NA
Alaska Village Electric Cooperative,Savoonga,Savoonga,0,1904,NA,242,2146,30,2176,pce,NA
Alaska Village Electric Cooperative,Scammon Bay,Scammon Bay,0,1649,NA,0,1649,32,1681,pce,NA
Alaska Village Electric Cooperative,Selawik,Selawik,0,3137,NA,95,3232,51,3283,pce,NA
Alaska Village Electric Cooperative,Shageluk,Shageluk,0,359,NA,0,359,9,368,pce,NA
Alaska Village Electric Cooperative,Shaktoolik,Shaktoolik,0,813,NA,148,961,66,1027,pce,NA
Alaska Village Electric Cooperative,Shishmaref,Shishmaref,0,1600,NA,0,1600,42,1642,pce,NA
Alaska Village Electric Cooperative,Shungnak,"Shungnak, Kobuk",0,1574,NA,0,1574,41,1615,pce,NA
Alaska Village Electric Cooperative,Stebbins,Stebbins,0,1414,NA,0,1414,30,1444,pce,NA
Alaska Village Electric Cooperative,Teller,Teller,0,819,NA,0,819,37,856,pce,NA
Alaska Village Electric Cooperative,Togiak,Togiak,0,3032,NA,0,3032,38,3070,pce,NA
Alaska Village Electric Cooperative,Toksook Bay,Toksook Bay,0,2546,NA,640,3186,178,3364,pce,NA
Alaska Village Electric Cooperative,Upper Kalskag,Kalskag,0,1411,NA,0,1411,35,1446,pce,Provides power to Lower Kalskag.
