"Certified Utilities Net Generation, Fuel Use, Fuel Cost and Efficiency",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14
North Slope Borough Power & Light,Atqasuk,Atqasuk,DFO,IC,3523,263562,36553,3.21,13,0.25,0.14000000000000001,pce,NA
North Slope Borough Power & Light,Kaktovik,Kaktovik,DFO,IC,5728,359559,49867,3.97,16,0.25,0.14000000000000001,pce,NA
North Slope Borough Power & Light,Nuiqsut,Nuiqsut,DFO,IC,2047,107604,14962,NA,19.03,NA,0.14000000000000001,eia,NA
North Slope Borough Power & Light,Nuiqsut,Nuiqsut,NG,IC,1416,10355,10355,NA,136.82,NA,1.02,eia,NA
North Slope Borough Power & Light,Point Hope,Point Hope,DFO,IC,6336,419223,58142,3.98,15,0.27,0.14000000000000001,pce,NA
North Slope Borough Power & Light,Point Lay,Point Lay,DFO,IC,3227,282718,39210,3.98,12,0.33,0.14000000000000001,pce,NA
North Slope Borough Power & Light,Wainwright,Wainwright,DFO,IC,6376,478961,66427,3.98,14,0.28000000000000003,0.14000000000000001,pce,NA
Nunam Iqua Electric Company,Sheldon Point,Nunam Iqua,DFO,IC,878,70398,9763,4.05,12,0.34,0.14000000000000001,pce,NA
Nushagak Electric Cooperative,Dillingham,"Dillingham, Aleknagik",DFO,IC,19164,1280536,177597,3.69,15,0.25,0.14000000000000001,pce,NA
"Ouzinkie, City of",Ouzinkie,Ouzinkie,DFO,IC,538,43914,6090,4.7300000000000004,12,0.39,0.14000000000000001,pce,NA
Pedro Bay Village Council,Pedro Bay,Pedro Bay,DFO,IC,192,20583,2854,5.78,9,0.64,0.14000000000000001,pce,NA
Pelican Utility,Pelican,Pelican,DFO,IC,820,60861,8440,4.62,13,0.36,0.14000000000000001,pce,NA
"Petersburg, City of",Blind Slough,Petersburg,DFO,IC,806,61782,8534,NA,13.05,NA,0.14000000000000001,eia,NA
"Petersburg, City of",Blind Slough,Petersburg,WAT,HY,13259,0,0,NA,NA,NA,NA,eia,NA
Pilot Point Electric Utility,Pilot Point,Pilot Point,DFO,IC,459,41294,5727,4.24,11,0.39,0.14000000000000001,pce,NA
Port Heiden Utilities,Port Heiden,Port Heiden,DFO,IC,657,63504,8807,4.5999999999999996,10,0.46,0.14000000000000001,pce,NA
Puvurnaq Power Company,Kongiganak,Kongiganak,DFO,IC,1009,84800,11760,4.53,12,0.38,0.14000000000000001,pce,NA
"Ruby, City of",Ruby,Ruby,DFO,IC,676,46495,6448,4.1900000000000004,15,0.28000000000000003,0.14000000000000001,pce,NA
"Saint George, City of",Saint George,Saint George,DFO,IC,734,59438,8243,6.3,13,0.48,0.14000000000000001,pce,NA
Saint Paul Municipal Electric,Saint Paul,Saint Paul,DFO,IC,4533,311072,43142,4.79,15,0.32,0.14000000000000001,pce,NA
"Seward, City of",Seward,Seward,DFO,IC,100,9492,1310,NA,10.54,NA,0.14000000000000001,eia,NA
"Sitka, City & Borough of",Blue Lake,Sitka,WAT,HY,55672,0,0,NA,NA,NA,NA,eia,NA
"Sitka, City & Borough of",Green Lake,Sitka,WAT,HY,57966,0,0,NA,NA,NA,NA,eia,NA
"Sitka, City & Borough of",Jarvis Street,Sitka,DFO,IC,1820,180936,25048,NA,10.06,NA,0.14000000000000001,eia,NA
Southeast Alaska Power Agency,Tyee Lake,"Wrangell, Petersburg, Ketchikan",WAT,HY,100440,0,0,NA,NA,0,NA,"aea, sepa",NA
Takotna Community Assoc Inc,Takotna,Takotna,DFO,IC,200,21173,2936,5.1100000000000003,10,0.51,0.14000000000000001,pce,NA
Tanalian Electric Cooperative,Port Alsworth,Port Alsworth,DFO,IC,758,64811,8988,5.43,11,0.49,0.14000000000000001,pce,NA
Tanana Power Company Inc,Tanana,Tanana,DFO,IC,1155,90966,12616,3.7,13,0.28000000000000003,0.14000000000000001,pce,NA
Tatitlek Village Ira Council,Tatitlek,Tatitlek,DFO,IC,480,44035,6107,5.01,12,0.42,0.14000000000000001,pce,NA
TDX Adak Generating LLC,Adak,Adak,DFO,IC,3656,280769,38939,4.76,13,0.37,0.14000000000000001,pce,NA
TDX Corporation,Sand Point,Sand Point,DFO,IC,3898,270725,37546,4.59,14,0.33,0.14000000000000001,pce,NA
TDX Manley Generating LLC,Manley Hot Springs,Manley Hot Springs,DFO,IC,474,39356,5458,3.85,12,0.32,0.14000000000000001,pce,NA
"Tenakee Springs, City of",Tenakee Springs,Tenakee Springs,DFO,IC,417,32363,4488,4.72,12,0.39,0.14000000000000001,pce,NA
Tuluksak Traditional,Tuluksak,Tuluksak,DFO,IC,635,51982,7209,4.1500000000000004,13,0.32,0.14000000000000001,pce,NA
Tuntutuliak Community,Tuntutuliak,Tuntutuliak,DFO,IC,955,95394,13230,4.58,10,0.46,0.14000000000000001,pce,NA
Twin Hills Village Council,Twin Hills,Twin Hills,DFO,IC,296,30093,4173,4.41,10,0.44,0.14000000000000001,pce,NA
Umnak Power Company,Nikolski,Nikolski,DFO,IC,222,23651,3280,5.66,10,0.56999999999999995,0.14000000000000001,pce,NA
Unalakleet Valley Electric Cooperative,Unalakleet,Unalakleet,DFO,IC,3478,237801,32980,3.64,14,0.26,0.14000000000000001,pce,NA
"Unalaska, City of",Unalaska Power Module,Unalaska,DFO,IC,44073,2873050,398463,3.59,15,0.24,0.14000000000000001,pce,NA
Ungusraq Power Company,Newtok,Newtok,DFO,IC,503,44937,6232,4.37,11,0.4,0.14000000000000001,pce,NA
"White Mountain, City of",White Mountain,White Mountain,DFO,IC,760,63221,8768,3.51,12,0.28999999999999998,0.14000000000000001,pce,NA
"Wrangell, City of",Wrangell,Wrangell,DFO,IC,434,47208,6184,NA,9.19,NA,0.14000000000000001,eia,NA
Yakutat Power Inc,Yakutat,Yakutat,DFO,IC,6133,421992,58526,4.3499999999999996,14,0.31,0.14000000000000001,pce,NA
