"Certified Utilities Net Generation, Fuel Use, Fuel Cost, and Efficiency, 2013",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14
Alaska Electric Light & Power Company,Gold Creek,Juneau,DFO,IC,14,1176,156,NA,11.9,NA,0.14000000000000001,EIA,NA
Alaska Electric Light & Power Company,Gold Creek,Juneau,WAT,HY,4690,0,44747,NA,NA,NA,NA,EIA,NA
Alaska Electric Light & Power Company,Lake Dorothy,Juneau,WAT,HY,82519,0,787313,NA,NA,NA,NA,EIA,NA
Alaska Electric Light & Power Company,Lemon Creek,Juneau,DFO,GT,231,28728,3907,NA,8.0399999999999991,NA,0.14000000000000001,EIA,NA
Alaska Electric Light & Power Company,Lemon Creek,Juneau,DFO,IC,200,16380,2226,NA,12.21,NA,0.14000000000000001,EIA,NA
Alaska Electric Light & Power Company,Salmon Creek 1,Juneau,WAT,HY,30072,0,286917,NA,NA,NA,NA,EIA,NA
Alaska Electric Light & Power Company,Snettisham,Juneau,WAT,HY,258832,0,2469519,NA,NA,NA,NA,EIA,NA
Alaska Environmental Power LLC,Delta Wind Farm,Fairbanks,WND,WT,1600,0,15265,NA,NA,NA,NA,EIA,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Alaska Power & Telephone Company,Allakaket,Allakaket,DFO,IC,697,57422,7963,6.15,12,0.51,0.14000000000000001,PCE,Provides power to Alatna via intertie. Includes Alatna's data.
Alaska Power & Telephone Company,Bettles,Bettles,DFO,IC,573,47322,6563,4.43,12,0.37,0.14000000000000001,PCE,Provides power to Evansville via intertie. Includes Evansville's data.
Alaska Power & Telephone Company,Black Bear Lake,Craig,WAT,HY,20540,0,195973,NA,NA,NA,NA,EIA,"Provides power to Hollis, Klawock, Thorne Bay, Kasaan and Hydaburg via intertie. Includes data for all communities."
Alaska Power & Telephone Company,Chistochina,Chistochina,DFO,IC,47,4132,573,3.7,12,0.31,0.14000000000000001,PCE,Receives power from Slana via intertie. Refer to Slana for fuel use and cost data.
Alaska Power & Telephone Company,Coffman Cove,Coffman Cove,DFO,IC,0,2426,336,4.12,7,0.59,0.14000000000000001,PCE,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost data.
Alaska Power & Telephone Company,Craig,Craig,DFO,IC,1445,114618,15899,NA,12.61,NA,0.14000000000000001,EIA,"Provides power to Hollis, Klawock, Thorne Bay, Kasaan and Hydaburg via intertie. Includes data for all communities."
Alaska Power & Telephone Company,Eagle,Eagle,DFO,IC,718,52528,7285,3.88,13,0.3,0.14000000000000001,PCE,Provides power to Eagle Village via intertie. Includes Eagle Village's data.
Alaska Power & Telephone Company,False Island,Thorne Bay,DFO,IC,1501,103572,14366,NA,14.49,NA,0.14000000000000001,EIA,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for Thorne Bay and Kaasan fuel use and cost data.
Alaska Power & Telephone Company,Goat Lake,Haines,WAT,HY,15521,0,148086,NA,NA,NA,NA,EIA,Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.
Alaska Power & Telephone Company,Haines,Haines,DFO,IC,844,83202,11539,NA,10.14,NA,0.14000000000000001,EIA,Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.
Alaska Power & Telephone Company,Healy Lake,Healy Lake,DFO,IC,34,7660,1062,4.3499999999999996,4,1.0900000000000001,0.14000000000000001,PCE,NA
Alaska Power & Telephone Company,Hydaburg,Hydaburg,DFO,IC,13,4746,659,NA,2.74,NA,0.14000000000000001,EIA,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost data.
Alaska Power & Telephone Company,Kasidaya Creek,Haines,WAT,HY,7405,0,70651,NA,NA,NA,NA,EIA,Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.
Alaska Power & Telephone Company,Mentasta Lake,Mentasta Lake,DFO,IC,0,84,11,3.75,11,0.34,0.14000000000000001,PCE,NA
Alaska Power & Telephone Company,Naukati Bay,Naukati Bay,DFO,IC,446,37388,5185,3.91,12,0.33,0.14000000000000001,PCE,NA
Alaska Power & Telephone Company,Northway,Northway Village,DFO,IC,1236,96876,13435,3.98,12,0.33,0.14000000000000001,PCE,Receives power from Northway via intertie. Refer to Northway for fuel use and cost data.
Alaska Power & Telephone Company,Skagway,Haines,DFO,IC,138,18186,2522,NA,7.59,NA,0.14000000000000001,EIA,Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.
Alaska Power & Telephone Company,Skagway,Skagway,DFO,IC,188,22087,3063,3.96,13,0.3,0.14000000000000001,PCE,Part of the Alaska Power Company's grid in the UpperLynn Canal service area.
Alaska Power & Telephone Company,Slana,Slana,DFO,IC,1273,109596,15199,3.72,11,0.34,0.14000000000000001,PCE,Provides power to Chistochina via intertie. Includes Chistochina's data.
Alaska Power & Telephone Company,South Fork,Craig,WAT,HY,5715,0,54525,NA,NA,NA,NA,EIA,"Provides power to Hollis, Klawock, Thorne Bay, Kasaan and Hydaburg via intertie. Includes data for all communities."
Alaska Power & Telephone Company,Thorne Bay Plant,Thorne Bay,DFO,IC,76,9996,1386,NA,7.6,NA,0.14000000000000001,EIA,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for Thorne Bay and Kaasan fuel use and cost data.
Alaska Power & Telephone Company,Tok,Tok,DFO,IC,9753,696292,96568,3.76,14,0.27,0.14000000000000001,PCE,"Provides power to Tanacross, Tetlin, Dot Lake, and Dot Lake Village via intertie. Includes data for all communities."
Alaska Power & Telephone Company,Viking,Craig,DFO,IC,-12,1554,213,NA,NA,NA,0.14000000000000001,EIA,"Provides power to Hollis, Klawock, Thorne Bay, Kasaan and Hydaburg via intertie. Includesdata for all communities."
Alaska Power & Telephone Company,Whale Pass,Whale Pass,DFO,IC,299,25975,3602,4.01,12,0.33,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Alakanuk,Alakanuk,DFO,IC,2266,182346,25289,3.98,12,0.33,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Alakanuk,Alakanuk,JF,IC,2266,182364,24359,NA,12.43,NA,0.14000000000000001,EIA,NA
Alaska Village Electric Cooperative,Ambler,Ambler,DFO,IC,1257,93149,12918,4.68,13,0.36,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Anvik,Anvik,DFO,IC,419,34728,4816,3.4,12,0.28000000000000003,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Brevig Mission,Brevig Mission,DFO,IC,1115,87263,12102,3.81,13,0.28999999999999998,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Chevak,Chevak,DFO,IC,1712,144385,20024,3.51,12,0.28999999999999998,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Eek,Eek,DFO,IC,829,62220,8629,3.56,13,0.27,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Ekwok,Ekwok,DFO,IC,503,46841,6496,4.4800000000000004,11,0.41,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Elim,Elim,DFO,IC,1190,90551,12558,3.65,13,0.28000000000000003,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Elim,Elim,JF,IC,1190,90552,12095,NA,13.14,NA,0.14000000000000001,EIA,NA
Alaska Village Electric Cooperative,Emmonak,Emmonak,DFO,IC,3187,236718,32830,3.99,13,0.31,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Emmonak,Emmonak,JF,IC,0,0,0,NA,NA,NA,0.14000000000000001,EIA,NA
Alaska Village Electric Cooperative,Gambell,Gambell,DFO,IC,1454,115833,16064,3.54,13,0.27,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Gambell,Gambell,JF,IC,1519,115836,15471,NA,13.11,NA,0.14000000000000001,EIA,NA
Alaska Village Electric Cooperative,Goodnews Bay,Goodnews Bay,DFO,IC,727,55388,7681,4.1399999999999997,13,0.32,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Grayling,Grayling,DFO,IC,576,47967,6652,3.43,12,0.28999999999999998,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Holy Cross,Holy Cross,DFO,IC,630,51837,7189,3.39,12,0.28000000000000003,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Hooper Bay,Hooper Bay,DFO,IC,2685,205623,28517,3.81,13,0.28999999999999998,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Hooper Bay,Hooper Bay,JF,IC,0,0,0,NA,NA,NA,0.14000000000000001,EIA,NA
Alaska Village Electric Cooperative,Huslia,Huslia,DFO,IC,977,74599,10346,4.1100000000000003,13,0.32,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Kaltag,Kaltag,DFO,IC,708,51561,7151,3.35,14,0.24,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Kasigluk,Kasigluk,DFO,IC,2411,168738,23402,4.33,14,0.31,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Kasigluk,Kasigluk,JF,IC,2439,168756,22540,NA,14.45,NA,0.14000000000000001,EIA,NA
Alaska Village Electric Cooperative,Kiana,Kiana,DFO,IC,1525,114002,15810,4.41,13,0.34,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Kiana,Kiana,JF,IC,0,0,0,NA,NA,NA,0.14000000000000001,EIA,NA
Alaska Village Electric Cooperative,Kivalina,Kivalina,DFO,IC,1267,94423,13095,4.01,13,0.31,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Kivalina,Kivalina,JF,IC,1268,94416,12611,NA,13.43,NA,0.14000000000000001,EIA,NA
Alaska Village Electric Cooperative,Kotlik,Kotlik,DFO,IC,1966,160772,22297,3.54,12,0.3,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Kotlik,Kotlik,JF,IC,1966,160776,21475,NA,12.23,NA,0.14000000000000001,EIA,NA
Alaska Village Electric Cooperative,Koyuk,Koyuk,DFO,IC,1302,95374,13227,3.72,13,0.28999999999999998,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Koyuk,Koyuk,JF,IC,1302,95382,12739,NA,13.65,NA,0.14000000000000001,EIA,NA
Alaska Village Electric Cooperative,Marshall,Marshall,DFO,IC,1585,118032,16369,3.71,13,0.28999999999999998,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Mekoryuk,Mekoryuk,DFO,IC,682,58992,8181,3.82,12,0.32,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Minto,Minto,DFO,IC,606,43887,6086,3.81,14,0.27,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Mountain Village,Mountain Village,DFO,IC,2903,215271,29855,4.22,13,0.32,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Mountain Village,Mountain Village,JF,IC,0,0,0,NA,NA,NA,0.14000000000000001,EIA,NA
Alaska Village Electric Cooperative,New Stuyahok,New Stuyahok,DFO,IC,1390,101351,14056,3.99,13,0.31,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Noatak,Noatak,DFO,IC,1874,129679,17985,6.27,14,0.45,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Noatak,Noatak,JF,IC,1874,129696,17323,NA,14.45,NA,0.14000000000000001,EIA,NA
Alaska Village Electric Cooperative,Noorvik,Noorvik,DFO,IC,1925,150080,20814,3.68,13,0.28000000000000003,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Noorvik,Noorvik,JF,IC,0,0,0,NA,NA,NA,0.14000000000000001,EIA,NA
Alaska Village Electric Cooperative,Nulato,Nulato,DFO,IC,1038,77158,10701,4.05,13,0.31,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Old Harbor,Old Harbor,DFO,IC,831,59230,8214,3.59,14,0.26,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Pilot Station,Pilot Station,DFO,IC,1805,134752,18688,3.27,13,0.25,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Pilot Station,Pilot Station,JF,IC,1806,134736,17997,NA,13.4,NA,0.14000000000000001,EIA,NA
Alaska Village Electric Cooperative,Quinhagak,Quinhagak,DFO,IC,1453,123934,17188,3.77,12,0.31,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Quinhagak,Quinhagak,JF,IC,1483,123942,16554,NA,11.97,NA,0.14000000000000001,EIA,NA
Alaska Village Electric Cooperative,Russian Mission,Russian Mission,DFO,IC,1019,70580,9788,3.68,14,0.26,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Saint Mary's,Saint Mary's,DFO,IC,3166,246874,34238,3.92,13,0.3,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Saint Mary's,Saint Mary's,JF,IC,0,0,0,NA,NA,NA,0.14000000000000001,EIA,NA
Alaska Village Electric Cooperative,Saint Michael,Saint Michael,DFO,IC,1720,130190,18056,3.87,13,0.3,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Saint Michael,Saint Michael,JF,IC,1720,130200,17392,NA,13.21,NA,0.14000000000000001,EIA,NA
Alaska Village Electric Cooperative,Savoonga,Savoonga,DFO,IC,1803,134961,18717,3.56,13,0.27,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Savoonga,Savoonga,JF,IC,1821,134946,18025,NA,13.49,NA,0.14000000000000001,EIA,NA
Alaska Village Electric Cooperative,Scammon Bay,Scammon Bay,DFO,IC,1674,121894,16905,4.01,13,0.31,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Scammon Bay,Scammon Bay,JF,IC,1675,121884,16283,NA,13.74,NA,0.14000000000000001,EIA,NA
Alaska Village Electric Cooperative,Selawik,Selawik,DFO,IC,2809,206632,28657,4.13,13,0.32,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Selawik,Selawik,JF,IC,0,0,0,NA,NA,NA,0.14000000000000001,EIA,NA
Alaska Village Electric Cooperative,Shageluk,Shageluk,DFO,IC,376,31605,4383,3.57,12,0.3,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Shaktoolik,Shaktoolik,DFO,IC,737,64516,8947,3.98,13,0.31,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Shishmaref,Shishmaref,DFO,IC,1630,130221,18060,5.37,12,0.45,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Shishmaref,Shishmaref,JF,IC,0,0,0,NA,NA,NA,0.14000000000000001,EIA,NA
Alaska Village Electric Cooperative,Shungnak,Shungnak,DFO,IC,1737,126045,17481,3.71,14,0.27,0.14000000000000001,PCE,Provides power to Kobuk via intertie. Includes Kobuk's data.
Alaska Village Electric Cooperative,Shungnak,Shungnak,JF,IC,1737,126042,16835,NA,13.78,NA,0.14000000000000001,EIA,Provides power to Kobuk via intertie. Includes Kobuk's data.
Alaska Village Electric Cooperative,Stebbins,Stebbins,DFO,IC,1517,117657,16317,3.6,13,0.28000000000000003,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Stebbins,Stebbins,JF,IC,1518,117642,15712,NA,12.9,NA,0.14000000000000001,EIA,NA
Alaska Village Electric Cooperative,Teller,Teller,DFO,IC,838,61756,8564,4.22,14,0.3,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Togiak,Togiak,DFO,IC,3008,230343,31946,3.98,13,0.31,0.14000000000000001,PCE,NA
Alaska Village Electric Cooperative,Togiak,Togiak,JF,IC,0,0,0,NA,NA,NA,0.14000000000000001,EIA,NA
Alaska Village Electric Cooperative,Toksook Bay,Toksook Bay,DFO,IC,2588,202531,28089,3.84,13,0.3,0.14000000000000001,PCE,Provides power to Nightmute and Tununak via intertie. Includes Nightmute's and Tununak's data.
Alaska Village Electric Cooperative,Toksook Bay,Toksook Bay,JF,IC,2672,202524,27051,NA,13.19,NA,0.14000000000000001,EIA,Provides power to Nightmute and Tununak via intertie. Includes Nightmute's and Tununak's data.
Alaska Village Electric Cooperative,Upper Kalskag,Kalskag,DFO,IC,1327,100356,13918,4.03,13,0.31,0.14000000000000001,PCE,Provides power to Lower Kalskag via intertie. Includes Lower Kalskag's data.
Alaska Village Electric Cooperative,Wales,Wales,DFO,IC,609,47917,6645,4.2,13,0.32,0.14000000000000001,PCE,NA
Alutiiq Power Company,Karluk,Karluk,DFO,IC,259,24075,3338,4.5199999999999996,10,0.45,0.14000000000000001,PCE,NA
Anchorage Municipal Light & Power,Anchorage 1,Anchorage,DFO,GT,60,7434,977,NA,8.1999999999999993,NA,0.14000000000000001,EIA,"In addition to Anchorage, the CEA service area includes eight other communities."
Anchorage Municipal Light & Power,Anchorage 1,Anchorage,DFO,IC,113,7434,977,NA,15.2,NA,0.14000000000000001,EIA,"In addition to Anchorage, the CEA service area includes eight other communities."
Anchorage Municipal Light & Power,Anchorage 1,Anchorage,NG,GT,22163,348154,355118,NA,63.66,NA,1.02,EIA,"In addition to Anchorage, the CEA service area includes eight other communities."
Anchorage Municipal Light & Power,Eklutna Lake,Anchorage,WAT,HY,89936,0,858079,NA,NA,NA,NA,EIA,"In addition to Anchorage, the CEA service area includes eight other communities."
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,DFO,CA,348,0,0,NA,NA,NA,0.14000000000000001,EIA,"In addition to Anchorage, the CEA service area includes eight other communities."
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,DFO,CT,1164,125496,16493,NA,9.2799999999999994,NA,0.14000000000000001,EIA,"In addition to Anchorage, the CEA service area includes eight other communities."
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,NG,CA,119093,0,0,NA,NA,NA,1.02,EIA,"In addition to Anchorage, the CEA service area includes eight other communities."
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,NG,CT,398344,5468764,5578139,NA,72.84,NA,1.02,EIA,"In addition to Anchorage, the CEA service area includes eight other communities."
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,NG,GT,43332,610131,622336,NA,71.02,NA,1.02,EIA,"In addition to Anchorage, the CEA service area includes eight other communities."
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,OTH,CA,0,0,0,NA,NA,NA,NA,EIA,"In addition to Anchorage, the CEA service area includes eight other communities."
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,OTH,CT,0,0,0,NA,NA,NA,NA,EIA,"In addition to Anchorage, the CEA service area includes eight other communities."
Aniak Light & Power,Aniak,Aniak,DFO,IC,2548,203456,28217,4.1100000000000003,12,0.34,0.14000000000000001,PCE,NA
Arctic Village Electric Company,Arctic Village,Arctic Village,DFO,IC,517,46820,6493,4.9400000000000004,11,0.45,0.14000000000000001,PCE,NA
"Atka, City of",Atka,Atka,DFO,IC,30,9039,1253,5.3,9,0.59,0.14000000000000001,PCE,NA
Atmautluak Tribal Utilities,Atmautluak,Atmautluak,DFO,IC,718,52408,7268,4.4800000000000004,14,0.32,0.14000000000000001,PCE,NA
Aurora Energy LLC Chena,Aurora Energy,Fairbanks,AB,ST,0,0,0,NA,NA,NA,NA,EIA,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Aurora Energy LLC Chena,Aurora Energy,Fairbanks,DFO,ST,0,0,0,NA,NA,NA,0.14000000000000001,EIA,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Aurora Energy LLC Chena,Aurora Energy,Fairbanks,SUB,ST,187843,210117,3202218,NA,893.99,NA,19.579999999999998,EIA,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Aurora Energy LLC Chena,Aurora Energy,Fairbanks,WDS,ST,0,0,0,NA,NA,NA,NA,EIA,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Barrow Utilities & Electric Cooperative Inc.,Barrow,Barrow,DFO,GT,26,2772,396,NA,9.4700000000000006,NA,0.14000000000000001,EIA,NA
Barrow Utilities & Electric Cooperative Inc.,Barrow,Barrow,NG,GT,50225,757524,757524,NA,66.3,NA,1.02,EIA,NA
Barrow Utilities & Electric Cooperative Inc.,Barrow,Barrow,NG,IC,0,0,0,NA,NA,NA,1.02,EIA,NA
Beaver Joint Utilities,Beaver,Beaver,DFO,IC,296,31141,4318,4.8600000000000003,9,0.54,0.14000000000000001,PCE,NA
Bethel Utilities Corporation,Bethel,Bethel,DFO,IC,42620,3156572,437784,5.94,13,0.46,0.14000000000000001,PCE,Provides power to Oscarville and sells power to Napakiak Ircinraq via intertie. Includes Oscarville's data.
"Buckland, City of",Buckland,Buckland,DFO,IC,1750,151833,21057,4.22,11,0.38,0.14000000000000001,PCE,NA
Chalkyitsik Village Council,Chalkyitsik,Chalkyitsik,DFO,IC,361,32889,4561,5.76,11,0.52,0.14000000000000001,PCE,NA
Chenega Ira Council,Chenega Bay,Chenega Bay,DFO,IC,269,23050,3196,5.41,12,0.45,0.14000000000000001,PCE,NA
"Chignik, City of",Chignik,Chignik,DFO,IC,850,66106,9168,3.88,13,0.3,0.14000000000000001,PCE,NA
Chignik Lagoon Power Utility,Chignik Lagoon,Chignik Lagoon,DFO,IC,381,37643,5220,4.57,10,0.46,0.14000000000000001,PCE,NA
Chignik Lake Electric Utility,Chignik Lake,Chignik Lake,DFO,IC,384,38509,5340,5.0999999999999996,10,0.51,0.14000000000000001,PCE,NA
Chitina Electric Inc,Chitina,Chitina,DFO,IC,459,43298,6005,4.28,11,0.39,0.14000000000000001,PCE,NA
Chugach Electric Assn Inc,Beluga,Anchorage,NG,CA,201961,0,0,NA,NA,NA,1.02,EIA,"In addition to Anchorage, the CEA service area includes eight other communities."
Chugach Electric Assn Inc,Beluga,Anchorage,NG,CT,845061,10285290,10285290,NA,82.16,NA,1.02,EIA,"In addition to Anchorage, the CEA service area includes eight other communities."
Chugach Electric Assn Inc,Beluga,Anchorage,NG,GT,332722,4664731,4664731,NA,71.33,NA,1.02,EIA,"In addition to Anchorage, the CEA service area includes eight other communities."
Chugach Electric Assn Inc,Bernice Lake,Anchorage,NG,GT,41965,644042,676245,NA,65.16,NA,1.02,EIA,"In addition to Anchorage, the CEA service area includes eight other communities."
Chugach Electric Assn Inc,Cooper Lake,Anchorage,WAT,HY,35928,0,342788,NA,NA,NA,NA,EIA,"In addition to Anchorage, the CEA service area includes eight other communities."
Chugach Electric Assn Inc,International,Anchorage,NG,GT,14860,280590,280590,NA,52.96,NA,1.02,EIA,"In addition to Anchorage, the CEA service area includes eight other communities."
Chugach Electric Assn Inc,Southcentral Power Project,Anchorage,NG,CA,192620,47114,47114,NA,4088.38,NA,1.02,EIA,"In addition to Anchorage, the CEA service area includes eight other communities."
Chugach Electric Assn Inc,Southcentral Power Project,Anchorage,NG,CT,754787,7092773,7092773,NA,106.42,NA,1.02,EIA,"In addition to Anchorage, the CEA service area includes eight other communities."
Circle Electric Utility,Circle,Circle,DFO,IC,408,37589,5213,3.77,10,0.38,0.14000000000000001,PCE,NA
Copper Valley Elec Assn Inc,Glennallen,Valdez,DFO,IC,13574,978600,135047,NA,13.87,NA,0.14000000000000001,EIA,"In addition to Valdez, the CVEA service area includes 14 other communities."
Copper Valley Elec Assn Inc,Solomon Gulch,Valdez,WAT,HY,54750,0,522369,NA,NA,NA,NA,EIA,"In addition to Valdez, the CVEA service area includes 14 other communities."
Copper Valley Elec Assn Inc,Valdez,Valdez,DFO,GT,717,96768,13353,NA,7.41,NA,0.14000000000000001,EIA,"In addition to Valdez, the CVEA service area includes 14 other communities."
Copper Valley Elec Assn Inc,Valdez,Valdez,DFO,IC,4358,467628,64532,NA,9.32,NA,0.14000000000000001,EIA,"In addition to Valdez, the CVEA service area includes 14 other communities."
Copper Valley Elec Assn Inc,Valdez Cogen,Valdez,JF,GT,0,0,0,NA,NA,NA,0.14000000000000001,EIA,"In addition to Valdez, the CVEA service area includes 14 other communities."
Copper Valley Elec Assn Inc,Valdez Cogen,Valdez,WO,GT,17027,1833342,201666,NA,390.07,NA,0.14000000000000001,EIA,"In addition to Valdez, the CVEA service area includes 14 other communities."
Cordova Electric Cooperative,Humpback Creek,Cordova,WAT,HY,3510,0,33489,NA,NA,NA,NA,EIA,NA
Cordova Electric Cooperative,Orca,Cordova,DFO,IC,8914,711695,98704,3.62,13,0.28000000000000003,0.14000000000000001,PCE,NA
Cordova Electric Cooperative,Power Creek,Cordova,WAT,HY,15774,0,150500,NA,NA,NA,NA,EIA,NA
Diomede Joint Utilities,Diomede,Diomede,DFO,IC,397,18124,2513,4.45,24,0.19,0.14000000000000001,PCE,NA
Egegik Light & Power Co,Egegik,Egegik,DFO,IC,603,54584,7570,4.6100000000000003,11,0.42,0.14000000000000001,PCE,NA
Elfin Cove Utility Commission,Elfin Cove,Elfin Cove,DFO,IC,247,23395,3244,5.0999999999999996,11,0.46,0.14000000000000001,PCE,NA
"False Pass, City of",False Pass,False Pass,DFO,IC,691,58462,8108,3.65,12,0.3,0.14000000000000001,PCE,NA
Fire Island Wind LLC,Fire Island,Anchorage,WND,WT,44784,0,427284,NA,NA,NA,NA,EIA,"In addition to Anchorage, the CEA service areaincludes eight other communities."
"Galena, City of",Galena,Galena,DFO,IC,5428,431338,59822,3.65,13,0.28000000000000003,0.14000000000000001,PCE,NA
G & K Inc,Cold Bay,Cold Bay,DFO,IC,2615,206725,28670,5.13,13,0.39,0.14000000000000001,PCE,NA
Gold Country Energy,Central,Central,DFO,IC,524,46041,6385,3.46,11,0.31,0.14000000000000001,PCE,NA
Golden Valley Elec Assn Inc,Delta Power,Fairbanks,DFO,GT,-170,2310,305,NA,NA,NA,0.14000000000000001,EIA,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Golden Valley Elec Assn Inc,Eva Creek,Fairbanks,WND,WT,71010,0,677506,NA,NA,NA,NA,EIA,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
