"Certified Utilities Net Generation by Fuel Type (MWh), 2013",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14
Utility Name,Plant Name,Community Name,Oil,Gas,Coal,Hydro,Wind,Other,Oil (gallons),Gas (mcf),Coal (short tons),Source,Notes
Bethel Utilities Corporation,Bethel,Bethel,42620,0,0,NA,0,0,3156572,0,0,pce,Provides power to Oscarville and sells power to Napakiak Ircinraq via intertie. Includes Oscarville's data.
"Buckland, City of",Buckland,Buckland,1750,0,0,NA,0,0,151833,0,0,pce,NA
Chalkyitsik Village Council,Chalkyitsik,Chalkyitsik,361,0,0,NA,0,0,32889,0,0,pce,NA
Chenega Ira Council,Chenega Bay,Chenega Bay,269,0,0,NA,0,0,23050,0,0,pce,NA
"Chignik, City of",Chignik,Chignik,850,0,0,NA,0,0,66106,0,0,pce,NA
Chignik Lagoon Power Utility,Chignik Lagoon,Chignik Lagoon,381,0,0,NA,0,0,37643,0,0,pce,NA
Chignik Lake Electric Utility,Chignik Lake,Chignik Lake,384,0,0,NA,0,0,38509,0,0,pce,NA
Chitina Electric Inc,Chitina,Chitina,459,0,0,NA,0,0,43298,0,0,pce,NA
Chugach Electric Assn Inc,Beluga,Anchorage,0,1379744,0,0,0,0,0,14950021,0,eia,"In addition to Anchorage, the CEA service area includes eight other communities."
Chugach Electric Assn Inc,Bernice Lake,Anchorage,0,41965,0,0,0,0,0,644042,0,eia,"In addition to Anchorage, the CEA service area includes eight other communities."
Chugach Electric Assn Inc,Cooper Lake,Anchorage,0,0,0,35928,0,0,0,0,0,eia,"In addition to Anchorage, the CEA service area includes eight other communities."
Chugach Electric Assn Inc,International,Anchorage,0,14860,0,0,0,0,0,280590,0,eia,"In addition to Anchorage, the CEA service area includes eight other communities."
Chugach Electric Assn Inc,Southcentral Power Project,Anchorage,0,947407,0,0,0,0,0,7139887,0,eia,"In addition to Anchorage, the CEA service area includes eight other communities."
Circle Electric Utility,Circle,Circle,408,0,0,NA,0,0,37589,0,0,pce,NA
Copper Valley Elec Assn Inc,Glennallen,Valdez,13574,0,0,0,0,0,978600,0,0,eia,"In addition to Valdez, the CVEA service area includes 14 other communities."
Copper Valley Elec Assn Inc,Solomon Gulch,Valdez,0,0,0,54750,0,0,0,0,0,eia,"In addition to Valdez, the CVEA service area includes 14 other communities."
Copper Valley Elec Assn Inc,Valdez,Valdez,5075,0,0,0,0,0,564396,0,0,eia,"In addition to Valdez, the CVEA service area includes 14 other communities."
Copper Valley Elec Assn Inc,Valdez Cogen,Valdez,17027,0,0,0,0,0,1833342,0,0,eia,"In addition to Valdez, the CVEA service area includes 14 other communities."
Cordova Electric Cooperative,Humpback Creek,Cordova,0,0,0,3510,0,0,0,0,0,eia,NA
Cordova Electric Cooperative,Orca,Cordova,9086,0,0,0,0,0,713412,0,0,eia,NA
Cordova Electric Cooperative,Power Creek,Cordova,0,0,0,15774,0,0,0,0,0,eia,NA
Diomede Joint Utilities,Diomede,Diomede,397,0,0,NA,0,0,18124,0,0,pce,NA
Egegik Light & Power Co,Egegik,Egegik,603,0,0,NA,0,0,54584,0,0,pce,NA
Elfin Cove Utility Commission,Elfin Cove,Elfin Cove,247,0,0,NA,0,0,23395,0,0,pce,NA
"False Pass, City of",False Pass,False Pass,691,0,0,NA,0,0,58462,0,0,pce,NA
Fire Island Wind LLC,Fire Island,Anchorage,0,0,0,0,44784,0,0,0,0,eia,"In addition to Anchorage, the CEA service area includes eight other communities."
"Galena, City of",Galena,Galena,5428,0,0,NA,0,0,431338,0,0,pce,NA
G & K Inc,Cold Bay,Cold Bay,2615,0,0,NA,0,0,206725,0,0,pce,NA
Gold Country Energy,Central,Central,524,0,0,NA,0,0,46041,0,0,pce,NA
Golden Valley Elec Assn Inc,Delta Power,Fairbanks,-170,0,0,0,0,0,2310,0,0,eia,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Golden Valley Elec Assn Inc,Eva Creek,Fairbanks,0,0,0,0,71010,0,0,0,0,eia,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Golden Valley Elec Assn Inc,Fairbanks,Fairbanks,6878,0,0,0,0,0,1219512,0,0,eia,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Golden Valley Elec Assn Inc,Healy,Fairbanks,254,0,191064,0,0,0,25284,0,184629,eia,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Golden Valley Elec Assn Inc,North Pole,Fairbanks,390644,0,0,0,0,0,26158104,0,0,eia,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Golovin Power Utilities,Golovin,Golovin,807,0,0,NA,0,0,66097,0,0,pce,NA
Gustavus Electric Co,Gustavus,Gustavus,64,0,0,1939,0,0,6875,0,0,pce,NA
Gwitchyaa Zhee Utilities Company,Fort Yukon,Fort Yukon,3172,0,0,NA,0,0,208476,0,0,pce,NA
Homer Electric Assn Inc,Bradley Lake,Kalifornsky,0,0,0,368254,0,0,0,0,0,eia,NA
Homer Electric Assn Inc,Nikiski Co-Generation,Kalifornsky,0,263113,0,0,0,0,0,2690310,0,eia,NA
Homer Electric Assn Inc,Seldovia,Kalifornsky,87,0,0,0,0,0,8904,0,0,eia,NA
Hughes Power & Light,Hughes,Hughes,411,0,0,NA,0,0,54889,0,0,pce,NA
Igiugig Electric Company,Igiugig,Igiugig,323,0,0,NA,0,0,28605,0,0,pce,NA
"I-N-N Electric Coop, Inc",Newhalen,Iliamna,-250,0,0,4048,0,0,4961,0,0,pce,NA
Inside Passage Electric,Angoon,Angoon,1760,0,0,NA,0,0,139340,0,0,pce,NA
Inside Passage Electric,Chilkat Valley,Chilkat Valley,NA,0,0,1015,0,0,NA,0,0,pce,Provides power to Klukwan via intertie. Power is purchased from AP&T.
Inside Passage Electric,Hoonah,Hoonah,4641,0,0,NA,0,0,319378,0,0,pce,NA
Inside Passage Electric,Kake,Kake,3056,0,0,NA,0,0,216422,0,0,pce,NA
Ipnatchiaq Electric Company,Deering,Deering,705,0,0,NA,0,0,55527,0,0,pce,NA
Ketchikan Public Utilities,Beaver Falls,Ketchikan,0,0,0,42463,0,0,0,0,0,eia,NA
Ketchikan Public Utilities,Ketchikan,Ketchikan,0,0,0,20846,0,0,0,0,0,eia,NA
Ketchikan Public Utilities,Silvis,Ketchikan,0,0,0,10997,0,0,0,0,0,eia,NA
Ketchikan Public Utilities,Swan Lake,Ketchikan,0,0,0,69157,0,0,0,0,0,eia,NA
Ketchikan Public Utilities,S W Bailey,Ketchikan,10204,0,0,0,0,0,532476,0,0,eia,NA
"King Cove, City of",King Cove,King Cove,2526,0,0,1997,0,0,179028,0,0,pce,NA
Kipnuk Light Plant,Kipnuk,Kipnuk,1685,0,0,NA,0,0,118507,0,0,pce,NA
Kodiak Electric Assn Inc,Kodiak,Kodiak,5808,0,0,0,0,0,426006,0,0,eia,"The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island."
Kodiak Electric Assn Inc,Nymans Plant,Kodiak,0,0,0,0,0,0,48972,0,0,eia,"The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island."
Kodiak Electric Assn Inc,Pillar Mountain,Kodiak,0,0,0,0,26699,0,0,0,0,eia,"The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island."
Kodiak Electric Assn Inc,Port Lions,Kodiak,0,0,0,0,0,0,1848,0,0,eia,"The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island."
Kodiak Electric Assn Inc,Terror Lake,Kodiak,0,0,0,119142,0,0,0,0,0,eia,"The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island."
Kokhanok Village Council,Kokhanok,Kokhanok,363,0,0,NA,78,0,33888,0,0,pce,NA
Kotzebue Electric Association,Kotzebue,Kotzebue,18045,0,0,NA,3387,0,1337428,0,0,pce,NA
"Koyukuk, City of",Koyukuk,Koyukuk,283,0,0,NA,0,0,29331,0,0,pce,NA
Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,Kwethluk,Kwethluk,1448,0,0,NA,0,0,112564,0,0,pce,NA
