"Certified Utilities Revenue, Sales and Customers by Customer Type, 2013",...2,...3,...4,...5,...6,...7,...8,...9
Alaska Village Electric Cooperative,Alakanuk,0.62,0.41,0.2,0.67,Yes,PCE,NA
Alaska Village Electric Cooperative,Ambler,0.66,0.45,0.21,0.69,Yes,PCE,NA
Alaska Village Electric Cooperative,Anvik,0.65,0.44,0.21,0.68,Yes,PCE,NA
Alaska Village Electric Cooperative,Brevig Mission,0.57999999999999996,0.38,0.2,0.65,Yes,PCE,NA
Alaska Village Electric Cooperative,Chevak,0.53,0.33,0.2,0.62,Yes,PCE,NA
Alaska Village Electric Cooperative,Eek,0.63,0.43,0.2,0.68,Yes,PCE,NA
Alaska Village Electric Cooperative,Ekwok,0.7,0.49,0.21,0.7,Yes,PCE,NA
Alaska Village Electric Cooperative,Elim,0.6,0.4,0.21,0.66,Yes,PCE,NA
Alaska Village Electric Cooperative,Emmonak,0.56999999999999995,0.37,0.2,0.65,Yes,PCE,NA
Alaska Village Electric Cooperative,Gambell,0.54,0.34,0.2,0.62,Yes,PCE,NA
Alaska Village Electric Cooperative,Goodnews Bay,0.63,0.42,0.21,0.67,Yes,PCE,NA
Alaska Village Electric Cooperative,Grayling,0.63,0.43,0.2,0.68,Yes,PCE,NA
Alaska Village Electric Cooperative,Holy Cross,0.6,0.39,0.2,0.66,Yes,PCE,NA
Alaska Village Electric Cooperative,Hooper Bay,0.56000000000000005,0.36,0.2,0.65,Yes,PCE,NA
Alaska Village Electric Cooperative,Huslia,0.6,0.4,0.2,0.66,Yes,PCE,NA
Alaska Village Electric Cooperative,Kalskag,0.61,0.41,0.2,0.68,Yes,PCE,Provides power to Lower Kalskag via intertie. Includes Lower Kalskag's data.
Alaska Village Electric Cooperative,Kaltag,0.57999999999999996,0.38,0.2,0.65,Yes,PCE,NA
Alaska Village Electric Cooperative,Kasigluk,0.56999999999999995,0.37,0.2,0.65,Yes,PCE,NA
Alaska Village Electric Cooperative,Kiana,0.65,0.44,0.2,0.68,Yes,PCE,NA
Alaska Village Electric Cooperative,Kivalina,0.65,0.45,0.2,0.69,Yes,PCE,NA
Alaska Village Electric Cooperative,Kotlik,0.62,0.41,0.21,0.66,Yes,PCE,NA
Alaska Village Electric Cooperative,Koyuk,0.6,0.4,0.2,0.66,Yes,PCE,NA
Alaska Village Electric Cooperative,Lower Kalskag,0.61,0.41,0.2,0.68,Yes,PCE,Receives power from (Upper) Kalskag via intertie. Refer to (Upper) Kalskag for fuel use and cost data.
Alaska Village Electric Cooperative,Marshall,0.6,0.39,0.21,0.65,Yes,PCE,NA
Alaska Village Electric Cooperative,Mekoryuk,0.56000000000000005,0.36,0.2,0.64,Yes,PCE,NA
Alaska Village Electric Cooperative,Minto,0.61,0.41,0.2,0.66,Yes,PCE,NA
Alaska Village Electric Cooperative,Mountain Village,0.61,0.4,0.21,0.66,Yes,PCE,NA
Alaska Village Electric Cooperative,New Stuyahok,0.64,0.44,0.2,0.68,Yes,PCE,NA
Alaska Village Electric Cooperative,Nightmute,0.55000000000000004,0.35,0.2,0.63,Yes,PCE,Receives power from Toksook Bay via intertie. Refer to Toksook Bay for Nightmute and Tununak fuel use and cost data.
Alaska Village Electric Cooperative,Noatak,0.87,0.66,0.21,0.76,Yes,PCE,NA
Alaska Village Electric Cooperative,Noorvik,0.65,0.45,0.2,0.68,Yes,PCE,NA
Alaska Village Electric Cooperative,Nulato,0.61,0.4,0.2,0.66,Yes,PCE,NA
Alaska Village Electric Cooperative,Nunapitchuk,0.56999999999999995,0.37,0.2,0.65,Yes,PCE,Receives power from Kasigluk. Refer to Kasigluk for fuel use and cost data.
Alaska Village Electric Cooperative,Old Harbor,0.62,0.42,0.21,0.67,Yes,PCE,NA
Alaska Village Electric Cooperative,Pilot Station,0.59,0.38,0.2,0.66,Yes,PCE,NA
Alaska Village Electric Cooperative,Pitkas Point,0.59,0.39,0.2,0.66,Yes,PCE,Receives power from Saint Mary's via intertie. Refer to Saint Mary's for fuel use and cost data.
Alaska Village Electric Cooperative,Quinhagak,0.52,0.32,0.2,0.62,Yes,PCE,NA
Alaska Village Electric Cooperative,Russian Mission,0.61,0.4,0.2,0.66,Yes,PCE,NA
Alaska Village Electric Cooperative,Saint Mary's,0.59,0.39,0.2,0.65,Yes,PCE,NA
Alaska Village Electric Cooperative,Saint Michael,0.6,0.4,0.2,0.67,Yes,PCE,NA
Alaska Village Electric Cooperative,Savoonga,0.54,0.34,0.2,0.64,Yes,PCE,NA
Alaska Village Electric Cooperative,Scammon Bay,0.64,0.43,0.21,0.68,Yes,PCE,NA
Alaska Village Electric Cooperative,Selawik,0.62,0.41,0.2,0.67,Yes,PCE,NA
Alaska Village Electric Cooperative,Shageluk,0.66,0.45,0.21,0.69,Yes,PCE,NA
Alaska Village Electric Cooperative,Shaktoolik,0.56000000000000005,0.37,0.2,0.65,Yes,PCE,NA
Alaska Village Electric Cooperative,Shishmaref,0.6,0.4,0.2,0.66,Yes,PCE,NA
Alaska Village Electric Cooperative,Shungnak,0.72,0.51,0.21,0.71,Yes,PCE,Provides power to Kobuk via intertie. Includes Kobuk's data.
Alaska Village Electric Cooperative,Stebbins,0.59,0.4,0.2,0.67,Yes,PCE,NA
Alaska Village Electric Cooperative,Teller,0.63,0.43,0.2,0.68,Yes,PCE,NA
Alaska Village Electric Cooperative,Togiak,0.62,0.42,0.2,0.68,Yes,PCE,NA
Alaska Village Electric Cooperative,Toksook Bay,0.55000000000000004,0.35,0.2,0.63,Yes,PCE,Provides power to Nightmute and Tununak via intertie. Includes Nightmute's and Tununak's data.
Alaska Village Electric Cooperative,Tununak,0.55000000000000004,0.35,0.2,0.63,Yes,PCE,Receives power from Toksook Bay via intertie. Refer to Toksook Bay for Nightmute's and Tununak's fuel use and cost data.
Alaska Village Electric Cooperative,Wales,0.69,0.48,0.21,0.7,Yes,PCE,NA
Alutiiq Power Company,Karluk,0.71,0.46,0.25,0.65,Yes,PCE,NA
Anchorage Municipal Light & Power,Anchorage,0.13,0,0.13,0,No,EIA,"In addition to Anchorage, the CEA service area includes eight other communities."
Aniak Light & Power,Aniak,0.76,0.49,0.27,0.64,Yes,PCE,NA
Arctic Village Electric Company,Arctic Village,0.67,0.35,0.32,0.52,No,PCE,NA
"Atka, City of",Atka,0.74,0.56999999999999995,0.16,0.78,Yes,PCE,NA
Atmautluak Tribal Utilities,Atmautluak,0.8,0.36,0.44,0.44,Yes,PCE,NA
Barrow Utilities & Electric Cooperative Inc.,Barrow,0.12,0,0.12,0,No,EIA,NA
Beaver Joint Utilities,Beaver,0.9,0.56999999999999995,0.33,0.63,Yes,PCE,NA
Bethel Utilities Corporation,Bethel,0.56000000000000005,0.4,0.16,0.72,Yes,PCE,Provides power to Oscarville and sells power to Napakiak Ircinraq via intertie. Includes Oscarville's data.
"Buckland, City of",Buckland,0.47,0.26,0.21,0.54,Yes,PCE,NA
Chalkyitsik Village Council,Chalkyitsik,0.95,0.56999999999999995,0.38,0.6,Yes,PCE,NA
Chenega Ira Council,Chenega Bay,0.63,0.46,0.17,0.72,Yes,PCE,NA
"Chignik, City of",Chignik,0.55000000000000004,0.34,0.21,0.62,Yes,PCE,NA
Chignik Lagoon Power Utility,Chignik Lagoon,0.74,0.39,0.34,0.53,Yes,PCE,NA
Chignik Lake Electric Utility,Chignik Lake,0.86,0.56000000000000005,0.3,0.65,Yes,PCE,NA
Chitina Electric Inc,Chitina,0.7,0.39,0.3,0.56999999999999995,Yes,PCE,NA
Chugach Electric Assn Inc,Anchorage,0.15,0,0.15,0,No,EIA,"In addition to Anchorage, the CEA service area includes eight other communities."
Circle Electric Utility,Circle,0.79,0.52,0.26,0.67,Yes,PCE,NA
Copper Valley Elec Assn Inc,Valdez,0.28000000000000003,0,0.28000000000000003,0,No,EIA,"In addition to Valdez, the CVEA service area includes 14 other communities."
Cordova Electric Cooperative,Cordova,0.41,0.15,0.27,0.35,Yes,PCE,NA
Diomede Joint Utilities,Diomede,0.6,0.46,0.14000000000000001,0.77,Yes,PCE,NA
Egegik Light & Power Co,Egegik,0.86,0.53,0.33,0.61,Yes,PCE,NA
Elfin Cove Utility Commission,Elfin Cove,0.79,0.36,0.43,0.46,Yes,PCE,NA
"False Pass, City of",False Pass,0.42,0.28000000000000003,0.14000000000000001,0.66,Yes,PCE,NA
"Galena, City of",Galena,0.67,0.32,0.35,0.48,Yes,PCE,NA
G & K Inc,Cold Bay,0.72,0.52,0.2,0.72,Yes,PCE,NA
Gold Country Energy,Central,0.73,0.47,0.25,0.65,Yes,PCE,NA
Golden Valley Elec Assn Inc,Fairbanks,0.23,0,0.23,0,No,EIA,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Golovin Power Utilities,Golovin,0.6,0.33,0.27,0.55000000000000004,Yes,PCE,NA
Gustavus Electric Co,Gustavus,0.47,0.17,0.3,0.36,Yes,PCE,NA
Gwitchyaa Zhee Utilities Company,Fort Yukon,0.67,0.49,0.19,0.72,Yes,PCE,NA
Homer Electric Assn Inc,Kalifornsky,0.21,0,0.21,0,No,EIA,NA
Hughes Power & Light,Hughes,0.71,0.56999999999999995,0.14000000000000001,0.8,Yes,PCE,NA
Igiugig Electric Company,Igiugig,0.81,0.55000000000000004,0.26,0.68,Yes,PCE,NA
"I-N-N Electric Coop, Inc",Newhalen,0.59,0.19,0.41,0.31,Yes,PCE,NA
Inside Passage Electric,Angoon,0.65,0.43,0.22,0.66,Yes,PCE,NA
Inside Passage Electric,Chilkat Valley,0.65,0.43,0.22,0.66,Yes,PCE,Provides power to Klukwan via intertie. Power is purchased from AP&T.
Inside Passage Electric,Hoonah,0.65,0.43,0.22,0.66,Yes,PCE,NA
Inside Passage Electric,Kake,0.65,0.43,0.22,0.66,Yes,PCE,NA
Inside Passage Electric,Klukwan,0.65,0.43,0.22,0.66,Yes,PCE,Receives power from Chilkat Valley via intertie. Chilkat Valley purchases power from AP&T.
Ipnatchiaq Electric Company,Deering,0.7,0.44,0.26,0.63,Yes,PCE,NA
Ketchikan Public Utilities,Ketchikan,0.1,0,0.1,0,No,EIA,NA
"King Cove, City of",King Cove,0.3,0.08,0.22,0.27,Yes,PCE,NA
Kipnuk Light Plant,Kipnuk,0.43,0.23,0.2,0.54,Yes,PCE,NA
Kobuk Valley Electric Company,Kobuk,0.72,0.51,0.21,0.71,Yes,PCE,Receives power from Shungnak via intertie. Refer to Shungnak for fuel use and cost data.
Kodiak Electric Assn Inc,Kodiak,0.18,0,0.18,0,No,EIA,"The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island."
Kokhanok Village Council,Kokhanok,0.9,0.56999999999999995,0.33,0.64,Yes,PCE,NA
Kotzebue Electric Association,Kotzebue,0.42,0.25,0.17,0.6,Yes,PCE,NA
"Koyukuk, City of",Koyukuk,0.95,0.41,0.54,0.43,Yes,PCE,NA
Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,Kwethluk,0.52,0.33,0.19,0.62,Yes,PCE,NA
Kwigillingok Power Company,Kwigillingok,0.61,0.41,0.2,0.68,Yes,PCE,NA
Larsen Bay Utility Company,Larsen Bay,0.44,0.06,0.38,0.14000000000000001,Yes,PCE,NA
Levelock Electrical Coop,Levelock,0.7,0.51,0.19,0.72,Yes,PCE,NA
Lime Village Electric Utility,Lime Village,1.77,0.82,0.96,0.46,Yes,PCE,NA
Manokotak Power Company,Manokotak,0.55000000000000004,0.28000000000000003,0.27,0.51,Yes,PCE,NA
Matanuska Electric Association,Knik-Fairview,0.15,0,0.15,0,No,EIA,NA
Mcgrath Light & Power,McGrath,0.75,0.42,0.32,0.56999999999999995,Yes,PCE,NA
Middle Kuskokwim Electric,Chuathbaluk,0.9,0.67,0.22,0.75,Yes,PCE,NA
Middle Kuskokwim Electric,Crooked Creek,0.88,0.66,0.22,0.75,Yes,PCE,NA
Middle Kuskokwim Electric,Red Devil,0.87,0.65,0.22,0.75,Yes,PCE,NA
Middle Kuskokwim Electric,Sleetmute,0.89,0.67,0.22,0.75,Yes,PCE,NA
Middle Kuskokwim Electric,Stony River,0.9,0.68,0.22,0.75,Yes,PCE,NA
Naknek Electric Association,Naknek,0.57999999999999996,0.39,0.19,0.67,Yes,PCE,Provides power to South Naknek and King Salmon via intertie. Includes South Naknek's and King Salmon's data.
Napakiak Ircinraq,Napakiak,0.86,0.59,0.26,0.7,Yes,PCE,Purchases power from Bethel Utilities Corporation.
Napaskiak Electric Utility,Napaskiak,0.7,0.39,0.31,0.56000000000000005,Yes,PCE,NA
Naterkaq Light Plant (City of Chefornak),Chefornak,0.83,0.49,0.34,0.59,Yes,PCE,NA
Native Village of Perryville,Perryville,0.95,0.33,0.62,0.35,Yes,PCE,NA
Nelson Lagoon Electrical Coop,Nelson Lagoon,0.84,0.52,0.32,0.62,Yes,PCE,NA
New Koliganek Village Council,Koliganek,0.5,0.36,0.14000000000000001,0.72,Yes,PCE,NA
"Nikolai, City of",Nikolai,0.9,0.65,0.25,0.73,Yes,PCE,NA
Nome Joint Utility Systems,Nome,0.37,0.17,0.2,0.46,Yes,PCE,NA
North Slope Borough Power & Light,Anaktuvuk Pass,0.15,0.01,0.14000000000000001,7.0000000000000007E-2,Yes,PCE,NA
North Slope Borough Power & Light,Atqasuk,0.15,0.01,0.14000000000000001,7.0000000000000007E-2,Yes,PCE,NA
North Slope Borough Power & Light,Kaktovik,0.15,0.01,0.14000000000000001,7.0000000000000007E-2,Yes,PCE,NA
North Slope Borough Power & Light,Nuiqsut,0.08,0,0.08,0,Yes,PCE,NA
North Slope Borough Power & Light,Point Hope,0.15,0.01,0.14000000000000001,7.0000000000000007E-2,Yes,PCE,NA
North Slope Borough Power & Light,Point Lay,0.15,0.01,0.14000000000000001,7.0000000000000007E-2,Yes,PCE,NA
North Slope Borough Power & Light,Wainwright,0.15,0.01,0.14000000000000001,7.0000000000000007E-2,Yes,PCE,NA
Nunam Iqua Electric Company,Nunam Iqua,0.53,0.33,0.2,0.63,Yes,PCE,NA
Nushagak Electric Cooperative,Dillingham,0.45,0.28000000000000003,0.17,0.62,Yes,PCE,Provides power to Aleknagik via intertie. Includes Aleknagik's data.
"Ouzinkie, City of",Ouzinkie,0.41,0.24,0.17,0.57999999999999996,Yes,PCE,NA
Pedro Bay Village Council,Pedro Bay,0.91,0.56999999999999995,0.34,0.63,Yes,PCE,NA
Pelican Utility,Pelican,0.61,0.41,0.2,0.67,Yes,PCE,NA
"Petersburg, City of",Petersburg,0.1,0,0.1,0,No,EIA,NA
Pilot Point Electric Utility,Pilot Point,0.5,0.35,0.15,0.7,Yes,PCE,NA
Port Heiden Utilities,Port Heiden,0.75,0.33,0.42,0.44,Yes,PCE,NA
Puvurnaq Power Company,Kongiganak,0.65,0.35,0.3,0.53,Yes,PCE,NA
"Ruby, City of",Ruby,0.84,0.42,0.42,0.5,Yes,PCE,NA
"Saint George, City of",Saint George,0.99,0.66,0.33,0.67,Yes,PCE,NA
Saint Paul Municipal Electric,Saint Paul,0.53,0.36,0.17,0.68,Yes,PCE,NA
"Seward, City of",Seward,0.2,0,0.2,0,No,EIA,"The City of Seward service area includes the communities of Crown Point, Primrose, Bear Creek and Lowell Point."
"Sitka, City & Borough of",Sitka,0.11,0,0.11,0,No,EIA,NA
Takotna Community Assoc Inc,Takotna,1.02,0.6,0.42,0.59,Yes,PCE,NA
Tanalian Electric Cooperative,Port Alsworth,0.68,0.48,0.2,0.71,Yes,PCE,NA
Tanana Power Company Inc,Tanana,0.71,0.45,0.27,0.63,Yes,PCE,NA
Tatitlek Village Ira Council,Tatitlek,0.88,0.54,0.35,0.61,Yes,PCE,NA
TDX Adak Generating LLC,Adak,1.1599999999999999,0.75,0.4,0.65,Yes,PCE,NA
TDX Corporation,Sand Point,0.57999999999999996,0.39,0.19,0.67,Yes,PCE,NA
TDX Manley Generating LLC,Manley Hot Springs,0.93,0.62,0.32,0.66,Yes,PCE,NA
"Tenakee Springs, City of",Tenakee Springs,0.73,0.45,0.28000000000000003,0.62,Yes,PCE,NA
Tuluksak Traditional,Tuluksak,0.69,0.43,0.25,0.63,Yes,PCE,NA
Tuntutuliak Community,Tuntutuliak,0.65,0.46,0.19,0.71,Yes,PCE,NA
Twin Hills Village Council,Twin Hills,0.84,0.44,0.4,0.52,Yes,PCE,NA
Umnak Power Company,Nikolski,0.6,0.46,0.14000000000000001,0.77,Yes,PCE,NA
Unalakleet Valley Electric Cooperative,Unalakleet,0.42,0.21,0.21,0.5,Yes,PCE,NA
"Unalaska, City of",Unalaska,0.47,0.23,0.25,0.48,Yes,PCE,NA
Ungusraq Power Company,Newtok,0.8,0.6,0.2,0.76,Yes,PCE,NA
Venetie Village Electric,Venetie,0.9,0.52,0.38,0.57999999999999996,Yes,PCE,NA
"White Mountain, City of",White Mountain,0.62,0.32,0.3,0.51,Yes,PCE,NA
"Wrangell, City of",Wrangell,0.11,0,0.11,0,No,EIA,NA
Yakutat Power Inc,Yakutat,0.52,0.33,0.19,0.63,Yes,PCE,NA
