"Certified Utilities Installed Capacity by Prime Mover by Plant (kW), 2013",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11
Utility Name,Plant Name,Community Name,Total Capacity,Fossil Fuel Turbines,Internal Combustion,Hydroelectric,Wind Turbine,Other,Source,Notes
Alaska Village Electric Cooperative,Kotlik,Kotlik,1400,0,1400,0,0,0,EIA-F860,NA
Alaska Village Electric Cooperative,Koyuk,Koyuk,1100,0,1100,0,0,0,EIA-F860,NA
Alaska Village Electric Cooperative,Marshall,Marshall,1085,0,1085,0,0,0,AEA Village Assessment,NA
Alaska Village Electric Cooperative,Mekoryuk,Mekoryuk,904,0,704,0,200,0,AEA Village Assessment,NA
Alaska Village Electric Cooperative,Minto,Minto,708,0,708,0,0,0,AEA Village Assessment,NA
Alaska Village Electric Cooperative,Mountain Village,Mountain Village,1700,0,1700,0,0,0,EIA-F860,NA
Alaska Village Electric Cooperative,New Stuyahok,New Stuyahok,1331,0,1331,0,0,0,AEA Village Assessment,NA
Alaska Village Electric Cooperative,Nightmute,Nightmute,325,0,325,0,0,0,AEA Village Assessment,Receives power from Toksook Bay via intertie. Refer to Toksook Bay for Nightmute and Tununak fuel use and cost data.
Alaska Village Electric Cooperative,Noatak,Noatak,1200,0,1200,0,0,0,EIA-F860,NA
Alaska Village Electric Cooperative,Noorvik,Noorvik,1000,0,1000,0,0,0,EIA-F860,NA
Alaska Village Electric Cooperative,Nulato,Nulato,1002,0,1002,0,0,0,AEA Village Assessment,NA
Alaska Village Electric Cooperative,Nunapitchuk,Nunapitchuk,500,0,500,0,0,0,AEA Village Assessment,Receives power from Kasigluk. Refer to Kasigluk for fuel use and cost data.
Alaska Village Electric Cooperative,Old Harbor,Old Harbor,703,0,703,0,0,0,AEA Village Assessment,NA
Alaska Village Electric Cooperative,Pilot Station,Pilot Station,1200,0,1200,0,0,0,EIA-F860,NA
Alaska Village Electric Cooperative,Quinhagak,Quinhagak,1400,0,1100,0,300,0,EIA-F860,NA
Alaska Village Electric Cooperative,Russian Mission,Russian Mission,904,0,904,0,0,0,AEA Village Assessment,NA
Alaska Village Electric Cooperative,Saint Mary's,Saint Mary's,6500,0,6500,0,0,0,EIA-F860,NA
Alaska Village Electric Cooperative,Saint Michael,Saint Michael,1000,0,1000,0,0,0,EIA-F860,NA
Alaska Village Electric Cooperative,Savoonga,Savoonga,1900,0,1700,0,200,0,EIA-F860,NA
Alaska Village Electric Cooperative,Scammon Bay,Scammon Bay,1300,0,1300,0,0,0,EIA-F860,NA
Alaska Village Electric Cooperative,Selawik,Selawik,1600,0,1600,0,0,0,EIA-F860,NA
Alaska Village Electric Cooperative,Shageluk,Shageluk,408,0,408,0,0,0,AEA Village Assessment,NA
Alaska Village Electric Cooperative,Shaktoolik,Shaktoolik,1198,0,998,0,200,0,AEA Village Assessment,NA
Alaska Village Electric Cooperative,Shishmaref,Shishmaref,1400,0,1400,0,0,0,EIA-F860,NA
Alaska Village Electric Cooperative,Shungnak,Shungnak,1200,0,1200,0,0,0,EIA-F860,Provides power to Kobuk via intertie. Includes Kobuk's data.
Alaska Village Electric Cooperative,Stebbins,Stebbins,1200,0,1200,0,0,0,EIA-F860,NA
Alaska Village Electric Cooperative,Teller,Teller,1050,0,1050,0,0,0,AEA Village Assessment,NA
Alaska Village Electric Cooperative,Togiak,Togiak,1300,0,1300,0,0,0,EIA-F860,NA
Alaska Village Electric Cooperative,Toksook Bay,Toksook Bay,2100,0,1700,0,400,0,EIA-F860,Provides power to Nightmute and Tununak via intertie. Includes Nightmute's and Tununak's data.
Alaska Village Electric Cooperative,Tununak,Tununak,325,0,325,0,0,0,AEA Village Assessment,Receives power from Toksook Bay via intertie. Refer to Toksook Bay for Nightmute's and Tununak's fuel use and cost data.
Alaska Village Electric Cooperative,Upper Kalskag,Lower Kalskag,1100,0,1100,0,0,0,EIA-F860,Receives power from (Upper) Kalskag via intertie. Refer to (Upper) Kalskag for fuel use and cost data.
Alaska Village Electric Cooperative,Wales,Wales,625,0,495,0,130,0,"AEA Village Assessment, AEA Wind Program Manager",NA
Alutiiq Power Company,Karluk,Karluk,140,0,140,0,0,0,AEA Village Assessment,NA
Anchorage Municipal Light & Power,Anchorage 1,Anchorage,102900,100900,2000,0,0,0,EIA-F860,"In addition to Anchorage, the CEA service area includes eight other communities."
Anchorage Municipal Light & Power,AWWU Conduit,Anchorage,750,0,0,750,0,0,AEA Hydro Program Manager,"In addition to Anchorage, the CEA service area includes eight other communities."
Anchorage Municipal Light & Power,Eklutna Lake,Anchorage,44400,0,0,44400,0,0,EIA-F860,"In addition to Anchorage, the CEA service area includes eight other communities."
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,266300,266300,0,0,0,0,EIA-F860,"In addition to Anchorage, the CEA service area includes eight other communities."
Aniak Light & Power,Aniak,Aniak,1100,0,1100,0,0,0,EIA-F860,NA
Arctic Village Electric Company,Arctic Village,Arctic Village,395,0,395,0,0,0,AEA Village Assessment,NA
"Atka, City of",Atka,Atka,541,0,257,284,0,0,AEA Village Assessment,NA
Atmautluak Tribal Utilities,Atmautluak,Atmautluak,547,0,547,0,0,0,AEA Village Assessment,NA
Aurora Energy LLC Chena,Aurora Energy,Fairbanks,27500,27500,0,0,0,0,EIA-F860,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
"Banner Wind, LLC",Banner Peak Wind Farm,Nome,1170,0,0,0,1170,0,AEA Wind Program Manager,NA
Barrow Utilities & Electric Cooperative Inc.,Barrow,Barrow,20300,17300,3000,0,0,0,EIA-F860,NA
Beaver Joint Utilities,Beaver,Beaver,244,0,244,0,0,0,AEA Village Assessment,NA
Bethel Utilities Corporation,Bethel,Bethel,12600,0,12600,0,0,0,EIA-F860,Provides power to Oscarville and sells power to Napakiak Ircinraq via intertie. Includes Oscarville's data.
Birch Creek Village Electric,Birch Creek,Birch Creek,28,0,28,0,0,0,AEA Village Assessment,NA
"Buckland, City of",Buckland,Buckland,1152,0,1152,0,0,0,AEA Village Assessment,NA
Chalkyitsik Village Council,Chalkyitsik,Chalkyitsik,307,0,307,0,0,0,AEA Village Assessment,NA
Chenega Ira Council,Chenega Bay,Chenega Bay,198,0,198,0,0,0,AEA Village Assessment,NA
"Chignik, City of",Chignik,Chignik,575,0,575,0,0,0,AEA Village Assessment,NA
Chignik Lagoon Power Utility,Chignik Lagoon,Chignik Lagoon,453,0,453,0,0,0,AEA Village Assessment,NA
Chignik Lake Electric Utility,Chignik Lake,Chignik Lake,442,0,442,0,0,0,AEA Village Assessment,NA
Chitina Electric Inc,Chitina,Chitina,301,0,301,0,0,0,AEA Village Assessment,NA
Chugach Electric Assn Inc,Beluga,Anchorage,374400,374400,0,0,0,0,EIA-F860,"In addition to Anchorage, the CEA service area includes eight other communities."
Chugach Electric Assn Inc,Cooper Lake,Anchorage,19400,0,0,19400,0,0,EIA-F860,"In addition to Anchorage, the CEA service area includes eight other communities."
Chugach Electric Assn Inc,International,Anchorage,46300,46300,0,0,0,0,EIA-F860,"In addition to Anchorage, the CEA service area includes eight other communities."
Chugach Electric Assn Inc,Southcentral Power Project,Anchorage,203900,203900,0,0,0,0,EIA-F860,"In addition to Anchorage, the CEA service area includes eight other communities."
Circle Electric Utility,Circle,Circle,188,0,188,0,0,0,AEA Village Assessment,NA
"Clark's Point, City of",Clark's Point,Clark's Point,446,0,446,0,0,0,AEA Village Assessment,NA
Copper Valley Elec Assn Inc,Glennallen,Valdez,10700,0,10700,0,0,0,EIA-F860,"In addition to Valdez, the CVEA service area includes 14 other communities."
Copper Valley Elec Assn Inc,Solomon Gulch,Valdez,12000,0,0,12000,0,0,EIA-F860,"In addition to Valdez, the CVEA service area includes 14 other communities."
Copper Valley Elec Assn Inc,Valdez,Valdez,9700,2800,6900,0,0,0,EIA-F860,"In addition to Valdez, the CVEA service area includes 14 other communities."
Copper Valley Elec Assn Inc,Valdez Cogen,Valdez,5300,5300,0,0,0,0,EIA-F860,"In addition to Valdez, the CVEA service area includes 14 other communities."
Cordova Electric Cooperative,Humpback Creek,Cordova,1200,0,0,1200,0,0,EIA-F860,NA
Cordova Electric Cooperative,Orca,Cordova,10700,0,10700,0,0,0,EIA-F860,NA
Cordova Electric Cooperative,Power Creek,Cordova,6000,0,0,6000,0,0,EIA-F860,NA
