AK Plant ID,Utility Name,Plant Name,Intertie Name,AEA Energy Region,ACEP Energy Region
66,Alaska Village Electric Cooperative,Quinhagak,Quinhagak_grid,Lower Yukon-Kuskokwim,Rural Remote
67,Alaska Village Electric Cooperative,Saint Mary's,Saint Mary's_grid,Lower Yukon-Kuskokwim,Rural Remote
69,Alaska Village Electric Cooperative,Scammon Bay,Scammon Bay_grid,Lower Yukon-Kuskokwim,Rural Remote
76,Alaska Village Electric Cooperative,Toksook Bay,Toksook Bay_grid,Lower Yukon-Kuskokwim,Rural Remote
77,Alaska Village Electric Cooperative,Kalskag,Upper Kalskag_grid,Lower Yukon-Kuskokwim,Rural Remote
80,Alaska Village Electric Cooperative,Eek,Eek_grid,Lower Yukon-Kuskokwim,Rural Remote
82,Alaska Village Electric Cooperative,Goodnews Bay,Goodnews Bay_grid,Lower Yukon-Kuskokwim,Rural Remote
87,Alaska Village Electric Cooperative,Mekoryuk,Mekoryuk_grid,Lower Yukon-Kuskokwim,Rural Remote
93,Alaska Village Electric Cooperative,Russian Mission,Russian Mission_grid,Lower Yukon-Kuskokwim,Rural Remote
231,Platinum Commercial Company LLC.,Platinum,Platinum_grid,Lower Yukon-Kuskokwim,Rural Remote
258,Tuluksak Traditional,Tuluksak,Tuluksak_grid,Lower Yukon-Kuskokwim,Rural Remote
60,Alaska Village Electric Cooperative,Mountain Village,Mountain Village_grid,Lower Yukon-Kuskokwim,Rural Remote
64,Alaska Village Electric Cooperative,Nunapitchuk,Kasigluk_grid,Lower Yukon-Kuskokwim,Rural Remote
89,Alaska Village Electric Cooperative,Nightmute,Toksook Bay_grid,Lower Yukon-Kuskokwim,Rural Remote
97,Alaska Village Electric Cooperative,Tununak,Toksook Bay_grid,Lower Yukon-Kuskokwim,Rural Remote
99,Alaska Village Electric Cooperative,Lower Kalskag,Upper Kalskag_grid,Lower Yukon-Kuskokwim,Rural Remote
110,Barrow Utilities & Electric Cooperative Inc.,Barrow,Utqiagvik_grid,North Slope,Rural Remote
216,North Slope Borough Power & Light,Anaktuvuk Pass,Anaktuvuk Pass_grid,North Slope,Rural Remote
217,North Slope Borough Power & Light,Atqasuk,Atqasuk_grid,North Slope,Rural Remote
218,North Slope Borough Power & Light,Kaktovik,Kaktovik_grid,North Slope,Rural Remote
219,North Slope Borough Power & Light,Nuiqsut,Nuiqsut_grid,North Slope,Rural Remote
220,North Slope Borough Power & Light,Point Hope,Point Hope_grid,North Slope,Rural Remote
221,North Slope Borough Power & Light,Point Lay,Point Lay_grid,North Slope,Rural Remote
222,North Slope Borough Power & Light,Wainwright,Wainwright_grid,North Slope,Rural Remote
254,TDX North Slope Generating Co,TNSG North Plant,Deadhorse_grid,North Slope,Rural Remote
255,TDX North Slope Generating Co,TNSG South Plant,Deadhorse_grid,North Slope,Rural Remote
113,"Buckland, City of",Buckland,Buckland_grid,Northwest Arctic,Rural Remote
169,Ipnatchiaq Electric Company,Deering,Deering_grid,Northwest Arctic,Rural Remote
189,Kotzebue Electric Association,Kotzebue,Kotzebue_grid,Northwest Arctic,Rural Remote
46,Alaska Village Electric Cooperative,Ambler,Ambler_grid,Northwest Arctic,Rural Remote
55,Alaska Village Electric Cooperative,Kiana,Kiana_grid,Northwest Arctic,Rural Remote
56,Alaska Village Electric Cooperative,Kivalina,Kivalina_grid,Northwest Arctic,Rural Remote
62,Alaska Village Electric Cooperative,Noatak,Noatak_grid,Northwest Arctic,Rural Remote
63,Alaska Village Electric Cooperative,Noorvik,Noorvik_grid,Northwest Arctic,Rural Remote
70,Alaska Village Electric Cooperative,Selawik,Selawik_grid,Northwest Arctic,Rural Remote
72,Alaska Village Electric Cooperative,Shungnak,Shungnak_grid,Northwest Arctic,Rural Remote
101,Anchorage Municipal Light and Power,Anchorage 1,Railbelt_grid,Railbelt,Railbelt
102,Anchorage Municipal Light and Power,Eklutna Hydro Project,Railbelt_grid,Railbelt,Railbelt
103,Anchorage Municipal Light and Power,George M Sullivan Generation Plant 2,Railbelt_grid,Railbelt,Railbelt
109,Aurora Energy LLC,Aurora Energy LLC Chena,Railbelt_grid,Railbelt,Railbelt
120,Chugach Electric Assn Inc,Beluga,Railbelt_grid,Railbelt,Railbelt
121,Chugach Electric Assn Inc,Cooper Lake,Railbelt_grid,Railbelt,Railbelt
123,Chugach Electric Assn Inc,Southcentral Power Project,Railbelt_grid,Railbelt,Railbelt
136,Doyon Utilities - Fort Greely,Fort Greely Power Plant,Railbelt_grid,Railbelt,Railbelt
137,Doyon Utilities - Ft. Wainwright,Utility Plants Section,Railbelt_grid,Railbelt,Railbelt
138,"Doyon Utilities, LLC",JBER Landfill Gas Power Plant,Railbelt_grid,Railbelt,Railbelt
14,Alaska Environmental Power,Delta Wind Farm,Railbelt_grid,Railbelt,Railbelt
142,Fire Island Wind LLC,Fire Island Wind,Railbelt_grid,Railbelt,Railbelt
146,Golden Valley Elec Assn Inc,Battery Energy Storage System,Railbelt_grid,Railbelt,Railbelt
147,Golden Valley Elec Assn Inc,Delta Power,Railbelt_grid,Railbelt,Railbelt
148,Golden Valley Elec Assn Inc,Eva Creek Wind,Railbelt_grid,Railbelt,Railbelt
149,Golden Valley Elec Assn Inc,Fairbanks,Railbelt_grid,Railbelt,Railbelt
150,Golden Valley Elec Assn Inc,Healy,Railbelt_grid,Railbelt,Railbelt
151,Golden Valley Elec Assn Inc,North Pole,Railbelt_grid,Railbelt,Railbelt
155,Homer Electric Assn Inc,Bernice Lake,Railbelt_grid,Railbelt,Railbelt
156,Homer Electric Assn Inc,Bradley Lake,Railbelt_grid,Railbelt,Railbelt
157,Homer Electric Assn Inc,Nikiski Co-Generation,Railbelt_grid,Railbelt,Railbelt
158,Homer Electric Assn Inc,Seldovia,Railbelt_grid,Railbelt,Railbelt
159,Homer Electric Assn Inc,Soldotna,Railbelt_grid,Railbelt,Railbelt
197,Matanuska Electric Assn Inc,Eklutna Generation Station,Railbelt_grid,Railbelt,Railbelt
239,City of Seward - (AK),Seward,Railbelt_grid,Railbelt,Railbelt
257,Tesoro Alaska Company LLC,Tesoro Kenai Cogeneration Plant,Railbelt_grid,Railbelt,Railbelt
267,University of Alaska,University of Alaska Fairbanks,Railbelt_grid,Railbelt,Railbelt
268,U S Air Force-Eielson AFB,Eielson AFB Central Heat & Power Plant,Railbelt_grid,Railbelt,Railbelt
1,Agrium US Inc,Agrium Kenai Nitrogen Operations,Railbelt_grid,Railbelt,Railbelt
122,Chugach Electric Assn Inc,International,Railbelt_grid,Railbelt,Railbelt
279,Golden Valley Elec Assn Inc,Chena 6,Railbelt_grid,Railbelt,Railbelt
10,Alaska Electric Light & Power Company,Lake Dorothy Hydroelectric Project,Juneau_grid,Southeast,Coastal
