"","Utility Name","Community Name","Residential Revenue","Residential Sales","Residential Customers","Residential $/kWh","Commercial Revenue","Commercial Sales","Commercial Customers","Commercial $/kWh","Other Revenue","Other Sales","Other Customers","Other $/kWh","Total Revenue","Total Sales","Total Customers","Total $/kWh","source","Notes"
"81","Alutiiq Power Company","Karluk","75","106","14","0.71","75","105","11","0.71","14","19","3","0.71","164","230","28","0.71","PCE",NA
"82","Anchorage Municipal Light & Power","Anchorage","18480","139733","24463","0.13","94117","907737","6323","0.1","0","0","0",NA,"112597","1047470","30786","0.11","EIA","In addition to Anchorage, the CEA service area includes eight other communities."
"83","Aniak Light & Power","Aniak","732","962","181","0.76","545","717","25","0.76","352","463","9","0.76","1629","2142","215","0.76","PCE",NA
"84","Arctic Village Electric Company","Arctic Village","101","149","55","0.67","119","176","5","0.67","53","79","5","0.67","273","404","65","0.67","PCE",NA
"85","Atka, City of","Atka","119","162","30","0.74","106","145","5","0.74","84","114","14","0.74","309","420","49","0.74","PCE",NA
"86","Atmautluak Tribal Utilities","Atmautluak","240","300","72","0.8","116","145","7","0.8","77","97","11","0.8","433","542","90","0.8","PCE",NA
"87","Barrow Utilities & Electric Cooperative Inc.","Barrow","1431","11865","1475","0.12","4054","38387","412","0.11","0","0","0",NA,"5486","50252","1887","0.11","EIA",NA
"88","Beaver Joint Utilities","Beaver","83","93","33","0.9","88","98","7","0.9","68","76","8","0.9","240","266","48","0.9","PCE",NA
"89","Bethel Utilities Corporation","Bethel","5639","10049","1749","0.56000000000000005","15002","26735","961","0.56000000000000005","2040","3636","48","0.56000000000000005","22682","40420","2757","0.56000000000000005","PCE","Provides power to Oscarville and sells power to Napakiak Ircinraq via intertie. Includes Oscarville's data."
"90","Buckland, City of","Buckland","316","673","98","0.47","391","832","17","0.47","36","76","10","0.47","743","1581","125","0.47","PCE",NA
"91","Chalkyitsik Village Council","Chalkyitsik","59","62","44","0.95","54","57","6","0.95","138","145","6","0.95","251","265","56","0.95","PCE",NA
"92","Chenega Ira Council","Chenega Bay","68","108","25","0.63","53","84","11","0.63","35","55","9","0.63","155","247","45","0.63","PCE",NA
"93","Chignik, City of","Chignik","102","186","60","0.55000000000000004","263","479","31","0.55000000000000004","51","93","11","0.55000000000000004","416","757","102","0.55000000000000004","PCE",NA
"94","Chignik Lagoon Power Utility","Chignik Lagoon","163","221","55","0.74","101","137","7","0.74","51","68","7","0.74","315","426","70","0.74","PCE",NA
"95","Chignik Lake Electric Utility","Chignik Lake","114","132","41","0.86","51","60","2","0.86","122","141","11","0.86","287","334","54","0.86","PCE",NA
"96","Chitina Electric Inc","Chitina","103","148","51","0.7","144","207","24","0.7","47","67","5","0.7","294","422","80","0.7","PCE",NA
"97","Chugach Electric Assn Inc","Anchorage","79210","534522","69686","0.15","70057","573447","9296","0.12","5941","54395","7","0.11","155208","1162364","78989","0.13","EIA","In addition to Anchorage, the CEA service area includes eight other communities."
"98","Circle Electric Utility","Circle","109","138","39","0.79","86","109","9","0.79","89","112","5","0.79","283","359","53","0.79","PCE",NA
"99","Copper Valley Elec Assn Inc","Valdez","4721","16731","2962","0.28000000000000003","16269","66614","797","0.24","0","0","0",NA,"20990","83345","3759","0.25","EIA","In addition to Valdez, the CVEA service area includes 14 other communities."
"100","Cordova Electric Cooperative","Cordova","1893","4572","770","0.41","7030","16979","721","0.41","2050","4950","108","0.41","10972","26502","1599","0.41","PCE",NA
"101","Diomede Joint Utilities","Diomede","87","144","50","0.6","137","228","11","0.6","21","35","6","0.6","245","408","67","0.6","PCE",NA
"102","Egegik Light & Power Co","Egegik","123","143","41","0.86","240","279","14","0.86","116","135","19","0.86","479","557","74","0.86","PCE",NA
"103","Elfin Cove Utility Commission","Elfin Cove","85","107","45","0.79","84","106","29","0.79","11","14","7","0.79","180","227","81","0.79","PCE",NA
"104","False Pass, City of","False Pass","46","111","25","0.42","179","426","14","0.42","40","94","14","0.42","265","631","53","0.42","PCE",NA
"105","Galena, City of","Galena","484","722","194","0.67","1683","2511","119","0.67","753","1124","49","0.67","2919","4357","361","0.67","PCE",NA
"106","G & K Inc","Cold Bay","127","177","36","0.72","549","762","24","0.72","1041","1446","56","0.72","1717","2385","116","0.72","PCE",NA
"107","Gold Country Energy","Central","197","271","138","0.73","37","51","7","0.73","88","122","7","0.73","322","444","152","0.73","PCE",NA
"108","Golden Valley Elec Assn Inc","Fairbanks","65591","286768","38163","0.23","28106","133156","6323","0.21","142972","833237","511","0.17","236670","1253161","44997","0.19","EIA","In addition to Fairbanks, the GVEA service area includes 25 other communities."
"109","Golovin Power Utilities","Golovin","146","243","55","0.6","223","372","27","0.6","80","133","16","0.6","448","747","98","0.6","PCE",NA
"110","Gustavus Electric Co","Gustavus","453","971","473","0.47","233","499","123","0.47","140","300","30","0.47","826","1769","627","0.47","PCE",NA
"111","Gwitchyaa Zhee Utilities Company","Fort Yukon","737","1098","261","0.67","678","1010","65","0.67","368","548","30","0.67","1782","2656","356","0.67","PCE",NA
"112","Homer Electric Assn Inc","Kalifornsky","37754","179868","26150","0.21","33178","180983","3976","0.18","9511","120722","23","0.08","80444","481573","30149","0.17","EIA",NA
"113","Hughes Power & Light","Hughes","115","163","36","0.71","53","75","8","0.71","62","87","5","0.71","231","325","50","0.71","PCE",NA
"114","Igiugig Electric Company","Igiugig","77","95","27","0.81","71","88","9","0.81","78","96","15","0.81","226","279","51","0.81","PCE",NA
"115","I-N-N Electric Coop, Inc","Newhalen","492","828","215","0.59","1038","1746","91","0.59","417","701","23","0.59","1947","3275","329","0.59","PCE",NA
"116","Inside Passage Electric","Angoon","573","883","196","0.65","301","464","25","0.65","161","248","15","0.65","1036","1595","236","0.65","PCE",NA
