"","Utility Name","Community Name","Residential kWh Use Per Customer","Residential Revenue Per Customer","Residential $/kWh","Commercial kWh Use Per Customer","Commercial Revenue Per Customer","Commercial $/kWh","Other kWh Use Per Customer","Other Revenue Per Customer","Other $/kWh","source","Notes"
"44","Alaska Village Electric Cooperative","Kaltag","4000","2333","0.57999999999999996","6923","4077","0.57999999999999996","15632","9105","0.57999999999999996","PCE",NA
"45","Alaska Village Electric Cooperative","Kasigluk","5932","3393","0.56999999999999995","16636","9545","0.56999999999999995","38125","21813","0.56999999999999995","PCE",NA
"46","Alaska Village Electric Cooperative","Kiana","5016","3242","0.65","16818","10909","0.65","35778","23111","0.65","PCE",NA
"47","Alaska Village Electric Cooperative","Kivalina","5875","3818","0.65","27125","17625","0.65","31063","20188","0.65","PCE",NA
"48","Alaska Village Electric Cooperative","Kotlik","5687","3522","0.62","24067","14933","0.62","42111","26111","0.62","PCE",NA
"49","Alaska Village Electric Cooperative","Koyuk","5385","3242","0.6","17769","10692","0.6","22957","13826","0.6","PCE",NA
"50","Alaska Village Electric Cooperative","Lower Kalskag","3329","2024","0.61","21667","13333","0.61","15889","9667","0.61","PCE","Receives power from (Upper) Kalskag via intertie. Refer to (Upper) Kalskag for fuel use and cost data."
"51","Alaska Village Electric Cooperative","Marshall","5150","3080","0.6","17846","10692","0.6","29000","17320","0.6","PCE",NA
"52","Alaska Village Electric Cooperative","Mekoryuk","3359","1870","0.56000000000000005","11000","6143","0.56000000000000005","18810","10476","0.56000000000000005","PCE",NA
"53","Alaska Village Electric Cooperative","Minto","3707","2253","0.61","6333","3889","0.61","19667","12000","0.61","PCE",NA
"54","Alaska Village Electric Cooperative","Mountain Village","5128","3118","0.61","31778","19333","0.61","40267","24467","0.61","PCE",NA
"55","Alaska Village Electric Cooperative","New Stuyahok","5330","3440","0.64","10037","6481","0.64","27167","17500","0.64","PCE",NA
"56","Alaska Village Electric Cooperative","Nightmute","5069","2776","0.55000000000000004","10846","5923","0.55000000000000004","12214","6643","0.55000000000000004","PCE","Receives power from Toksook Bay via intertie. Refer to Toksook Bay for Nightmute and Tununak fuel use and cost data."
"57","Alaska Village Electric Cooperative","Noatak","6712","5856","0.87","16571","14429","0.87","44688","39000","0.87","PCE",NA
"58","Alaska Village Electric Cooperative","Noorvik","6113","3974","0.65","16300","10600","0.65","39400","25600","0.65","PCE",NA
"59","Alaska Village Electric Cooperative","Nulato","4248","2578","0.61","6111","3667","0.61","19417","11750","0.61","PCE",NA
"60","Alaska Village Electric Cooperative","Nunapitchuk","4716","2694","0.56999999999999995","11941","6824","0.56999999999999995","22688","12938","0.56999999999999995","PCE","Receives power from Kasigluk. Refer to Kasigluk for fuel use and cost data."
"61","Alaska Village Electric Cooperative","Old Harbor","4031","2515","0.62","4625","2875","0.62","21533","13467","0.62","PCE",NA
"62","Alaska Village Electric Cooperative","Pilot Station","5504","3223","0.59","25500","14900","0.59","38842","22737","0.59","PCE",NA
"63","Alaska Village Electric Cooperative","Pitkas Point","4323","2548","0.59","6500","3750","0.59","15000","8857","0.59","PCE","Receives power from Saint Mary's via intertie. Refer to Saint Mary's for fuel use and cost data."
"64","Alaska Village Electric Cooperative","Quinhagak","4894","2542","0.52","26056","13556","0.52","23360","12160","0.52","PCE",NA
"65","Alaska Village Electric Cooperative","Russian Mission","5178","3137","0.61","8200","5000","0.61","34667","21000","0.61","PCE",NA
"66","Alaska Village Electric Cooperative","Saint Mary's","4775","2829","0.59","20158","11947","0.59","44154","26154","0.59","PCE",NA
"67","Alaska Village Electric Cooperative","Saint Michael","6416","3822","0.6","30385","18077","0.6","34722","20667","0.6","PCE",NA
"68","Alaska Village Electric Cooperative","Savoonga","5337","2882","0.54","20278","10944","0.54","38318","20682","0.54","PCE",NA
"69","Alaska Village Electric Cooperative","Scammon Bay","4528","2896","0.64","9478","6043","0.64","38286","24524","0.64","PCE",NA
"70","Alaska Village Electric Cooperative","Selawik","5862","3615","0.62","14440","8920","0.62","43759","27000","0.62","PCE",NA
"71","Alaska Village Electric Cooperative","Shageluk","3135","2081","0.66","21200","14000","0.66","10833","7167","0.66","PCE",NA
"72","Alaska Village Electric Cooperative","Shaktoolik","6736","3778","0.56000000000000005","21167","11917","0.56000000000000005","17375","9750","0.56000000000000005","PCE",NA
"73","Alaska Village Electric Cooperative","Shishmaref","5367","3238","0.6","20333","12278","0.6","19333","11667","0.6","PCE",NA
"74","Alaska Village Electric Cooperative","Shungnak","6515","4712","0.72","12727","9182","0.72","32462","23462","0.72","PCE","Provides power to Kobuk via intertie. Includes Kobuk's data."
"75","Alaska Village Electric Cooperative","Stebbins","4390","2603","0.59","23071","13643","0.59","26158","15474","0.59","PCE",NA
"76","Alaska Village Electric Cooperative","Teller","3620","2291","0.63","15636","9909","0.63","16750","10650","0.63","PCE",NA
"77","Alaska Village Electric Cooperative","Togiak","5100","3174","0.62","30120","18760","0.62","25364","15788","0.62","PCE",NA
"78","Alaska Village Electric Cooperative","Toksook Bay","5174","2833","0.55000000000000004","15889","8667","0.55000000000000004","27455","15000","0.55000000000000004","PCE","Provides power to Nightmute and Tununak via intertie. Includes Nightmute's and Tununak's data."
"79","Alaska Village Electric Cooperative","Tununak","4532","2479","0.55000000000000004","11455","6273","0.55000000000000004","19800","10867","0.55000000000000004","PCE","Receives power from Toksook Bay via intertie. Refer to Toksook Bay for Nightmute's and Tununak's fuel use and cost data."
"80","Alaska Village Electric Cooperative","Wales","4192","2885","0.69","9909","6818","0.69","15500","10643","0.69","PCE",NA
"81","Alutiiq Power Company","Karluk","7571","5357","0.71","9545","6818","0.71","0","0","0.71","PCE",NA
"82","Anchorage Municipal Light & Power","Anchorage","5712","755","0.13","143561","14885","0.1",NA,NA,NA,"EIA","In addition to Anchorage, the CEA service area includes eight other communities."
"83","Aniak Light & Power","Aniak","5315","4044","0.76","28680","21800","0.76","51444","39111","0.76","PCE",NA
"84","Arctic Village Electric Company","Arctic Village","2709","1836","0.67","35200","23800","0.67","15800","10600","0.67","PCE",NA
"85","Atka, City of","Atka","5400","3967","0.74","29000","21200","0.74","8143","6000","0.74","PCE",NA
"86","Atmautluak Tribal Utilities","Atmautluak","4167","3333","0.8","20714","16571","0.8","8818","7000","0.8","PCE",NA
"87","Barrow Utilities & Electric Cooperative Inc.","Barrow","8044","971","0.12","93172","9842","0.11",NA,NA,NA,"EIA",NA
"88","Beaver Joint Utilities","Beaver","2818","2515","0.9","14000","12571","0.9","9500","8500","0.9","PCE",NA
"89","Bethel Utilities Corporation","Bethel","5746","3224","0.56000000000000005","27820","15611","0.56000000000000005","75750","42500","0.56000000000000005","PCE","Provides power to Oscarville and sells power to Napakiak Ircinraq via intertie. Includes Oscarville's data."
"90","Buckland, City of","Buckland","6867","3224","0.47","48941","23000","0.47","0","0","0.47","PCE",NA
"91","Chalkyitsik Village Council","Chalkyitsik","1409","1341","0.95","9500","9000","0.95","24167","23000","0.95","PCE",NA
"92","Chenega Ira Council","Chenega Bay","4320","2720","0.63","7636","4818","0.63","6111","3889","0.63","PCE",NA
"93","Chignik, City of","Chignik","3100","1700","0.55000000000000004","15452","8484","0.55000000000000004","8455","4636","0.55000000000000004","PCE",NA
"94","Chignik Lagoon Power Utility","Chignik Lagoon","4018","2964","0.74","19571","14429","0.74","9714","7286","0.74","PCE",NA
"95","Chignik Lake Electric Utility","Chignik Lake","3220","2780","0.86","30000","25500","0.86","12818","11091","0.86","PCE",NA
"96","Chitina Electric Inc","Chitina","2902","2020","0.7","8625","6000","0.7","13400","9400","0.7","PCE",NA
"97","Chugach Electric Assn Inc","Anchorage","7670","1137","0.15","61687","7536","0.12","7770714","848714","0.11","EIA","In addition to Anchorage, the CEA service area includes eight other communities."
"98","Circle Electric Utility","Circle","3538","2795","0.79","12111","9556","0.79","22400","17800","0.79","PCE",NA
"99","Copper Valley Elec Assn Inc","Valdez","5648","1594","0.28000000000000003","83580","20413","0.24",NA,NA,NA,"EIA","In addition to Valdez, the CVEA service area includes 14 other communities."
"100","Cordova Electric Cooperative","Cordova","5938","2458","0.41","23549","9750","0.41","45833","18981","0.41","PCE",NA
"101","Diomede Joint Utilities","Diomede","2880","1740","0.6","20727","12455","0.6","5833","3500","0.6","PCE",NA
"102","Egegik Light & Power Co","Egegik","3488","3000","0.86","19929","17143","0.86","7105","6105","0.86","PCE",NA
"103","Elfin Cove Utility Commission","Elfin Cove","2378","1889","0.79","3655","2897","0.79","2000","1571","0.79","PCE",NA
"104","False Pass, City of","False Pass","4440","1840","0.42","30429","12786","0.42","6714","2857","0.42","PCE",NA
"105","Galena, City of","Galena","3722","2495","0.67","21101","14143","0.67","22939","15367","0.67","PCE",NA
"106","G & K Inc","Cold Bay","4917","3528","0.72","31750","22875","0.72","25821","18589","0.72","PCE",NA
"107","Gold Country Energy","Central","1964","1428","0.73","7286","5286","0.73","17429","12571","0.73","PCE",NA
"108","Golden Valley Elec Assn Inc","Fairbanks","7514","1719","0.23","21058","4445","0.21","1630600","279790","0.17","EIA","In addition to Fairbanks, the GVEA service area includes 25 other communities."
"109","Golovin Power Utilities","Golovin","4418","2655","0.6","13778","8259","0.6","8313","5000","0.6","PCE",NA
"110","Gustavus Electric Co","Gustavus","2053","958","0.47","4057","1894","0.47","10000","4667","0.47","PCE",NA
"111","Gwitchyaa Zhee Utilities Company","Fort Yukon","4207","2824","0.67","15538","10431","0.67","18267","12267","0.67","PCE",NA
"112","Homer Electric Assn Inc","Kalifornsky","6878","1444","0.21","45518","8345","0.18","5248782","413552","0.08","EIA",NA
"113","Hughes Power & Light","Hughes","4528","3194","0.71","9375","6625","0.71","17400","12400","0.71","PCE",NA
"114","Igiugig Electric Company","Igiugig","3519","2852","0.81","9778","7889","0.81","6400","5200","0.81","PCE",NA
"115","I-N-N Electric Coop, Inc","Newhalen","3851","2288","0.59","19187","11407","0.59","30478","18130","0.59","PCE",NA
"116","Inside Passage Electric","Angoon","4505","2923","0.65","18560","12040","0.65","16533","10733","0.65","PCE",NA
"117","Inside Passage Electric","Chilkat Valley","3191","2074","0.65","15360","9960","0.65","2824","1824","0.65","PCE","Provides power to Klukwan via intertie. Power is purchased from AP&T."
"118","Inside Passage Electric","Hoonah","4764","3090","0.65","30322","19678","0.65","18000","11689","0.65","PCE",NA
"119","Inside Passage Electric","Kake","4496","2918","0.65","29540","19180","0.65","13476","8762","0.65","PCE",NA
"120","Inside Passage Electric","Klukwan","4021","2617","0.65","10250","6625","0.65","0","0","0.65","PCE","Receives power from Chilkat Valley via intertie. Chilkat Valley purchases power from AP&T."
"121","Ipnatchiaq Electric Company","Deering","5070","3558","0.7","40000","28000","0.7","13083","9167","0.7","PCE",NA
"122","Ketchikan Public Utilities","Ketchikan","11323","1152","0.1","60205","5853","0.1","1946615","162723","0.08","EIA",NA
"123","King Cove, City of","King Cove","5933","1782","0.3","7429","2230","0.3","27316","8184","0.3","PCE",NA
"124","Kipnuk Light Plant","Kipnuk","4958","2114","0.43","13125","5594","0.43","16400","7000","0.43","PCE",NA
"125","Kobuk Valley Electric Company","Kobuk","5390","3902","0.72","16273","11818","0.72","45167","32667","0.72","PCE","Receives power from Shungnak via intertie. Refer to Shungnak for fuel use and cost data."
"126","Kodiak Electric Assn Inc","Kodiak","7308","1307","0.18","20585","3572","0.17","847932","138049","0.16","EIA","The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island."
"127","Kokhanok Village Council","Kokhanok","3333","3000","0.9","7250","6500","0.9","10214","9214","0.9","PCE",NA
"128","Kotzebue Electric Association","Kotzebue","6875","2911","0.42","97262","41178","0.42","29742","12591","0.42","PCE",NA
"129","Koyukuk, City of","Koyukuk","1414","1345","0.95","11800","11200","0.95","7000","6700","0.95","PCE",NA
"130","Kwethluk Incorporated d/b/a Kuiggluum Kallugvia","Kwethluk","4017","2089","0.52","18278","9500","0.52","8000","4111","0.52","PCE",NA
"131","Kwigillingok Power Company","Kwigillingok","5031","3073","0.61","18167","11083","0.61","16000","9833","0.61","PCE",NA
"132","Larsen Bay Utility Company","Larsen Bay","3596","1574","0.44","14333","6300","0.44","11100","4900","0.44","PCE",NA
"133","Levelock Electrical Coop","Levelock","3697","2576","0.7","9692","6769","0.7","4500","3125","0.7","PCE",NA
"134","Lime Village Electric Utility","Lime Village","1000","1765","1.77","18000","32000","1.77","2571","4429","1.77","PCE",NA
"135","Manokotak Power Company","Manokotak","3858","2121","0.55000000000000004","9043","5000","0.55000000000000004","21957","12087","0.55000000000000004","PCE",NA
"136","Matanuska Electric Association","Knik-Fairview","8242","1246","0.15","72167","9058","0.13",NA,NA,NA,"EIA",NA
"137","Mcgrath Light & Power","McGrath","3516","2620","0.75","14397","10741","0.75","17654","13173","0.75","PCE",NA
"138","Middle Kuskokwim Electric","Chuathbaluk","2727","2455","0.9","15286","13714","0.9","5000","4556","0.9","PCE",NA
"139","Middle Kuskokwim Electric","Crooked Creek","3235","2853","0.88","9625","8500","0.88","7833","6833","0.88","PCE",NA
"140","Middle Kuskokwim Electric","Red Devil","3000","2625","0.87","4667","4000","0.87","0","0","0.87","PCE",NA
"141","Middle Kuskokwim Electric","Sleetmute","2886","2543","0.89","7778","6889","0.89","10167","9000","0.89","PCE",NA
"142","Middle Kuskokwim Electric","Stony River","2294","2118","0.9","8714","7857","0.9","0","0","0.9","PCE",NA
"143","Naknek Electric Association","Naknek","3498","2019","0.57999999999999996","40388","23325","0.57999999999999996","34327","19821","0.57999999999999996","PCE","Provides power to South Naknek and King Salmon via intertie. Includes South Naknek's and King Salmon's data."
"144","Napakiak Ircinraq","Napakiak","3358","2877","0.86","8882","7588","0.86","5364","4545","0.86","PCE","Purchases power from Bethel Utilities Corporation."
"145","Napaskiak Electric Utility","Napaskiak","3771","2642","0.7","12333","8600","0.7","6000","4167","0.7","PCE",NA
"146","Naterkaq Light Plant (City of Chefornak)","Chefornak","4184","3485","0.83","15778","13111","0.83","20609","17174","0.83","PCE",NA
"147","Native Village of Perryville","Perryville","3000","2837","0.95","15667","14889","0.95","9111","8667","0.95","PCE",NA
"148","Nelson Lagoon Electrical Coop","Nelson Lagoon","3844","3219","0.84","6684","5632","0.84","6714","5714","0.84","PCE",NA
"149","New Koliganek Village Council","Koliganek","3783","1899","0.5","6429","3143","0.5","12957","6478","0.5","PCE",NA
"150","Nikolai, City of","Nikolai","4026","3615","0.9","19000","17000","0.9","9308","8385","0.9","PCE",NA
"151","Nome Joint Utility Systems","Nome","5562","2067","0.37","55937","20792","0.37","51278","19063","0.37","PCE",NA
"152","North Slope Borough Power & Light","Anaktuvuk Pass","7245","1092","0.15","48387","7258","0.15","14400","2200","0.15","PCE",NA
"153","North Slope Borough Power & Light","Atqasuk","11065","1661","0.15","50340","7560","0.15","19500","3000","0.15","PCE",NA
"154","North Slope Borough Power & Light","Kaktovik","8766","1312","0.15","75880","11380","0.15","74300","11100","0.15","PCE",NA
"155","North Slope Borough Power & Light","Nuiqsut","8829","705","0.08","66262","5308","0.08","20286","1571","0.08","PCE",NA
"156","North Slope Borough Power & Light","Point Hope","9464","1420","0.15","48740","7312","0.15","21250","3250","0.15","PCE",NA
"157","North Slope Borough Power & Light","Point Lay","7724","1155","0.15","65956","9889","0.15","32667","5000","0.15","PCE",NA
"158","North Slope Borough Power & Light","Wainwright","8364","1257","0.15","64843","9729","0.15","21857","3286","0.15","PCE",NA
"159","Nunam Iqua Electric Company","Nunam Iqua","4684","2474","0.53","114750","60750","0.53","22556","12000","0.53","PCE",NA
"160","Nushagak Electric Cooperative","Dillingham","5599","2527","0.45","28614","12914","0.45","17750","8010","0.45","PCE","Provides power to Aleknagik via intertie. Includes Aleknagik's data."
"161","Ouzinkie, City of","Ouzinkie","3873","1595","0.41","11950","4900","0.41","13273","5455","0.41","PCE",NA
"162","Pedro Bay Village Council","Pedro Bay","3000","2737","0.91","6273","5636","0.91","5600","5000","0.91","PCE",NA
"163","Pelican Utility","Pelican","4969","3031","0.61","25429","15571","0.61","9793","5966","0.61","PCE",NA
"164","Petersburg, City of","Petersburg","14932","1450","0.1","13124","1500","0.11","576210","62287","0.11","EIA",NA
"165","Pilot Point Electric Utility","Pilot Point","4229","2114","0.5","8600","4267","0.5","6786","3357","0.5","PCE",NA
"166","Port Heiden Utilities","Port Heiden","3673","2750","0.75","6150","4600","0.75","18500","13857","0.75","PCE",NA
"167","Puvurnaq Power Company","Kongiganak","5961","3874","0.65","25923","16846","0.65","10444","6778","0.65","PCE",NA
"168","Ruby, City of","Ruby","2262","1902","0.84","11600","9750","0.84","5095","4286","0.84","PCE",NA
"169","Saint George, City of","Saint George","3927","3878","0.99","9214","9143","0.99","13000","12857","0.99","PCE",NA
"170","Saint Paul Municipal Electric","Saint Paul","5336","2832","0.53","41061","21758","0.53","32271","17104","0.53","PCE",NA
"171","Seward, City of","Seward","7527","1534","0.2","16552","3578","0.22","271576","47296","0.17","EIA","The City of Seward service area includes the communities of Crown Point, Primrose, Bear Creek and Lowell Point."
"172","Sitka, City & Borough of","Sitka","12363","1323","0.11","36039","3998","0.11","322666","36476","0.11","EIA",NA
"173","Takotna Community Assoc Inc","Takotna","2913","2957","1.02","7667","7889","1.02","5333","5444","1.02","PCE",NA
"174","Tanalian Electric Cooperative","Port Alsworth","4014","2754","0.68","9667","6611","0.68","0","0","0.68","PCE",NA
"175","Tanana Power Company Inc","Tanana","2855","2036","0.71","12700","9067","0.71","18611","13278","0.71","PCE",NA
"176","Tatitlek Village Ira Council","Tatitlek","2155","1914","0.88","6538","5769","0.88","19000","16800","0.88","PCE",NA
"177","TDX Adak Generating LLC","Adak","2835","3278","1.1599999999999999","7767","8988","1.1599999999999999","23280","26960","1.1599999999999999","PCE",NA
"178","TDX Corporation","Sand Point","4979","2906","0.57999999999999996","11085","6468","0.57999999999999996","15477","9023","0.57999999999999996","PCE",NA
"179","TDX Manley Generating LLC","Manley Hot Springs","2045","1910","0.93","10188","9563","0.93","7500","7000","0.93","PCE",NA
"180","Tenakee Springs, City of","Tenakee Springs","1883","1383","0.73","3571","2619","0.73","2214","1571","0.73","PCE",NA
"181","Tuluksak Traditional","Tuluksak","3316","2274","0.69","16778","11444","0.69","8333","5667","0.69","PCE",NA
"182","Tuntutuliak Community","Tuntutuliak","5305","3453","0.65","18238","11857","0.65","5692","3692","0.65","PCE",NA
"183","Twin Hills Village Council","Twin Hills","3750","3143","0.84","24000","20250","0.84","6875","5750","0.84","PCE",NA
"184","Umnak Power Company","Nikolski","3929","2357","0.6","8714","5286","0.6","10000","6000","0.6","PCE",NA
"185","Unalakleet Valley Electric Cooperative","Unalakleet","5236","2201","0.42","43889","18422","0.42","22433","9433","0.42","PCE",NA
"186","Unalaska, City of","Unalaska","5739","2724","0.47","216451","102764","0.47","49080","23307","0.47","PCE",NA
"187","Ungusraq Power Company","Newtok","4179","3343","0.8","6647","5294","0.8","7833","6333","0.8","PCE",NA
"188","Venetie Village Electric","Venetie","2352","2110","0.9","26000","23444","0.9","11250","10125","0.9","PCE",NA
"189","White Mountain, City of","White Mountain","3746","2328","0.62","14455","8955","0.62","9923","6154","0.62","PCE",NA
"190","Wrangell, City of","Wrangell","12233","1299","0.11","25916","2770","0.11",NA,NA,NA,"EIA",NA
"191","Yakutat Power Inc","Yakutat","4914","2558","0.52","32750","17043","0.52","18780","9780","0.52","PCE",NA
