"AEA Sales Reporting ID","PCE ID","RCA CPCN","Utility Name","Community Name","Intertie Name","AEA Energy Region","Residential kWh Use Per Customer","Residential Revenue Per Customer","Residential $/kWh","Commercial kWh Use Per Customer","Commercial Revenue Per Customer","Commercial $/kWh","Other kWh Use Per Customer","Other Revenue Per Customer","Other $/kWh","Data Source","Number of monthly records","Communities reported","Notes"
"SR-108","332200","264","Manley Utilities","Manley Hot Springs","Manley Hot Springs_grid","Yukon-Koyukuk/Upper Tanana","1897.738095238095","1983.2153819444441","1.0450416666666666","6906.0869565217381","7217.1486231884046","1.0450416666666666","5268.954545454545","5506.2770397727272","1.0450416666666666","PCE","12","Manley Hot Springs","PCE revenue assumes all kWh are at residential rate"
"SR-109","332210","321","Manokotak Power Company","Manokotak","Manokotak_grid","Bristol Bay","3658.7987804878048","2073.3193089430888","0.56666666666666654","6034.9310344827591","3419.7942528735625","0.56666666666666654","33050.909090909096","18728.84848484848","0.56666666666666654","PCE","3","Manokotak","PCE revenue assumes all kWh are at residential rate"
"SR-11","331005","684","TDX Adak Generating LLC","Adak","Adak_grid","Aleutians","2714.6785714285716","3708.6581303571438","1.3661500000000002","4574.8095238095229","6249.8760309523814","1.3661500000000002","20667.869565217392","28235.410006521739","1.3661500000000002","PCE","12","Adak","PCE revenue assumes all kWh are at residential rate"
"SR-110","331440","169","Alaska Village Electric Cooperative","Marshall","Marshall_grid","Lower Yukon-Kuskokwim","4979.1909090909094","2682.7880618181821","0.53880000000000006","7098.0714285714284","3824.4408857142857","0.53880000000000006","26384.370370370372","14215.898755555558","0.53880000000000006","PCE","6","Marshall","PCE revenue assumes all kWh are at residential rate"
"SR-111","332220","44","Mcgrath Light & Power","McGrath","McGrath_grid","Yukon-Koyukuk/Upper Tanana","2572.8680203045683","2002.4417396362098","0.7782916666666666","12396.4","9648.014816666664","0.7782916666666666","14586.787234042551","11352.774947695034","0.7782916666666666","PCE","12","McGrath","PCE revenue assumes all kWh are at residential rate"
"SR-112","331450","169","Alaska Village Electric Cooperative","Mekoryuk","Mekoryuk_grid","Lower Yukon-Kuskokwim","3220.2717391304345","1852.944358695652","0.57540000000000002","6183.9411764705892","3558.2397529411769","0.57540000000000002","16028.478260869566","9222.7863913043475","0.57540000000000002","PCE","12","Mekoryuk","PCE revenue assumes all kWh are at residential rate"
"SR-113","331160","2","Alaska Power & Telephone Company","Mentasta Lake","Slana_grid","Copper River/Chugach","2713.127659574468","1643.1605482269501","0.60563333333333325","9342.5000000000018","5658.1294166666667","0.60563333333333325","8208","4971.0383999999985","0.60563333333333325","PCE","12","Mentasta Lake","PCE revenue assumes all kWh are at residential rate"
"SR-114","331460","169","Alaska Village Electric Cooperative","Minto","Minto_grid","Yukon-Koyukuk/Upper Tanana","3913.7368421052633","2109.8955315789481","0.53910000000000013","0","0","0","21389.53333333334","11531.097420000006","0.53910000000000013","PCE","12","Minto","PCE revenue assumes all kWh are at residential rate"
"SR-115","331470","169","Alaska Village Electric Cooperative","Mountain Village","Mountain Village_grid","Lower Yukon-Kuskokwim","4813.3602150537636","2733.9886021505367","0.56799999999999984","13698.720000000001","7780.8729599999979","0.56799999999999984","30131.878048780487","17114.90673170731","0.56799999999999984","PCE","12","Mountain Village","PCE revenue assumes all kWh are at residential rate"
"SR-116","332280","22","Naknek Electric Association","Naknek","Naknek_grid","Bristol Bay","4023.5733695652184","1921.8598199728262","0.47764999999999996","40237.813432835821","19219.591586194027","0.47764999999999991","32624.833333333336","15583.251641666666","0.47764999999999996","PCE","12","Naknek, South Naknek, King Salmon","PCE revenue assumes all kWh are at residential rate"
"SR-117","332290","319","Napakiak Ircinraq","Napakiak","Bethel_grid","Lower Yukon-Kuskokwim","3077.3090909090911","2145.4998981818189","0.69720000000000015","15908.090909090908","11091.120981818183","0.69720000000000015","4699.916666666667","3276.7819000000009","0.69720000000000015","PCE","4","Napakiak","PCE revenue assumes all kWh are at residential rate"
"SR-118","332300","625","Napaskiak Electric Utility","Napaskiak","Napaskiak_grid","Lower Yukon-Kuskokwim","3211.4086956521742","2247.9860869565218","0.70000000000000007","7379.708333333333","5165.7958333333336","0.70000000000000007","4548.6000000000004","3184.0200000000009","0.70000000000000007","PCE","12","Napaskiak","PCE revenue assumes all kWh are at residential rate"
"SR-119","331170","2","Alaska Power & Telephone Company","Naukati Bay","Prince of Wales Is._grid","Southeast","4721.2978723404258","1335.537135638298","0.28287500000000004","8780.7857142857156","2483.864758928572","0.28287500000000004","11320.250000000002","3202.2157187500011","0.28287500000000004","PCE","12","Naukati Bay","PCE revenue assumes all kWh are at residential rate"
"SR-12","331010","449","Akhiok, City of","Akhiok","Akhiok_grid","Kodiak","3226.296296296297","2581.0370370370374","0.79999999999999993","13307.714285714284","10646.171428571426","0.79999999999999993","3154.6363636363635","2523.7090909090907","0.79999999999999993","PCE","12","Akhiok","PCE revenue assumes all kWh are at residential rate"
"SR-120","332320","340","Nelson Lagoon Electrical Coop","Nelson Lagoon","Nelson Lagoon_grid","Aleutians","3764.1212121212125","2898.3733333333334","0.77","3402.125","2619.6362499999996","0.77","4088.5","3148.145","0.77","PCE","12","Nelson Lagoon","PCE revenue assumes all kWh are at residential rate"
"SR-121","331480","169","Alaska Village Electric Cooperative","New Stuyahok","New_Stuyahok_grid","Bristol Bay","5059.9065420560755","3005.5844859813092","0.59400000000000008","6027.0625","3580.0751249999998","0.59400000000000008","22185.451612903227","13178.158258064519","0.59400000000000008","PCE","12","New Stuyahok","PCE revenue assumes all kWh are at residential rate"
"SR-122","332870","375","Ungusraq Power Company","Newtok","Newtok_grid","Lower Yukon-Kuskokwim","3144.1267605633802","2515.3014084507045","0.79999999999999993","5937.8749999999982","4750.2999999999984","0.79999999999999993","4420.5999999999985","3536.4799999999987","0.79999999999999993","PCE","12","Newtok","PCE revenue assumes all kWh are at residential rate"
"SR-123","331490","169","Alaska Village Electric Cooperative","Nightmute","Toksook Bay_grid","Lower Yukon-Kuskokwim","4890.2321428571431","2647.8161937500008","0.5414500000000001","2538.1428571428564","1374.2774499999998","0.5414500000000001","27931.523809523802","15123.523566666667","0.5414500000000001","PCE","12","Nightmute","PCE revenue assumes all kWh are at residential rate"
"SR-124","332330","416","Nikolai, City of","Nikolai","Nikolai_grid","Yukon-Koyukuk/Upper Tanana","3298.9777777777781","2969.0800000000004","0.90000000000000013","14676.300000000001","13208.670000000004","0.90000000000000024","6640.727272727273","5976.6545454545476","0.90000000000000024","PCE","3","Nikolai","PCE revenue assumes all kWh are at residential rate"
"SR-125","332740","242","Umnak Power Company","Nikolski","Nikolski_grid","Aleutians","3427.3571428571431","2570.5178571428573","0.75","9310.2857142857138","6982.7142857142853","0.75","8306.1666666666679","6229.6250000000009","0.75000000000000011","PCE","12","Nikolski","PCE revenue assumes all kWh are at residential rate"
"SR-126","331500","169","Alaska Village Electric Cooperative","Noatak","Noatak_grid","Northwest Arctic","6308.3360655737688","5104.0747106557383","0.80910000000000026","10784.5","8725.7389500000027","0.80910000000000026","33479.458333333336","27088.229737500013","0.80910000000000026","PCE","12","Noatak","PCE revenue assumes all kWh are at residential rate"
"SR-127","332340","150","Nome Joint Utility Systems","Nome","Nome_grid","Bering Straits","4771.0449943757021","1655.1550259655044","0.34691666666666671","26954.009584664542","9350.7951584132079","0.34691666666666671","80488.547945205486","27922.818757990866","0.34691666666666671","PCE","12","Nome","PCE revenue assumes all kWh are at residential rate"
"SR-128","331510","169","Alaska Village Electric Cooperative","Noorvik","Noorvik_grid","Northwest Arctic","6023.2928571428556","3401.9558057142849","0.56479999999999997","7806.4285714285716","4409.0708571428568","0.56479999999999997","28838.866666666669","16288.191893333335","0.56479999999999997","PCE","12","Noorvik","PCE revenue assumes all kWh are at residential rate"
"SR-129","331180","2","Alaska Power & Telephone Company","Northway","Northway_grid","Yukon-Koyukuk/Upper Tanana","3545.0116279069762","2249.1030855620156","0.63444166666666668","19409.071428571428","12313.923625595236","0.63444166666666668","15577.958333333334","9883.3058482638899","0.63444166666666668","PCE","12","Northway, Northway Village, Northway Junction","PCE revenue assumes all kWh are at residential rate"
"SR-13","331020","412","Akiachak Native Community","Akiachak","Akiachak_grid","Lower Yukon-Kuskokwim","3417.8686868686873","2059.2658838383836","0.60249999999999992","7815.2631578947376","4708.6960526315779","0.60249999999999992","31345.708333333336","18885.789270833331","0.60249999999999992","PCE","12","Akiachak","PCE revenue assumes all kWh are at residential rate"
"SR-130","332380","254","North Slope Borough Power & Light","Nuiqsut","Nuiqsut_grid","North Slope","7828.4561403508787","626.2764912280702","7.9999999999999988E-2","63227.277777777788","5058.1822222222227","7.9999999999999988E-2","19774.666666666664","1581.9733333333329","7.9999999999999988E-2","PCE","12","Nuiqsut","PCE revenue assumes all kWh are at residential rate"
"SR-131","331520","169","Alaska Village Electric Cooperative","Nulato","Nulato_grid","Yukon-Koyukuk/Upper Tanana","3993.2477876106195","2403.9351681415937","0.60200000000000009","0","0","0","19822.600000000002","11933.205200000002","0.60200000000000009","PCE","12","Nulato","PCE revenue assumes all kWh are at residential rate"
"SR-132","332420","408","Nunam Iqua Electric Company","Nunam Iqua","Nunam Iqua_grid","Lower Yukon-Kuskokwim","441.03991596638656","200.56290178571427","0.45474999999999999","34032.600000000006","15476.324850000001","0.45474999999999999","16437.181818181816","7474.8084318181818","0.45474999999999999","PCE","12","Nunam Iqua","PCE revenue assumes all kWh are at residential rate"
"SR-133","331530","169","Alaska Village Electric Cooperative","Nunapitchuk","Kasigluk_grid","Lower Yukon-Kuskokwim","4641.1015624999991","2432.4013289062495","0.5240999999999999","7337.2500000000009","3845.4527250000001","0.5240999999999999","17480.629629629631","9161.5979888888869","0.5240999999999999","PCE","12","Nunapitchuk","PCE revenue assumes all kWh are at residential rate"
"SR-134","331540","169","Alaska Village Electric Cooperative","Old Harbor","Old Harbor_grid","Kodiak","3779.7010309278353","2219.818415463918","0.58730000000000004","0","0","0","20332.3125","11941.167131250002","0.58730000000000004","PCE","12","Old Harbor","PCE revenue assumes all kWh are at residential rate"
"SR-135","332440","357","Ouzinkie, City of","Ouzinkie","Ouzinkie_grid","Kodiak","3171.7142857142853","1338.9656166666666","0.42215833333333336","11252.578947368422","4750.3699741228074","0.42215833333333336","7399.1578947368425","3123.616164912281","0.42215833333333336","PCE","12","Ouzinkie","PCE revenue assumes all kWh are at residential rate"
"SR-136","332450","662","Pedro Bay Village Council","Pedro Bay","Pedro Bay_grid","Bristol Bay","917.92857142857133","752.83911785714292","0.82015000000000016","3376.4666666666667","2769.2091366666673","0.82015000000000027","2359.5","1935.1439250000008","0.82015000000000016","PCE","6","Pedro Bay","PCE revenue assumes all kWh are at residential rate"
"SR-137","332460","24","Pelican Utility","Pelican","Pelican_grid","Southeast","3918.9189189189187","1351.3513513513512","0.34482758620689657","17608.695652173916","3869.565217391304","0.21975308641975308","0","0",NA,"EIA861","0","Pelican","PCE revenue assumes all kWh are at residential rate"
"SR-138","332470","659","Native Village of Perryville","Perryville","Perryville_grid","Bristol Bay","2373.1489361702129","2254.491489361702","0.94999999999999984","14250.75","13538.212499999998","0.94999999999999984","1850.0000000000002","1757.5","0.94999999999999984","PCE","6","Perryville",NA
"SR-139","332480","425","Pilot Point Electric Utility","Pilot Point","Pilot Point_grid","Bristol Bay","3058.2340425531911","1834.9404255319146","0.59999999999999987","10367.249999999998","6220.3499999999976","0.59999999999999987","6288.6428571428569","3773.1857142857134","0.59999999999999987","PCE","3","Pilot Point","PCE revenue assumes all kWh are at residential rate"
"SR-14","331030","635","Akiak City Council","Akiak","Akiak_grid","Lower Yukon-Kuskokwim","3475.0272727272727","1841.764454545455","0.53000000000000014","17368.117647058825","9205.1023529411796","0.53000000000000014","12323.18181818182","6531.2863636363663","0.53000000000000014","PCE","12","Akiak","PCE revenue assumes all kWh are at residential rate"
"SR-140","331550","169","Alaska Village Electric Cooperative","Pilot Station","Pilot Station_grid","Lower Yukon-Kuskokwim","4676.1176470588243","2648.5530352941178","0.5663999999999999","23219.600000000002","13151.581439999998","0.5663999999999999","30228.555555555551","17121.453866666663","0.5663999999999999","PCE","12","Pilot Station","PCE revenue assumes all kWh are at residential rate"
"SR-141","331560","169","Alaska Village Electric Cooperative","Pitkas Point","Saint Mary's_grid","Lower Yukon-Kuskokwim","4317.333333333333","2480.3080000000004","0.57450000000000012","0","0","0","26129.200000000004","15011.225400000005","0.57450000000000012","PCE","12","Pitkas Point","PCE revenue assumes all kWh are at residential rate"
"SR-143","332390","254","North Slope Borough Power & Light","Point Hope","Point Hope_grid","North Slope","8455.6958762886607","1832.8425453178697","0.21675833333333339","46601.772151898746","10101.322462025319","0.21675833333333336","10459.875","2267.2650718750001","0.21675833333333336","PCE","12","Point Hope","PCE revenue assumes all kWh are at residential rate"
"SR-144","332400","254","North Slope Borough Power & Light","Point Lay","Point Lay_grid","North Slope","9495.1846153846163","2103.8164046153843","0.22156666666666663","57684.878048780483","12781.046146341459","0.22156666666666661","28884.666666666664","6399.8793111111099","0.22156666666666661","PCE","12","Point Lay","PCE revenue assumes all kWh are at residential rate"
"SR-145","332590","447","Tanalian Electric Cooperative","Port Alsworth","Port Alsworth_grid","Bristol Bay","3392.7294117647066","2104.0165662032091","0.6201545454545454","7320.5185185185173","4539.8528343434336","0.6201545454545454","3518.1428571428578","2181.7922844155846","0.6201545454545454","PCE","12","Port Alsworth","PCE revenue assumes all kWh are at residential rate"
"SR-146","332500","399","Port Heiden Utilities","Port Heiden","Port Heiden_grid","Bristol Bay","3532.6274509803925","2296.2078431372556","0.65000000000000013","5309.739130434783","3451.3304347826097","0.65000000000000013","11163.111111111111","7256.0222222222237","0.65","PCE","3","Port Heiden","PCE revenue assumes all kWh are at residential rate"
"SR-147","331570","169","Alaska Village Electric Cooperative","Quinhagak","Quinhagak_grid","Lower Yukon-Kuskokwim","5036.3092783505163","2655.1422515463923","0.52720000000000011","15569.631578947368","8208.3097684210552","0.52720000000000011","35453.809523809527","18691.248380952387","0.52720000000000011","PCE","12","Quinhagak","PCE revenue assumes all kWh are at residential rate"
"SR-148","332520","759","Rampart Village Council","Rampart","Rampart_grid","Yukon-Koyukuk/Upper Tanana","1844.2941176470586","1502.9152764705877","0.81489999999999985","11638.5","9484.2136499999997","0.81489999999999985","7356.7692307692305","5995.0312461538442","0.81489999999999985","PCE","6","Rampart","PCE revenue assumes all kWh are at residential rate"
"SR-149","332250","343","Middle Kuskokwim Electric","Red Devil","Red Devil_grid","Lower Yukon-Kuskokwim","2788.6363636363635","3383.1736363636369","1.2132000000000003","2773.0000000000005","3364.2036000000012","1.2132000000000003","1833","2223.7956000000004","1.2132000000000003","PCE","12","Red Devil","PCE revenue assumes all kWh are at residential rate"
"SR-15","331040","293","Akutan, City of","Akutan","Akutan_grid","Aleutians","3942.1702127659582","3745.0617021276594","0.94999999999999973","8402.875","7982.731249999998","0.94999999999999984","10951.833333333336","10404.241666666667","0.94999999999999984","PCE","12","Akutan","PCE revenue assumes all kWh are at residential rate"
"SR-150","332530","364","Ruby, City of","Ruby","Ruby_grid","Yukon-Koyukuk/Upper Tanana","1808.7520000000002","1356.5640000000001","0.75","10402.961538461537","7802.2211538461534","0.75","5798.9500000000007","4349.2125000000005","0.74999999999999989","PCE","12","Ruby","PCE revenue assumes all kWh are at residential rate"
"SR-151","331580","169","Alaska Village Electric Cooperative","Russian Mission","Russian Mission_grid","Lower Yukon-Kuskokwim","5029.6499999999996","2794.4735399999995","0.55559999999999998","4883.9999999999991","2713.5503999999996","0.55559999999999998","31739.199999999997","17634.29952","0.55559999999999998","PCE","12","Russian Mission","PCE revenue assumes all kWh are at residential rate"
"SR-152","332550","410","Saint George, City of","Saint George","Saint George_grid","Aleutians","3599.45","3299.4958333333338","0.91666666666666674","4621.8823529411766","4236.7254901960787","0.91666666666666663","8524.65","7814.2624999999998","0.91666666666666663","PCE","12","Saint George","PCE revenue assumes all kWh are at residential rate"
"SR-153","331660","169","Alaska Village Electric Cooperative","Saint Mary's","Saint Mary's_grid","Lower Yukon-Kuskokwim","4321.4207650273229","2482.6562295081972","0.57450000000000012","9562.7954545454559","5493.8259886363658","0.57450000000000012","39590.416666666672","22744.69437500001","0.57450000000000012","PCE","12","Saint Mary's, Andreafsky","PCE revenue assumes all kWh are at residential rate"
"SR-154","331670","169","Alaska Village Electric Cooperative","Saint Michael","Stebbins_grid","Bering Straits","5857.27659574468","3266.0174297872336","0.55759999999999998","9955.0000000000018","5550.9080000000004","0.55759999999999998","34493.888888888891","19233.792444444447","0.55759999999999998","PCE","12","Saint Michael","PCE revenue assumes all kWh are at residential rate"
"SR-155","332560","339","Saint Paul Municipal Electric","Saint Paul","Saint Paul_grid","Aleutians","4298.7320261437917","1762.4801307189548","0.41000000000000009","16324.64","6693.1024000000007","0.41000000000000009","19068.959183673469","7818.2732653061248","0.41000000000000009","PCE","12","Saint Paul","PCE revenue assumes all kWh are at residential rate"
"SR-156","332540","749","TDX Corporation","Sand Point","Sand Point_grid","Aleutians","4321.68100358423","2313.4678692353641","0.53531666666666666","9675.1195652173919","5179.252755253623","0.53531666666666666","27174.955555555553","14547.206624814813","0.53531666666666666","PCE","12","Sand Point","PCE revenue assumes all kWh are at residential rate"
"SR-157","331590","169","Alaska Village Electric Cooperative","Savoonga","Savoonga_grid","Bering Straits","5629.3271604938263","3076.9902259259256","0.54660000000000009","1913.375","1045.8507750000001","0.54660000000000009","37043.852941176468","20248.170017647062","0.54660000000000009","PCE","12","Savoonga","PCE revenue assumes all kWh are at residential rate"
"SR-158","331600","169","Alaska Village Electric Cooperative","Scammon Bay","Scammon Bay_grid","Lower Yukon-Kuskokwim","4725.4841269841263","2728.0219865079366","0.57730000000000004","5280.7333333333327","3048.5673533333334","0.57730000000000004","26701.156250000004","15414.577503125003","0.57730000000000004","PCE","12","Scammon Bay","PCE revenue assumes all kWh are at residential rate"
"SR-159","331610","169","Alaska Village Electric Cooperative","Selawik","Selawik_grid","Northwest Arctic","5948.7309941520471","3522.5410581871333","0.59214999999999984","8429.7499999999982","4991.6764624999978","0.59214999999999984","27889.902439024387","16515.00572926829","0.59214999999999984","PCE","12","Selawik","PCE revenue assumes all kWh are at residential rate"
"SR-16","331240","169","Alaska Village Electric Cooperative","Alakanuk","Emmonak_grid","Lower Yukon-Kuskokwim","4303.2621951219517","2271.2617865853663","0.52780000000000005","8024.4285714285725","4235.2934000000005","0.52780000000000005","36918.740740740745","19485.711362962964","0.52780000000000005","PCE","12","Alakanuk","PCE revenue assumes all kWh are at residential rate"
"SR-160","331620","169","Alaska Village Electric Cooperative","Shageluk","Shageluk_grid","Yukon-Koyukuk/Upper Tanana","3253.6249999999995","1953.8018125000001","0.60050000000000014","19109.400000000001","11475.194700000004","0.60050000000000014","9649.625","5794.5998125000015","0.60050000000000014","PCE","12","Shageluk","PCE revenue assumes all kWh are at residential rate"
"SR-161","331630","169","Alaska Village Electric Cooperative","Shaktoolik","Shaktoolik_grid","Bering Straits","6811.6825396825388","3698.7436190476192","0.54300000000000004","10602.357142857143","5757.0799285714284","0.54300000000000004","19603.714285714286","10644.816857142856","0.54300000000000004","PCE","12","Shaktoolik","PCE revenue assumes all kWh are at residential rate"
"SR-162","331640","169","Alaska Village Electric Cooperative","Shishmaref","Shishmaref_grid","Bering Straits","4746.2913907284774","2762.816218543046","0.58209999999999984","13098.263157894738","7624.4989842105251","0.58209999999999984","18123.92105263158","10549.93444473684","0.58209999999999984","PCE","12","Shishmaref","PCE revenue assumes all kWh are at residential rate"
"SR-163","331650","169","Alaska Village Electric Cooperative","Shungnak","Shungnak_grid","Northwest Arctic","6076.1612903225805","3753.8524451612902","0.61780000000000002","4986.9473684210534","3080.9360842105266","0.61780000000000002","27404.800000000003","16930.685440000001","0.61780000000000002","PCE","12","Shungnak","PCE revenue assumes all kWh are at residential rate"
"SR-164","331190","2","Alaska Power & Telephone Company","Skagway","Haines_grid","Southeast","4875.5036710719542","1313.4200597895256","0.2693916666666667","13586.280071813284","3660.0306323459008","0.2693916666666667","21701.692307692309","5846.2550602564106","0.2693916666666667","PCE","12","Skagway","PCE revenue assumes all kWh are at residential rate"
"SR-165","331195","2","Alaska Power & Telephone Company","Slana","Slana_grid","Copper River/Chugach","3952.8846153846152","2398.1492147435893","0.60668333333333324","5964.333333333333","3618.4616277777777","0.60668333333333324","15015.833333333338","9109.8558194444468","0.60668333333333324","PCE","6","Slana","PCE revenue assumes all kWh are at residential rate"
"SR-166","332260","343","Middle Kuskokwim Electric","Sleetmute","Sleetmute_grid","Lower Yukon-Kuskokwim","2419.878787878788","2935.7969454545464","1.2132000000000003","8128.4444444444443","9861.4288000000015","1.2132000000000003","7959.4444444444453","9656.3980000000029","1.2132000000000003","PCE","12","Sleetmute","PCE revenue assumes all kWh are at residential rate"
"SR-167","331680","169","Alaska Village Electric Cooperative","Stebbins","Stebbins_grid","Bering Straits","5167.7071428571435","2881.5135028571431","0.55759999999999998","11814.235294117649","6587.6176000000014","0.55759999999999998","21934.655172413793","12230.763724137929","0.55759999999999998","PCE","12","Stebbins","PCE revenue assumes all kWh are at residential rate"
"SR-168","332570","709","Stevens Village Ira Council","Stevens Village","Stevens Village_grid","Yukon-Koyukuk/Upper Tanana","0","0","0","0","0","0","0","0",NA,"0","0","Stevens Village",NA
"SR-169","332270","343","Middle Kuskokwim Electric","Stony River","Stony River_grid","Lower Yukon-Kuskokwim","1817.5882352941178","2205.0980470588238","1.2132000000000003","11101.750000000002","13468.643100000007","1.2132000000000003","3575.666666666667","4337.9988000000012","1.2132000000000003","PCE","12","Stony River","PCE revenue assumes all kWh are at residential rate"
"SR-17","331050","2","Alaska Power & Telephone Company","Allakaket","Allakaket_grid","Yukon-Koyukuk/Upper Tanana","2868.6714285714288","2511.3784021428573","0.87545000000000006","3711.636363636364","3249.3520545454544","0.87544999999999995","11110.807692307691","9726.9565942307672","0.87544999999999995","PCE","12","Allakaket, Alatna","PCE revenue assumes all kWh are at residential rate"
"SR-170","332580","394","Takotna Community Assoc Inc","Takotna","Takotna_grid","Yukon-Koyukuk/Upper Tanana","835.48648648648634","853.86718918918916","1.022","2055.0769230769229","2100.2886153846157","1.022","805.125","822.83775000000003","1.022","PCE","3","Takotna","PCE revenue assumes all kWh are at residential rate"
"SR-171","332600","92","Tanana Power Company Inc","Tanana","Tanana_grid","Yukon-Koyukuk/Upper Tanana","2754.1981981981985","2003.6332858858859","0.72748333333333326","12245.767441860462","8908.5917178294549","0.72748333333333326","24495.846153846156","17820.319812820511","0.72748333333333326","PCE","12","Tanana","PCE revenue assumes all kWh are at residential rate"
"SR-172","332610","586","Tatitlek Village Ira Council","Tatitlek","Tatitlek_grid","Copper River/Chugach","3121.6499999999996","2871.9180000000001","0.92","3366.6923076923085","3097.356923076924","0.92","11671.300000000001","10737.596","0.92","PCE","12","Tatitlek","PCE revenue assumes all kWh are at residential rate"
"SR-173","331685","61","Teller Power Company","Teller","Teller_grid","Bering Straits","3821.8918918918916","2076.8160540540539","0.54339999999999999","2762.1875000000005","1500.9726875000003","0.54339999999999999","17197.692307692312","9345.2260000000006","0.54339999999999999","PCE","12","Teller","PCE revenue assumes all kWh are at residential rate"
"SR-174","332630","363","Tenakee Springs, City of","Tenakee Springs","Tenakee Springs_grid","Southeast","1899.1190476190477","1069.8370634920634","0.56333333333333335","2350.4814814814818","1324.1045679012348","0.56333333333333335","1937.2666666666664","1091.326888888889","0.56333333333333335","PCE","6","Tenakee Springs","PCE revenue assumes all kWh are at residential rate"
"SR-175","331200","2","Alaska Power & Telephone Company","Tetlin","Tok_grid","Yukon-Koyukuk/Upper Tanana","3616.8541666666661","1498.9750689236105","0.41444166666666654","5451.8","2259.453078333333","0.4144416666666666","17819","7384.9360583333319","0.4144416666666666","PCE","12","Tetlin","PCE revenue assumes all kWh are at residential rate"
"SR-176","331210","2","Alaska Power & Telephone Company","Thorne Bay","Prince of Wales Is._grid","Southeast","4757.8823529411766","1345.8859705882355","0.28287500000000004","7326.3906249999991","2072.4527480468755","0.28287500000000004","14945.836363636367","4227.8034613636373","0.28287500000000004","PCE","12","Thorne Bay, Kasaan","PCE revenue assumes all kWh are at residential rate"
