"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21
P120,NA,Chugach Electric Assn Inc,Beluga,Anchorage,Railbelt_grid,Railbelt,37832,0,0,0,0,0,0,37832,NA,37832,EIA923,12,"In addition to Anchorage, the CEA service area includes eight other communities.",NA
P121,NA,Chugach Electric Assn Inc,Cooper Lake,Anchorage,Railbelt_grid,Railbelt,0,0,59832,0,0,0,0,59832,NA,59832,EIA923,12,"In addition to Anchorage, the CEA service area includes eight other communities.",NA
P122,NA,Chugach Electric Assn Inc,International,Anchorage,Railbelt_grid,Railbelt,-751.99999999999989,0,0,0,0,0,0,-751.99999999999989,NA,-751.99999999999989,EIA923,12,"In addition to Anchorage, the CEA service area includes eight other communities.",NA
P123,NA,Chugach Electric Assn Inc,Southcentral Power Project,Anchorage,Railbelt_grid,Railbelt,815365,0,0,0,0,0,0,815365,NA,815365,EIA923,24,"In addition to Anchorage, the CEA service area includes eight other communities.",NA
P124,331900,Circle Electric Utility,Circle,Circle,Circle_grid,Yukon-Koyukuk/Upper Tanana,0,389.79999999999995,0,0,0,0,0,386.95499999999993,2.8450000000000002,389.79999999999995,PCE,12,Circle,NA
P125,331910,"Clark's Point, City of",Clark's Point,Clark's Point,Clark's Point_grid,Bristol Bay,0,296.06034416712373,0,0,0,0,0,275.31734416712374,20.742999999999999,296.06034416712373,PCE,12,Clark's Point,NA
P126,NA,"Copper Valley Elec Assn, Inc",Allison Creek Hydro,Valdez,CopperValley_grid,Copper River/Chugach,0,0,23077.000000000004,0,0,0,0,23077.000000000004,NA,23077.000000000004,EIA923,12,"In addition to Valdez, the CVEA service area includes 14 other communities.",NA
P127,NA,"Copper Valley Elec Assn, Inc",Glennallen,Valdez,CopperValley_grid,Copper River/Chugach,0,9662.0000000000018,0,0,0,0,0,9662.0000000000018,NA,9662.0000000000018,EIA923,12,"In addition to Valdez, the CVEA service area includes 14 other communities.",NA
P128,NA,"Copper Valley Elec Assn, Inc",Solomon Gulch,Valdez,CopperValley_grid,Copper River/Chugach,0,0,42087,0,0,0,0,42087,NA,42087,EIA923,12,"In addition to Valdez, the CVEA service area includes 14 other communities.",NA
P129,NA,"Copper Valley Elec Assn, Inc",Valdez,Valdez,CopperValley_grid,Copper River/Chugach,888,0,0,0,0,0,0,888,NA,888,EIA923,13,"In addition to Valdez, the CVEA service area includes 14 other communities.",NA
P13,NA,Alaska Electric Light & Power Company,Snettisham,Juneau,Juneau_grid,Southeast,0,0,259855.99999999997,0,0,0,0,259855.99999999997,NA,259855.99999999997,EIA923,12,"Juneau, Douglas",NA
P130,NA,"Copper Valley Elec Assn, Inc",Valdez Cogen,Valdez,CopperValley_grid,Copper River/Chugach,16993,0,0,0,0,0,0,16993,NA,16993,EIA923,12,"In addition to Valdez, the CVEA service area includes 14 other communities.",NA
P132,NA,Cordova Electric Cooperative,Humpback Creek,Cordova,Cordova_grid,Copper River/Chugach,0,0,3267,0,0,0,0,3267,NA,3267,EIA923,12,"Cordova, Eyak",NA
P133,NA,Cordova Electric Cooperative,Orca,Cordova,Cordova_grid,Copper River/Chugach,0,7021,0,0,0,0,0,7021,NA,7021,EIA923,12,"Cordova, Eyak",NA
P134,NA,Cordova Electric Cooperative,Power Creek,Cordova,Cordova_grid,Copper River/Chugach,0,0,15171,0,0,0,0,15171,NA,15171,EIA923,12,"Cordova, Eyak",NA
P135,331930,Diomede Joint Utilities,Diomede,Diomede,Diomede_grid,Bering Straits,0,224.6354658211024,0,0,0,0,0,205.89560867824525,18.739857142857144,224.6354658211024,PCE,6,Diomede,NA
P136,NA,Doyon Utilities - Fort Greely,Fort Greely Power Plant,Fort Greely,Railbelt_grid,Railbelt,0,69.58,0,0,0,0,0,69.58,NA,69.58,EIA923,12,NA,NA
P137,NA,Doyon Utilities - Ft. Wainwright,Utility Plants Section,Fort Wainwright,Railbelt_grid,Railbelt,90177,0,0,0,0,0,0,90177,NA,90177,EIA923,12,NA,NA
P138,NA,"Doyon Utilities, LLC",JBER Landfill Gas Power Plant,JBER,Railbelt_grid,Railbelt,0,42948,0,0,0,0,0,42948,NA,42948,EIA923,12,NA,NA
P139,331940,Egegik Light & Power Co,Egegik,Egegik,Egegik_grid,Bristol Bay,0,627.31799999999987,0,0,0,0,0,603.17599999999982,24.141999999999999,627.31799999999987,PCE,12,Egegik,NA
P14,NA,Alaska Environmental Power,Delta Wind Farm,Fairbanks,Railbelt_grid,Railbelt,0,0,0,0,4497.9999999999991,0,0,4497.9999999999991,NA,4497.9999999999991,EIA923,12,"In addition to Fairbanks, the GVEA service area includes 25 other communities.",NA
P140,331960,Elfin Cove Utility Commission,Elfin Cove,Elfin Cove,Elfin Cove_grid,Southeast,0,337.00499999999994,0,0,0,0,0,306.81499999999994,30.19,337.00499999999994,PCE,12,Elfin Cove,NA
P141,331970,"False Pass, City of",False Pass,False Pass,False Pass_grid,Aleutians,0,337.09000000000003,0,0,0,0,0,318.58300000000003,18.507000000000001,337.09000000000003,PCE,6,False Pass,NA
P142,NA,Fire Island Wind LLC,Fire Island Wind,Anchorage,Railbelt_grid,Railbelt,0,0,0,0,51828.999999999993,0,0,51828.999999999993,NA,51828.999999999993,EIA923,12,"In addition to Anchorage, the CEA service area includes eight other communities.",NA
P143,331980,G & K Inc,Cold Bay,Cold Bay,Cold Bay_grid,Aleutians,0,2412.4929999999999,0,0,0,0,0,2229.741,182.75200000000001,2412.4929999999999,PCE,12,Cold Bay,NA
P144,331990,"Galena, City of",Galena Electric Utility,Galena,Galena_grid,Yukon-Koyukuk/Upper Tanana,0,5821.6880000000001,0,0,0,0,0,5685.5129999999999,136.17500000000001,5821.6880000000001,PCE,12,Galena,NA
P145,331830,Gold Country Energy,Central,Central,Central_grid,Yukon-Koyukuk/Upper Tanana,0,484.07100000000003,0,0,0,0,0,467.46700000000004,16.603999999999999,484.07100000000003,PCE,12,Central,NA
P146,NA,Golden Valley Elec Assn Inc,Battery Energy Storage System,Fairbanks,Railbelt_grid,Railbelt,0,0,0,0,0,0,-2428,-2428,NA,-2428,EIA923,12,"In addition to Fairbanks, the GVEA service area includes 25 other communities.",NA
P147,NA,Golden Valley Elec Assn Inc,Delta Power,Fairbanks,Railbelt_grid,Railbelt,-175.99999999999997,0,0,0,0,0,0,-175.99999999999997,NA,-175.99999999999997,EIA923,12,"In addition to Fairbanks, the GVEA service area includes 25 other communities.",NA
P148,NA,Golden Valley Elec Assn Inc,Eva Creek Wind,Fairbanks,Railbelt_grid,Railbelt,0,0,0,0,65514.000000000007,0,0,65514.000000000007,NA,65514.000000000007,EIA923,12,"In addition to Fairbanks, the GVEA service area includes 25 other communities.",NA
P149,NA,Golden Valley Elec Assn Inc,Fairbanks,Fairbanks,Railbelt_grid,Railbelt,4050.9999999999995,-124,0,0,0,0,0,3926.9999999999995,NA,3926.9999999999995,EIA923,24,"In addition to Fairbanks, the GVEA service area includes 25 other communities.",NA
P15,NA,Alaska Power & Telephone Company,Black Bear Lake,Craig,Prince of Wales Is._grid,Southeast,0,0,18098.999999999996,0,0,0,0,18098.999999999996,NA,18098.999999999996,EIA923,12,Craig; Klawock,NA
P150,NA,Golden Valley Elec Assn Inc,Healy,Fairbanks,Railbelt_grid,Railbelt,262465,0,0,0,0,0,0,262465,NA,262465,EIA923,24,"In addition to Fairbanks, the GVEA service area includes 25 other communities.",NA
P151,NA,Golden Valley Elec Assn Inc,North Pole,Fairbanks,Railbelt_grid,Railbelt,369250,0,0,0,0,0,0,369250,NA,369250,EIA923,36,"In addition to Fairbanks, the GVEA service area includes 25 other communities.",NA
P153,332000,Golovin Power Utilities,Golovin,Golovin,Golovin_grid,Bering Straits,0,935.34360768773558,0,0,0,0,0,931.16260768773554,4.181,935.34360768773558,PCE,11,Golovin,NA
P154,332020,Gwitchyaa Zhee Utilities Company,Gwitchyaa Zhee,Fort Yukon,Fort Yukon_grid,Yukon-Koyukuk/Upper Tanana,0,3106.6199999999994,0,0,0,0,0,3063.3359999999993,43.283999999999999,3106.6199999999994,PCE,12,Fort Yukon,NA
P155,NA,Homer Electric Assn Inc,Bernice Lake,Homer,Railbelt_grid,Railbelt,396,0,0,0,0,0,0,396,NA,396,EIA923,12,Includes HEA service territory,Subsidiary of HEA. Includes HEA service territory
P156,NA,Homer Electric Assn Inc,Bradley Lake,Homer,Railbelt_grid,Railbelt,0,0,404478.99999999994,0,0,0,0,404478.99999999994,NA,404478.99999999994,EIA923,12,Includes HEA service territory,NA
P157,NA,Homer Electric Assn Inc,Nikiski Co-Generation,Homer,Railbelt_grid,Railbelt,404744,0,0,0,0,0,0,404744,NA,404744,EIA923,24,Includes HEA service territory,NA
P158,NA,Homer Electric Assn Inc,Seldovia,Homer,Railbelt_grid,Railbelt,0,85,0,0,0,0,0,85,NA,85,EIA923,12,Includes HEA service territory,NA
P159,NA,Homer Electric Assn Inc,Soldotna,Homer,Railbelt_grid,Railbelt,23756.000000000004,0,0,0,0,0,0,23756.000000000004,NA,23756.000000000004,EIA923,12,Includes HEA service territory,NA
P16,NA,Alaska Power & Telephone Company,Goat Lake Hydro,Haines,UpperLynnCanal_grid,Southeast,0,0,14916,0,0,0,0,14916,NA,14916,EIA923,12,"Haines, Covenant Life; Klukwan; Chilkat Valley; Skagway",NA
P160,332030,Hughes Power & Light,Hughes,Hughes,Hughes_grid,Yukon-Koyukuk/Upper Tanana,0,442.72200000000004,0,0,0,0,0,416.93500000000006,25.786999999999999,442.72200000000004,PCE,12,Hughes,NA
P161,332040,Igiugig Electric Company,Igiugig,Igiugig,Igiugig_grid,Bristol Bay,0,322.11,0,0,0,0,0,304.27199999999999,17.838000000000001,322.11,PCE,12,Igiugig,NA
P162,332050,"I-N-N Electric Coop, Inc",Newhalen,Iliamna,Newhalen_grid,Bristol Bay,0,81.61,3627.4700000000003,0,0,0,0,3224.6010000000006,484.47899999999998,3709.0800000000004,PCE,9,"Iliamna, Newhalen, Nondalton",NA
P163,332650,Inside Passage Electric,Angoon,Angoon,Angoon_grid,Southeast,0,1771.9940000000001,0,0,0,0,0,1698.3740000000003,73.62,1771.9940000000001,PCE,12,Angoon,NA
P164,332670,Inside Passage Electric,Hoonah,Hoonah,Hoonah_grid,Southeast,0,3756.6150000000007,739.51200000000017,0,0,0,0,4399.549,96.578000000000003,4496.1270000000004,PCE,12,Hoonah,NA
P165,332680,Inside Passage Electric,Kake,Kake,Kake_grid,Southeast,0,2228.2709999999997,0,0,0,0,0,2156.1989999999996,72.072000000000003,2228.2709999999997,PCE,12,Kake,NA
P166,332660,Inside Passage Electric,Chilkat Valley,Chilkat Valley,UpperLynnCanal_grid,Southeast,0,0,887.76,0,0,0,0,827.37699999999995,60.383000000000003,887.76,PCE,12,"Haines, Covenant Life; Klukwan; Chilkat Valley; Skagway",NA
P169,332060,Ipnatchiaq Electric Company,Deering,Deering,Deering_grid,Northwest Arctic,0,551.94000000000005,0,0,80.581000000000003,0,0,606.06200000000013,26.459,632.52100000000007,PCE,11,Deering,NA
P17,NA,Alaska Power & Telephone Company,Kasidaya Creek Hydro,Haines,UpperLynnCanal_grid,Southeast,0,0,10606,0,0,0,0,10606,NA,10606,EIA923,12,"Haines, Covenant Life; Klukwan; Chilkat Valley; Skagway",NA
P171,NA,Ketchikan Public Utilities,Beaver Falls,Ketchikan,SEAPA_grid,Southeast,0,0,33310,0,0,0,0,33310,NA,33310,EIA923,12,Includes KEA's sevice territory,NA
P172,NA,Ketchikan Public Utilities,Ketchikan,Ketchikan,SEAPA_grid,Southeast,0,0,15741.000000000002,0,0,0,0,15741.000000000002,NA,15741.000000000002,EIA923,12,Includes KEA's sevice territory,NA
P173,NA,Ketchikan Public Utilities,S W Bailey,Ketchikan,SEAPA_grid,Southeast,0,18613.999999999996,0,0,0,0,0,18613.999999999996,NA,18613.999999999996,EIA923,12,Includes KEA's sevice territory,NA
P174,NA,Ketchikan Public Utilities,Silvis,Ketchikan,SEAPA_grid,Southeast,0,0,9221,0,0,0,0,9221,NA,9221,EIA923,12,Includes KEA's sevice territory,NA
P175,NA,Southeast Alaska Power Agency,Swan Lake,Ketchikan,SEAPA_grid,Southeast,0,0,58415.999999999993,0,0,0,0,58415.999999999993,NA,58415.999999999993,EIA923,12,"Ketchikan, Petersburg, Wrangell",NA
P176,NA,Ketchikan Public Utilities,Whitman,Ketchikan,SEAPA_grid,Southeast,0,0,6997.9999999999991,0,0,0,0,6997.9999999999991,NA,6997.9999999999991,EIA923,12,Includes KEA's sevice territory,NA
P177,332070,"King Cove, City of",King Cove,King Cove,King Cove_grid,Aleutians,0,808.99999999999977,3728,0,0,0,0,4273.2619999999997,263.73799999999994,4537,EIA923/RCA,12,King Cove,Annual FY 18/FY19 PCE report. Did not submit monthly PCE reports to AEA
P178,332080,Kipnuk Light Plant,Kipnuk,Kipnuk,Kipnuk_grid,Lower Yukon-Kuskokwim,0,1729.9599999999998,0,0,0,0,0,1703.7579999999998,26.202000000000002,1729.9599999999998,PCE,10,Kipnuk,NA
P18,NA,Alaska Power & Telephone Company,South Fork,Craig,Prince of Wales Is._grid,Southeast,0,0,4146,0,0,0,0,4146,NA,4146,EIA923,12,Craig; Klawock,NA
P180,NA,Kodiak Electric Assn Inc,ESS Battery Microgrid,Kodiak,Kodiak_grid,Kodiak,0,0,0,0,0,0,-240.00000000000003,-240.00000000000003,NA,-240.00000000000003,EIA923,12,"Kodiak, Kodiak Station, Port Lions, Chiniak, Woody Island",NA
P181,NA,Kodiak Electric Assn Inc,Flywheel Energy Storage System Microgrid,Kodiak,Kodiak_grid,Kodiak,0,0,0,0,0,-342.00000000000006,0,-342.00000000000006,NA,-342.00000000000006,EIA923,12,"Kodiak, Kodiak Station, Port Lions, Chiniak, Woody Island",NA
P182,NA,Kodiak Electric Assn Inc,Kodiak Microgrid,Kodiak,Kodiak_grid,Kodiak,0,74,0,0,0,0,0,74,NA,74,EIA923,12,"Kodiak, Kodiak Station, Port Lions, Chiniak, Woody Island",NA
P183,NA,Kodiak Electric Assn Inc,Nymans Plant Microgrid,Kodiak,Kodiak_grid,Kodiak,0,0,0,0,0,0,0,0,NA,0,EIA923,12,"Kodiak, Kodiak Station, Port Lions, Chiniak, Woody Island",NA
P184,NA,Kodiak Electric Assn Inc,Pillar Mountain Wind Project Microgrid,Kodiak,Kodiak_grid,Kodiak,0,0,0,0,26170,0,0,26170,NA,26170,EIA923,12,"Kodiak, Kodiak Station, Port Lions, Chiniak, Woody Island",NA
P186,NA,Kodiak Electric Assn Inc,Swampy Acres Microgrid,Kodiak,Kodiak_grid,Kodiak,0,0,0,0,0,0,0,0,NA,0,EIA923,12,"Kodiak, Kodiak Station, Port Lions, Chiniak, Woody Island",NA
P187,NA,Kodiak Electric Assn Inc,Terror Lake Microgrid,Kodiak,Kodiak_grid,Kodiak,0,0,121969.00000000001,0,0,0,0,121969.00000000001,NA,121969.00000000001,EIA923,12,"Kodiak, Kodiak Station, Port Lions, Chiniak, Woody Island",NA
P188,332100,Kokhanok Village Council,Kokhanok,Kokhanok,Kokhanok_grid,Bristol Bay,0,460.52600000000001,0,0,0,0,0,404.577,55.948999999999998,460.52600000000001,PCE,12,Kokhanok,NA
P189,332130,Kotzebue Electric Association,Kotzebue,Kotzebue,Kotzebue_grid,Northwest Arctic,0,15590.241,0,0,4400.1629999999996,0,-90.000000000000014,19491.643,408.76100000000002,19900.403999999999,PCE/EIA923,11,Kotzebue,"IC, Wind=PCE, Battery=EIA923"
P190,332140,"Koyukuk, City of",Koyukuk,Koyukuk,Koyukuk_grid,Yukon-Koyukuk/Upper Tanana,0,204.14200000000002,0,0,0,0,0,184.04000000000002,20.102,204.14200000000002,PCE,9,Koyukuk,NA
P191,332150,Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,Kwethluk,Kwethluk,Kwethluk_grid,Lower Yukon-Kuskokwim,0,1685.6729999999998,0,0,0,0,0,1648.7579999999998,36.914999999999999,1685.6729999999998,PCE,12,Kwethluk,NA
P192,332160,Kwigillingok Power Company,Kwigillingok,Kwigillingok,Kwigillingok_grid,Lower Yukon-Kuskokwim,0,1071.6897837811039,0,0,273.36599999999999,0,0,1281.5661474174674,63.489636363636365,1345.0557837811039,PCE,12,Kwigillingok,Includes wind purchased from Calista
P193,332170,Larsen Bay Utility Company,Larsen Bay,Larsen Bay,Larsen Bay_grid,Kodiak,0,33.901000000000003,922.93899999999996,0,0,0,0,911.3309999999999,45.509,956.83999999999992,PCE,8,Larsen Bay,NA
P194,332180,Levelock Electrical Coop,Levelock,Levelock,Levelock_grid,Bristol Bay,0,373.209,0,0,0,0,0,346.041,27.167999999999999,373.209,PCE,10,Levelock,NA
P195,332190,Lime Village Electric Utility,Lime Village,Lime Village,Lime Village_grid,Lower Yukon-Kuskokwim,0,49.813500000000005,0,0,0,0,0,46.930722222222229,2.8827777777777777,49.813500000000005,PCE,7,Lime Village,NA
P196,332210,Manokotak Power Company,Manokotak,Manokotak,Manokotak_grid,Bristol Bay,0,632.139897928501,0,0,0,0,0,604.41689792850104,27.722999999999999,632.139897928501,PCE,6,Manokotak,NA
