"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17
P191,332150,Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,Kwethluk,Kwethluk,Kwethluk_grid,Lower Yukon-Kuskokwim,1050,NA,1050,NA,NA,NA,NA,NA,AEA,NA
P192,332160,Kwigillingok Power Company,Kwigillingok,Kwigillingok,Kwigillingok_grid,Lower Yukon-Kuskokwim,1544.9999999999998,NA,1069.9999999999998,NA,475.00000000000006,NA,NA,NA,AEA,NA
P195,332190,Lime Village Electric Utility,Lime Village,Lime Village,Lime Village_grid,Lower Yukon-Kuskokwim,12,NA,NA,NA,NA,12,NA,NA,AEA,NA
P59,331440,Alaska Village Electric Cooperative,Marshall,Marshall,Marshall_grid,Lower Yukon-Kuskokwim,1104,NA,1104,NA,NA,NA,NA,NA,AEA,NA
P87,331450,Alaska Village Electric Cooperative,Mekoryuk,Mekoryuk,Mekoryuk_grid,Lower Yukon-Kuskokwim,1049,NA,849,NA,200,NA,NA,NA,AEA,NA
P60,331470,Alaska Village Electric Cooperative,Mountain Village,Mountain Village,Saint Mary's_grid,Lower Yukon-Kuskokwim,2315,NA,2315,NA,NA,NA,NA,NA,EIA-F860,NA
P208,332290,Napakiak Ircinraq,Napakiak,Napakiak,Bethel_grid,Lower Yukon-Kuskokwim,250,NA,250,NA,NA,NA,NA,NA,AEA,NA
P209,332300,Napaskiak Electric Utility,Napaskiak,Napaskiak,Napaskiak_grid,Lower Yukon-Kuskokwim,570,NA,570,NA,NA,NA,NA,NA,AEA,NA
P265,332870,Ungusraq Power Company,Newtok,Newtok,Newtok_grid,Lower Yukon-Kuskokwim,270,NA,270,NA,NA,NA,NA,NA,AEA,NA
P89,331490,Alaska Village Electric Cooperative,Nightmute,Nightmute,Toksook Bay_grid,Lower Yukon-Kuskokwim,344,NA,344,NA,NA,NA,NA,NA,AEA,NA
P223,332420,Nunam Iqua Electric Company,Nunam Iqua,Nunam Iqua,Nunam Iqua_grid,Lower Yukon-Kuskokwim,840,NA,840,NA,NA,NA,NA,NA,AEA,NA
P64,331530,Alaska Village Electric Cooperative,Nunapitchuk,Nunapitchuk,Nunapitchuk_grid,Lower Yukon-Kuskokwim,484,NA,484,NA,NA,NA,NA,NA,AEA,NA
P65,331550,Alaska Village Electric Cooperative,Pilot Station,Pilot Station,Pilot Station_grid,Lower Yukon-Kuskokwim,1220,NA,1220,NA,NA,NA,NA,NA,EIA-F860,NA
P231,332490,"Platinum, City of",Platinum,Platinum,Platinum_grid,Lower Yukon-Kuskokwim,140,NA,140,NA,NA,NA,NA,NA,AEA,NA
P66,331570,Alaska Village Electric Cooperative,Quinhagak,Quinhagak,Quinhagak_grid,Lower Yukon-Kuskokwim,1512.0000000000002,NA,1212.0000000000002,NA,300,NA,NA,NA,EIA-F860,NA
P204,332250,Middle Kuskokwim Electric,Red Devil,Red Devil,Red Devil_grid,Lower Yukon-Kuskokwim,92,NA,92,NA,NA,NA,NA,NA,AEA,NA
P93,331580,Alaska Village Electric Cooperative,Russian Mission,Russian Mission,Russian Mission_grid,Lower Yukon-Kuskokwim,842,NA,842,NA,NA,NA,NA,NA,AEA,NA
P67,331660,Alaska Village Electric Cooperative,Saint Mary's,Saint Mary's,Saint Mary's_grid,Lower Yukon-Kuskokwim,2918,NA,2017.9999999999998,NA,900,NA,NA,NA,EIA-F860,NA
P69,331600,Alaska Village Electric Cooperative,Scammon Bay,Scammon Bay,Scammon Bay_grid,Lower Yukon-Kuskokwim,1212.0000000000002,NA,1212.0000000000002,NA,NA,NA,NA,NA,EIA-F860,NA
P205,332260,Middle Kuskokwim Electric,Sleetmute,Sleetmute,Sleetmute_grid,Lower Yukon-Kuskokwim,338,NA,338,NA,NA,NA,NA,NA,AEA,NA
P206,332270,Middle Kuskokwim Electric,Stony River,Stony River,Stony River_grid,Lower Yukon-Kuskokwim,166,NA,166,NA,NA,NA,NA,NA,AEA,NA
P76,331700,Alaska Village Electric Cooperative,Toksook Bay,Toksook Bay,Toksook Bay_grid,Lower Yukon-Kuskokwim,2017.9999999999998,NA,1617.9999999999998,NA,400,NA,NA,NA,EIA-F860,NA
P258,332710,Tuluksak Traditional,Tuluksak,Tuluksak,Tuluksak_grid,Lower Yukon-Kuskokwim,300,NA,300,NA,NA,NA,NA,NA,AEA,NA
P259,332720,Tuntutuliak Community,Tuntutuliak,Tuntutuliak,Tuntutuliak_grid,Lower Yukon-Kuskokwim,1450,NA,975,NA,475.00000000000006,NA,NA,NA,AEA,NA
P97,331710,Alaska Village Electric Cooperative,Tununak,Tununak,Toksook Bay_grid,Lower Yukon-Kuskokwim,344,NA,344,NA,NA,NA,NA,NA,AEA,NA
P77,331720,Alaska Village Electric Cooperative,Upper Kalskag,Lower Kalskag,Upper Kalskag_grid,Lower Yukon-Kuskokwim,1097.9999999999998,NA,1097.9999999999998,NA,NA,NA,NA,NA,EIA-F860,NA
P2,331010,"Akhiok, City of",Akhiok,Akhiok,Akhiok_grid,Kodiak,360,NA,360,NA,NA,NA,NA,NA,AEA,NA
P180,NA,Kodiak Electric Assn Inc,ESS Battery Microgrid,Kodiak,Kodiak_grid,Kodiak,3000,NA,NA,NA,NA,NA,3000,NA,EIA-F860,NA
P181,NA,Kodiak Electric Assn Inc,Flywheel Energy Storage System Microgrid,Kodiak,Kodiak_grid,Kodiak,2000,NA,NA,NA,NA,NA,NA,2000,EIA-F860,NA
P100,331740,Alutiiq Power Company,Karluk,Karluk,Karluk_grid,Kodiak,120,NA,120,NA,NA,NA,NA,NA,AEA,NA
P182,NA,Kodiak Electric Assn Inc,Kodiak,Kodiak,Kodiak_grid,Kodiak,18300,NA,18300,NA,NA,NA,NA,NA,EIA-F860,NA
P193,332170,Larsen Bay Utility Company,Larsen Bay,Larsen Bay,Larsen Bay_grid,Kodiak,815,NA,340,475,NA,NA,NA,NA,AEA,NA
P183,NA,Kodiak Electric Assn Inc,Nymans Plant,Kodiak,Kodiak_grid,Kodiak,10000,NA,10000,NA,NA,NA,NA,NA,EIA-F860,NA
P91,331540,Alaska Village Electric Cooperative,Old Harbor,Old Harbor,Old Harbor_grid,Kodiak,706.00000000000011,NA,706.00000000000011,NA,NA,NA,NA,NA,AEA,NA
P225,332440,"Ouzinkie, City of",Ouzinkie,Ouzinkie,Ouzinkie_grid,Kodiak,476,NA,351,125,NA,NA,NA,NA,AEA,NA
P184,NA,Kodiak Electric Assn Inc,Pillar Mountain Wind Project Microgrid,Kodiak,Kodiak_grid,Kodiak,9000,NA,NA,NA,9000,NA,NA,NA,EIA-F860,NA
P185,NA,Kodiak Electric Assn Inc,Port Lions,Kodiak,Kodiak_grid,Kodiak,500,NA,500,NA,NA,NA,NA,NA,EIA-F860,NA
P186,NA,Kodiak Electric Assn Inc,Swampy Acres,Kodiak,Kodiak_grid,Kodiak,8400,NA,8400,NA,NA,NA,NA,NA,EIA-F860,NA
P187,NA,Kodiak Electric Assn Inc,Terror Lake Microgrid,Kodiak,Kodiak_grid,Kodiak,33599.999999999993,NA,NA,33599.999999999993,NA,NA,NA,NA,EIA-F860,NA
P126,NA,Copper Valley Elec Assn Inc,Allison Creek Hydro,Valdez,CopperValley_grid,Copper River/Chugach,6500,NA,NA,6500,NA,NA,NA,NA,EIA-F860,NA
P115,331850,Chenega Ira Council,Chenega Bay,Chenega Bay,Chenega_grid,Copper River/Chugach,198,NA,198,NA,NA,NA,NA,NA,AEA,NA
P32,331070,Alaska Power & Telephone Company,Chistochina,Chistochina,Slana_grid,Copper River/Chugach,200,NA,200,NA,NA,NA,NA,NA,AEA,NA
P119,331890,Chitina Electric Inc,Chitina,Chitina,Chitina_grid,Copper River/Chugach,351.00000000000006,NA,351.00000000000006,NA,NA,NA,NA,NA,AEA,NA
P127,NA,Copper Valley Elec Assn Inc,Glennallen,Valdez,CopperValley_grid,Copper River/Chugach,10700,NA,10700,NA,NA,NA,NA,NA,EIA-F860,NA
P132,NA,Cordova Electric Cooperative,Humpback Creek,Cordova,Cordova_grid,Copper River/Chugach,1200,NA,NA,1200,NA,NA,NA,NA,EIA-F860,NA
P133,NA,Cordova Electric Cooperative,Orca,Cordova,Cordova_grid,Copper River/Chugach,10918,NA,10918,NA,NA,NA,NA,NA,EIA-F860,NA
P134,NA,Cordova Electric Cooperative,Power Creek,Cordova,Cordova_grid,Copper River/Chugach,6000,NA,NA,6000,NA,NA,NA,NA,EIA-F860,NA
P27,331195,Alaska Power & Telephone Company,Slana Generating Station,Slana,Slana_grid,Copper River/Chugach,730,NA,730,NA,NA,NA,NA,NA,AEA,NA
P128,NA,Copper Valley Elec Assn Inc,Solomon Gulch,Valdez,CopperValley_grid,Copper River/Chugach,12000,NA,NA,12000,NA,NA,NA,NA,EIA-F860,NA
P250,332610,Tatitlek Village Ira Council,Tatitlek,Tatitlek,Tatitlek_grid,Copper River/Chugach,315,NA,315,NA,NA,NA,NA,NA,AEA,NA
P129,NA,Copper Valley Elec Assn Inc,Valdez,Valdez,CopperValley_grid,Copper River/Chugach,8200,2800,5400,NA,NA,NA,NA,NA,EIA-F860,NA
P130,NA,Copper Valley Elec Assn Inc,Valdez Cogen,Valdez,CopperValley_grid,Copper River/Chugach,5300,5300,NA,NA,NA,NA,NA,NA,EIA-F860,NA
P118,331860,"Chignik, City of",Chignik Bay,Chignik,Chignik_grid,Bristol Bay,637.00000000000011,NA,577.00000000000011,60,NA,NA,NA,NA,AEA,NA
P116,331870,Chignik Lagoon Power Utility,Chignik Lagoon,Chignik Lagoon,Chignik Lagoon_grid,Bristol Bay,632,NA,464.99999999999994,167,NA,NA,NA,NA,AEA,NA
P117,331880,Chignik Lake Electric Utility,Chignik Lake,Chignik Lake,Chignik Lake_grid,Bristol Bay,447,NA,447,NA,NA,NA,NA,NA,AEA,NA
P125,331910,"Clark's Point, City of",Clark's Point,Clark's Point,Clark's Point_grid,Bristol Bay,446,NA,446,NA,NA,NA,NA,NA,AEA,NA
P224,332430,Nushagak Electric Cooperative,Dillingham,Dillingham,Dillingham_grid,Bristol Bay,6885,NA,6885,NA,NA,NA,NA,NA,EIA-F860,NA
P139,331940,Egegik Light & Power Co,Egegik,Egegik,Egegik_grid,Bristol Bay,1030,NA,1030,NA,NA,NA,NA,NA,AEA,NA
P161,332040,Igiugig Electric Company,Igiugig,Igiugig,Igiugig_grid,Bristol Bay,235,NA,195,40,NA,NA,NA,NA,AEA,NA
P188,332100,Kokhanok Village Council,Kokhanok,Kokhanok,Kokhanok_grid,Bristol Bay,632,NA,452,NA,180,NA,NA,NA,AEA,NA
P213,332110,New Koliganek Village Council,Koliganek,Koliganek,Koliganek_grid,Bristol Bay,420.00000000000006,NA,420.00000000000006,NA,NA,NA,NA,NA,AEA,NA
P194,332180,Levelock Electrical Coop,Levelock,Levelock,Levelock_grid,Bristol Bay,267,NA,267,NA,NA,NA,NA,NA,AEA,NA
P196,332210,Manokotak Power Company,Manokotak,Manokotak,Manokotak_grid,Bristol Bay,830,NA,830,NA,NA,NA,NA,NA,AEA,NA
P207,332280,Naknek Electric Association,Naknek,Naknek,Naknek_grid,Bristol Bay,9900.0000000000018,NA,9900.0000000000018,NA,NA,NA,NA,NA,EIA-F860,NA
P61,331480,Alaska Village Electric Cooperative,New Stuyahok,New Stuyahok,New Stuyahok_grid,Bristol Bay,1400,NA,1400,NA,NA,NA,NA,NA,AEA,NA
P162,332050,"I-N-N Electric Coop, Inc",Newhalen,Newhalen,Newhalen_grid,Bristol Bay,1850,NA,1050,800,NA,NA,NA,NA,EIA-F860,NA
P90,332040,Alaska Village Electric Cooperative,Nulato,Nulato,Nulato_grid,Bristol Bay,989,NA,989,NA,NA,NA,NA,NA,AEA,NA
P227,332450,Pedro Bay Village Council,Pedro Bay,Pedro Bay,Pedro Bay_grid,Bristol Bay,211,NA,211,NA,NA,NA,NA,NA,AEA,NA
P211,332470,Native Village of Perryville,Perryville,Perryville,Perryville_grid,Bristol Bay,434.00000000000006,NA,410.00000000000006,NA,23.999999999999996,NA,NA,NA,AEA,NA
P230,332480,Pilot Point Electric Utility,Pilot Point,Pilot Point,Pilot Point_grid,Bristol Bay,446,NA,246,NA,200,NA,NA,NA,AEA,NA
P248,332590,Tanalian Electric Cooperative,Port Alsworth,Port Alsworth,Port Alsworth_grid,Bristol Bay,630,NA,630,NA,NA,NA,NA,NA,AEA,NA
P232,332500,Port Heiden Utilities,Port Heiden,Port Heiden,Port Heiden_grid,Bristol Bay,369,NA,369,NA,NA,NA,NA,NA,AEA,NA
P75,331690,Alaska Village Electric Cooperative,Togiak,Togiak,Togiak_grid,Bristol Bay,2429.0000000000005,NA,2429.0000000000005,NA,NA,NA,NA,NA,EIA-F860,NA
P260,332730,Twin Hills Village Council,Twin Hills,Twin Hills,Twin Hills_grid,Bristol Bay,220,NA,220,NA,NA,NA,NA,NA,AEA,NA
P48,331270,Alaska Village Electric Cooperative,Brevig Mission,Brevig Mission,Brevig Mission_grid,Bering Straits,1104,NA,1104,NA,NA,NA,NA,NA,AEA,NA
P50,331300,Alaska Village Electric Cooperative,Elim,Elim,Elim_grid,Bering Straits,1105,NA,1105,NA,NA,NA,NA,NA,EIA-F860,NA
P52,331320,Alaska Village Electric Cooperative,Gambell,Gambell,Gambell_grid,Bering Straits,2008,NA,1708,NA,300,NA,NA,NA,EIA-F860,NA
P153,332000,Golovin Power Utilities,Golovin,Golovin,Golovin_grid,Bering Straits,720,NA,720,NA,NA,NA,NA,NA,AEA,NA
P58,331420,Alaska Village Electric Cooperative,Koyuk,Koyuk,Koyuk_grid,Bering Straits,1097.9999999999998,NA,1097.9999999999998,NA,NA,NA,NA,NA,EIA-F860,NA
P73,331670,Alaska Village Electric Cooperative,Saint Michael,Saint Michael,Stebbins_grid,Bering Straits,700,NA,700,NA,NA,NA,NA,NA,EIA-F860,NA
P68,331590,Alaska Village Electric Cooperative,Savoonga,Savoonga,Savoonga_grid,Bering Straits,1886,NA,1686,NA,200,NA,NA,NA,EIA-F860,NA
P95,331630,Alaska Village Electric Cooperative,Shaktoolik,Shaktoolik,Shaktoolik_grid,Bering Straits,1000,NA,800,NA,200,NA,NA,NA,AEA,NA
P71,331640,Alaska Village Electric Cooperative,Shishmaref,Shishmaref,Shishmaref_grid,Bering Straits,1609,NA,1609,NA,NA,NA,NA,NA,EIA-F860,NA
P215,332340,Nome Joint Utility Systems,Snake River,Nome,Nome_grid,Bering Straits,20057,NA,16357,NA,3700,NA,NA,NA,EIA-F860,NA
P74,331680,Alaska Village Electric Cooperative,Stebbins,Stebbins,Stebbins_grid,Bering Straits,2020,NA,2020,NA,NA,NA,NA,NA,EIA-F860,NA
P96,331685,Alaska Village Electric Cooperative,Teller,Teller,Teller_grid,Bering Straits,750,NA,750,NA,NA,NA,NA,NA,AEA,NA
P262,332850,Unalakleet Valley Electric Cooperative,Unalakleet,Unalakleet,Unalakleet_grid,Bering Straits,2500,NA,1900.0000000000002,NA,600,NA,NA,NA,EIA-F860,NA
P98,331730,Alaska Village Electric Cooperative,Wales,Wales,Wales_grid,Bering Straits,702.00000000000011,NA,572.00000000000011,NA,130,NA,NA,NA,AEA,NA
P272,332890,"White Mountain, City of",White Mountain,White Mountain,WhiteMountain_grid,Bering Straits,0,NA,NA,NA,NA,NA,NA,NA,AEA,NA
P251,331005,TDX Adak Generating LLC,Adak,Adak,Adak_grid,Aleutians,4335,NA,4335,NA,NA,NA,NA,NA,AEA,NA
P5,331040,"Akutan, City of",Akutan,Akutan,Akutan_grid,Aleutians,657,NA,552,105,NA,NA,NA,NA,AEA,NA
P107,331750,"Atka, City of",Atka,Atka,Atka_grid,Aleutians,541,NA,257,284,NA,NA,NA,NA,AEA,NA
P143,331980,G & K Inc,Cold Bay,Cold Bay,Cold Bay_grid,Aleutians,2594.9999999999995,NA,2594.9999999999995,NA,NA,NA,NA,NA,AEA,NA
P263,NA,"Unalaska, City of",Dutch Harbor,Unalaska,Unalaska_grid,Aleutians,22200,NA,22200,NA,NA,NA,NA,NA,EIA-F860,NA
P141,331970,"False Pass, City of",False Pass,False Pass,False Pass_grid,Aleutians,503,NA,503,NA,NA,NA,NA,NA,AEA,NA
P177,332070,"King Cove, City of",King Cove,King Cove,King Cove_grid,Aleutians,5100.0000000000009,NA,3900.0000000000005,1200.0000000000002,NA,NA,NA,NA,EIA-F860,NA
P212,332320,Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon,Nelson Lagoon_grid,Aleutians,300.00000000000006,NA,300.00000000000006,NA,NA,NA,NA,NA,AEA,NA
P261,332740,Umnak Power Company,Nikolski,Nikolski,Nikolski_grid,Aleutians,261,NA,196,NA,65,NA,NA,NA,AEA,NA
P237,332550,"Saint George, City of",Saint George,Saint George,Saint George_grid,Aleutians,895,NA,800,NA,95,NA,NA,NA,AEA,NA
P238,332560,Saint Paul Municipal Electric,Saint Paul,Saint Paul,Saint Paul_grid,Aleutians,2920,NA,2920,NA,NA,NA,NA,NA,AEA,NA
P252,332540,TDX Corporation,Sand Point,Sand Point,Sand Point_grid,Aleutians,3830,NA,2830,NA,1000,NA,NA,NA,AEA,NA
P294,NA,TDX Corporation,TDX Saint Paul Wind,Saint Paul,Saint Paul_grid,Aleutians,450,NA,NA,NA,450,NA,NA,NA,EIA-F860,NA
P264,NA,"Unalaska, City of",Unalaska Power Module,Unalaska,Unalaska_grid,Aleutians,1100,NA,1100,NA,NA,NA,NA,NA,EIA-F860,NA
P266,NA,Unisea Inc,Unisea G 2,Unalaska,Unalaska_grid,Aleutians,17500,NA,17500,NA,NA,NA,NA,NA,EIA-F860,NA
P271,NA,Westward Seafoods Inc,Westward Seafoods,Unalaska,Unalaska_grid,Aleutians,6600.0000000000009,NA,6600.0000000000009,NA,NA,NA,NA,NA,EIA-F860,NA
