PCE reporting ID...1,AEA Plant ID,eia_plant_id,PCE reporting ID...4,plant_name,AEA_operator Id,eia_operator_id,OPERATOR_Operator_name,INTERTIE_Current Intertie ID,INTERTIE_Current Intertie name,Currently Reports to EIA,Currently Reports to PCE,combined_heat_power,nameplate_capacity,OPERATOR_sector__id,OPERATOR_sector__name,OPERATOR_sector__number,Primary voltage,Primary voltage 2,Phases,Latitude,longitude,"status (OP, SB, OA)",Notes,CPCN
NA,P181,60563,NA,Flywheel Energy Storage System Microgrid,AEA-106,10433,Kodiak Electric Assn Inc,223-0000,Kodiak_grid,TRUE,FALSE,FALSE,2,1,Electric Utility,1,12.47,NA,NA,57.780114,-152.443783,OP,NA,339
NA,P182,6281,NA,Kodiak Microgrid,AEA-106,10433,Kodiak Electric Assn Inc,223-0000,Kodiak_grid,TRUE,FALSE,FALSE,18.3,1,Electric Utility,1,67,NA,NA,57.789956,-152.396982,OP,NA,339
NA,P183,7723,NA,Nymans Plant Microgrid,AEA-106,10433,Kodiak Electric Assn Inc,223-0000,Kodiak_grid,TRUE,FALSE,FALSE,10,1,Electric Utility,1,67,NA,NA,57.731608,-152.507044,NA,NA,339
NA,P184,57187,NA,Pillar Mountain Wind Project Microgrid,AEA-106,10433,Kodiak Electric Assn Inc,223-0000,Kodiak_grid,TRUE,FALSE,FALSE,9,1,Electric Utility,1,69,NA,NA,57.7869,-152.4406,OP,NA,339
NA,P185,6282,NA,Port Lions Microgrid,AEA-106,10433,Kodiak Electric Assn Inc,223-0000,Kodiak_grid,FALSE,FALSE,FALSE,0.5,1,Electric Utility,1,12.47,NA,NA,57.864775,-152.855441,NA,NA,339
NA,P186,60250,NA,Swampy Acres Microgrid,AEA-106,10433,Kodiak Electric Assn Inc,223-0000,Kodiak_grid,TRUE,FALSE,FALSE,8.4,1,Electric Utility,1,12.47,NA,NA,57.77556,-152.48028,NA,NA,339
NA,P187,71,NA,Terror Lake Microgrid,AEA-106,10433,Kodiak Electric Assn Inc,223-0000,Kodiak_grid,TRUE,FALSE,FALSE,33.6,1,Electric Utility,1,138,NA,NA,57.6861,-152.895,OP,NA,339
332100,P188,NA,332100,Kokhanok,AEA-046,NA,Kokhanok Village Council,134-0000,Kokhanok_grid,FALSE,TRUE,TRUE,0.452,1,Electric Utility,1,7.2,NA,NA,59.4416,-154.75514,OP,NA,394
332130,P189,6304,332130,Kotzebue,AEA-048,10451,Kotzebue Electric Association,135-0000,Kotzebue_grid,TRUE,TRUE,FALSE,17.5,1,Electric Utility,1,7.2,NA,NA,66.837778,-162.556944,OP,NA,92
NA,P19,56147,NA,Viking,AEA-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,TRUE,NA,FALSE,1,1,Electric Utility,1,12.47,NA,NA,55.540708,-133.102344,NA,NA,2
332140,P190,NA,332140,Koyukuk,AEA-049,NA,"Koyukuk, City of",136-0000,Koyukuk_grid,FALSE,TRUE,TRUE,0.202,1,Electric Utility,1,7.2,NA,NA,64.88093,-157.70103,OP,NA,586
332150,P191,NA,332150,Kwethluk,AEA-050,NA,Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,137-0000,Kwethluk_grid,FALSE,TRUE,TRUE,1.05,1,Electric Utility,1,7.2,NA,NA,60.81222,-161.43583,OP,NA,230
332160,P192,NA,332160,Kwigillingok,AEA-051,NA,Kwigillingok Power Company,138-0000,Kwigillingok_grid,FALSE,TRUE,TRUE,1.07,1,Electric Utility,1,7.2,NA,NA,59.86393,-163.13322,OP,NA,72
332170,P193,NA,332170,Larsen Bay,AEA-052,NA,Larsen Bay Utility Company,139-0000,Larsen Bay_grid,FALSE,TRUE,TRUE,0.34,1,Electric Utility,1,7.2,NA,NA,57.53854,-153.97844,OP,NA,61
332180,P194,NA,332180,Levelock,AEA-053,NA,Levelock Electrical Coop,140-0000,Levelock_grid,FALSE,TRUE,TRUE,0.267,1,Electric Utility,1,7.2,NA,NA,59.115,-156.85667,OP,NA,363
332190,P195,NA,332190,Lime Village,AEA-054,NA,Lime Village Electric Utility,141-0000,Lime Village_grid,FALSE,TRUE,FALSE,NA,1,Electric Utility,1,NA,NA,NA,61.35639,-155.43556,OP,NA,664
332210,P196,NA,332210,Manokotak,AEA-056,NA,Manokotak Power Company,142-0000,Manokotak_grid,FALSE,TRUE,TRUE,0.8300000000000001,1,Electric Utility,1,7.2,NA,NA,58.98139,-159.05833,OP,NA,729
NA,P197,58989,NA,Eklutna Generation Station,AEA-107,11824,Matanuska Electric Association,215-1985,Railbelt_grid,TRUE,FALSE,FALSE,171,1,Electric Utility,1,115,NA,NA,61.457778,-149.351389,OP,NA,242
332220,P198,6555,332220,McGrath,AEA-057,12119,Mcgrath Light & Power,143-0000,McGrath_grid,TRUE,TRUE,TRUE,2.2,1,Electric Utility,1,2.4,NA,NA,62.95699,-155.594997,OP,NA,106
NA,P199,7112,NA,Centennial,AEA-108,12385,Metlakatla Power & Light,225_0000,Metlakatla_grid,TRUE,FALSE,FALSE,5.1,1,Electric Utility,1,12.47,NA,NA,55.121433,-131.560267,OP,NA,741
331010,P2,NA,331010,Akhiok,AEA-001,NA,"Akhiok, City of",001-0000,Akhiok_grid,FALSE,TRUE,FALSE,0.36,1,Electric Utility,1,7.2,NA,NA,56.94556,-154.17028,OP,NA,449
331090,P20,421,331090,Craig,AEA-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,TRUE,TRUE,FALSE,4.6,1,Electric Utility,1,12.47,NA,NA,55.47691,-133.14869,OP,NA,2
