"AK Plant ID","RCA CPCN","Utility Name","Plant Name","Intertie Name","Energy Region","Fuel Type","Prime Mover","Generation MMBtu","Total Fuel MMBtu","Emission Factor","CO2 Metric Tons from Fuel","Efficiency (Max = 1.00)","Generation MWh","Fuel Use","Fuel Units","Estimated Average Heat Content","Source","Number of monthly records","Communities connected to plant","Notes"
"P252","230","TDX Corporation","Sand Point","Sand Point_grid","Aleutians","WND","WT","3511.3176032999995","0","0","0","-","1026.6109999999999","0",NA,"-","PCE","12","Sand Point",NA
"P252","230","TDX Corporation","Sand Point","Sand Point_grid","Aleutians","DFO","IC","1665.2414610000001","4761.7000000000007","74.14","353.03243800000007","0.34971574458701721","486.87","34505","gallons","0.13800028981307058","PCE","2","Sand Point",NA
"P261","242","Umnak Power Company","Nikolski","Nikolski_grid","Aleutians","DFO","IC","707.17096709999998","2953.1999999999994","74.14","218.95024799999996","0.23945921952458354","206.75699999999998","21400","gallons","0.13799999999999998","PCE","12","Nikolski",NA
"P263","106","Unalaska, City of","Dutch Harbor","Unalaska_grid","Aleutians","DFO","IC","159461.22659999999","426805.89999999997","74.14","31643.389425999998","0.37361532865407909","46622","3092796","gallons","0.1380000168132654","EIA923","12","Unalaska",NA
"P264","106","Unalaska, City of","Unalaska Power Module","Unalaska_grid","Aleutians","DFO","IC","232.5804","690.19999999999993","74.14","51.171427999999992","0.33697536945812812","68","4998","gallons","0.13809523809523808","EIA923","12","Unalaska",NA
"P266","0","Unisea Inc","Unisea G 2","Unalaska_grid","Aleutians","DFO","IC","86793.830366099995","345667.70000000007","74.14","25627.803278000003","0.25109036906283111","25376.087","2504838","gallons","0.13800002235673528","EIA923","12","Unalaska",NA
"P271","0","Westward Seafoods Inc","Westward Seafoods","Unalaska_grid","Aleutians","DFO","IC","64188.770100000002","171700.59999999998","74.14","12729.882484","0.37384126846382604","18767","1244208","gallons","0.13799991641268983","EIA923","12","Unalaska",NA
"P5","293","Akutan, City of","Akutan","Akutan_grid","Aleutians","WAT","HY","0","0","0","0","-","0","-",NA,"-","0","0","Akutan",NA
"P5","293","Akutan, City of","Akutan","Akutan_grid","Aleutians","DFO","IC","2261.6802155999994","5883.2000000000007","74.14","436.18044800000001","0.38443027869186824","661.25199999999984","42633","gallons","0.1379963877747285","PCE","12","Akutan",NA
"P237","410","Saint George, City of","Saint George","Saint George_grid","Aleutians","WND","WT","0","0","0","0","-","0","-",NA,"-","0","0","Saint George",NA
"P238","339","Saint Paul Municipal Electric","Saint Paul","Saint Paul_grid","Aleutians","WND","WT","2286.9596529","0","0","0","-","668.64300000000003","0",NA,"-","PCE","11","Saint Paul",NA
"P261","242","Umnak Power Company","Nikolski","Nikolski_grid","Aleutians","WND","WT","0","0","0","0","-","0","-",NA,"-","0","0","Nikolski",NA
"P266","0","Unisea Inc","Unisea G 2","Unalaska_grid","Aleutians","OBL",NA,"0","0","81.55","0","-","0","-","gallons","-","0","0","Unalaska",NA
"P266","0","Unisea Inc","Unisea G 2","Unalaska_grid","Aleutians","OBL","IC","21704.926233899998","92468","81.55","7540.7653999999993","0.23472905474218106","6345.9129999999986","970914","gallons","9.5238095238095233E-2","EIA923","12","Unalaska",NA
"P287","0","Peter Pan Seafoods","King Cove","King Cove_grid","Aleutians","DFO","IC","0","0","74.14","0","-","0","-","gallons","-","0","0","King Cove",NA
"P291","106","Unalaska, City of","Unalaska","Unalaska_grid","Aleutians","DFO","IC","0","0","74.14","0","-","0","-","gallons","-","0","0","Unalaska",NA
"P5","293","Akutan, City of","Akutan","Akutan_grid","Aleutians","WAT","IC","0","0","0","0","-","0","-",NA,"-","0","0","Akutan",NA
"P135","383","Diomede Joint Utilities","Diomede","Diomede_grid","Bering Straits","DFO","IC","381.95516190000001","0","74.14","0","-","111.673","0","gallons","-","PCE","3","Diomede",NA
"P153","373","Golovin Power Utilities","Golovin","Golovin_grid","Bering Straits","DFO","IC","2838.5103902999999","8811.2999999999993","74.14","653.26978199999996","0.32214433628408978","829.90099999999995","63850","gallons","0.13799999999999998","PCE","12","Golovin",NA
"P215","150","Nome Joint Utility Systems","Snake River","Nome_grid","Bering Straits","WND","WT","3370.7090703000003","0","0","0","-","985.50100000000009","0",NA,"-","PCE","12","Nome",NA
"P215","150","Nome Joint Utility Systems","Snake River","Nome_grid","Bering Straits","DFO","IC","105215.19335339998","271219.90000000002","74.14","20108.243386000002","0.38793316181224158","30761.977999999996","1965361","gallons","0.13800004172261485","PCE","12","Nome",NA
"P262","741","Unalakleet Valley Electric Cooperative","Unalakleet","Unalakleet_grid","Bering Straits","WND","WT","3932.3667941999997","0","0","0","-","1149.7139999999999","0",NA,"-","PCE","12","Unalakleet",NA
"P262","741","Unalakleet Valley Electric Cooperative","Unalakleet","Unalakleet_grid","Bering Straits","DFO","IC","11304.413008199999","32014.3","74.14","2373.5402020000001","0.3531051126590305","3305.0939999999996","231987","gallons","0.13800040519511869","PCE","12","Unalakleet",NA
"P272","409","White Mountain, City of","White Mountain","White Mountain_grid","Bering Straits","DFO","IC","2675.3586600000003","9184.6999999999989","74.14","680.9536579999999","0.29128427275795626","782.2","66555","gallons","0.13800165276838702","PCE","12",NA,NA
"P48","169","Alaska Village Electric Cooperative","Brevig Mission","Brevig Mission_grid","Bering Straits","DFO","IC","3766.1333735999997","10907.000000000002","74.14","808.64498000000015","0.34529507413587596","1101.1119999999999","79036","gallons","0.13800040487878942","PCE","12","Brevig Mission",NA
"P50","169","Alaska Village Electric Cooperative","Elim","Elim_grid","Bering Straits","DFO","IC","4158.5956970999996","12826.800000000001","74.14","950.97895200000005","0.32421147106838799","1215.857","92947","gallons","0.13800122650542784","PCE","12","Elim",NA
"P52","169","Alaska Village Electric Cooperative","Gambell","Gambell_grid","Bering Straits","WND","WT","1446.0275933999997","0","0","0","-","422.77799999999991","0",NA,"-","PCE","11","Gambell",NA
"P52","169","Alaska Village Electric Cooperative","Gambell","Gambell_grid","Bering Straits","DFO","IC","5341.0823349000002","15945.5","74.14","1182.19937","0.3349585986579286","1561.5830000000001","115547","gallons","0.13800012116281687","PCE","12","Gambell",NA
"P58","169","Alaska Village Electric Cooperative","Koyuk","Koyuk_grid","Bering Straits","DFO","IC","4310.8093080000008","12779.699999999999","74.14","947.48695799999996","0.33731694077325769","1260.3600000000001","92607","gallons","0.13799928731089442","PCE","12","Koyuk",NA
"P68","169","Alaska Village Electric Cooperative","Savoonga","Savoonga_grid","Bering Straits","WND","WT","919.27745129999994","0","0","0","-","268.77099999999996","0",NA,"-","PCE","12","Savoonga",NA
"P68","169","Alaska Village Electric Cooperative","Savoonga","Savoonga_grid","Bering Straits","DFO","IC","6572.2466823000004","19911.5","74.14","1476.2386100000001","0.33007290672726819","1921.5410000000002","144286","gallons","0.13800022178173904","PCE","12","Savoonga",NA
"P71","169","Alaska Village Electric Cooperative","Shishmaref","Shishmaref_grid","Bering Straits","DFO","IC","5647.5514757999999","17464.399999999998","74.14","1294.810616","0.32337506446256387","1651.1859999999999","126554","gallons","0.13799958910820675","PCE","12","Shishmaref",NA
"P74","169","Alaska Village Electric Cooperative","Stebbins","Stebbins_grid","Bering Straits","DFO","IC","5255.0617898999999","15022.1","74.14","1113.7384939999999","0.34982204817568779","1536.433","108855","gallons","0.13800101051857977","PCE","12","Stebbins",NA
"P95","169","Alaska Village Electric Cooperative","Shaktoolik","Shaktoolik_grid","Bering Straits","WND","WT","1292.8973420999998","0","0","0","-","378.00699999999995","0",NA,"-","PCE","12","Shaktoolik",NA
"P95","169","Alaska Village Electric Cooperative","Shaktoolik","Shaktoolik_grid","Bering Straits","DFO","IC","2652.8872889999998","8367","74.14","620.32938000000001","0.31706552993904624","775.62999999999988","60631","gallons","0.13799871352938267","PCE","12","Shaktoolik",NA
"P96","169","Alaska Village Electric Cooperative","Teller","Teller_grid","Bering Straits","DFO","IC","2849.0380737","8880.6","74.14","658.40768400000002","0.32081594415917841","832.97900000000004","64352","gallons","0.1380003729487817","PCE","12","Teller",NA
"P98","169","Alaska Village Electric Cooperative","Wales","Wales_grid","Bering Straits","DFO","IC","2185.9958171999997","7022.7000000000007","74.14","520.66297800000007","0.31127569413473444","639.12399999999991","50889","gallons","0.13800035371101813","PCE","12","Wales",NA
"P73","169","Alaska Village Electric Cooperative","Saint Michael","SaintMichael_grid","Bering Straits","DFO","IC","5981.0341461000007","17794.599999999999","74.14","1319.2916439999999","0.33611512178413683","1748.6870000000001","128948","gallons","0.13799826286565126","PCE","12","Saint Michael",NA
"P98","169","Alaska Village Electric Cooperative","Wales","Wales_grid","Bering Straits","WND","WT","0","0","0","0","-","0","-",NA,"-","0","0","Wales",NA
"P116","658","Chignik Lagoon Power Utility","Chignik Lagoon","Chignik Lagoon_grid","Bristol Bay","WAT","HY","0","0","0","0","-","0","-",NA,"-","0","0","Chignik Lagoon",NA
"P116","658","Chignik Lagoon Power Utility","Chignik Lagoon","Chignik Lagoon_grid","Bristol Bay","DFO","IC","1528.5081278999999","5554.5999999999995","74.14","411.81804399999993","0.2751787937745292","446.89299999999992","40250","gallons","0.13800248447204969","PCE","12","Chignik Lagoon",NA
"P117","437","Chignik Lake Electric Utility","Chignik Lake","Chignik Lake_grid","Bristol Bay","DFO","IC","1317.6329516999999","4915.8","74.14","364.45741200000003","0.26804039051629436","385.23899999999998","35621","gallons","0.13800286347940821","PCE","12","Chignik Lake",NA
"P118","297","Chignik, City of","Chignik","Chignik_grid","Bristol Bay","DFO","IC","3003.5603870999998","8849.0999999999985","74.14","656.07227399999988","0.33941987174966948","878.15699999999993","64124","gallons","0.13799981286257873","PCE","12","Chignik",NA
"P125","360","Clark's Point, City of","Clark's Point","Clark's Point_grid","Bristol Bay","DFO","IC","206.31249599999998","1191.9000000000001","74.14","88.367466000000007","0.17309547445255472","60.319999999999993","8637","gallons","0.13799930531434526","PCE","3","Clark's Point",NA
"P139","320","Egegik Light & Power Co","Egegik","Egegik_grid","Bristol Bay","DFO","IC","2305.3506060000004","7588.9","74.14","562.64104599999996","0.30377928369065355","674.0200000000001","54992","gallons","0.13800007273785278","PCE","12","Egegik",NA
"P161","681","Igiugig Electric Company","Igiugig","Igiugig_grid","Bristol Bay","WAT","HY","0","0","0","0","-","0","-",NA,"-","0","0","Igiugig",NA
"P161","681","Igiugig Electric Company","Igiugig","Igiugig_grid","Bristol Bay","DFO","IC","1157.5287086999999","4104.2999999999993","74.14","304.29280199999999","0.28202828952561948","338.42899999999997","29740","gallons","0.13800605245460656","PCE","12","Igiugig",NA
"P162","280","I-N-N Electric Coop, Inc","Newhalen","Newhalen_grid","Bristol Bay","WAT","HY","13366.556342100001","0","0","0","-","3908.0070000000001","0",NA,"-","PCE","12","Iliamna, Newhalen, Nondalton",NA
"P162","280","I-N-N Electric Coop, Inc","Newhalen","Newhalen_grid","Bristol Bay","DFO","IC","61.072876799999996","196","74.14","14.53144","0.31159631020408163","17.855999999999998","1420","gallons","0.13802816901408452","PCE","12","Iliamna, Newhalen, Nondalton",NA
"P188","660","Kokhanok Village Council","Kokhanok","Kokhanok_grid","Bristol Bay","WND","WT","47.319850500000001","0","0","0","-","13.834999999999999","0",NA,"-","PCE","5","Kokhanok",NA
"P188","660","Kokhanok Village Council","Kokhanok","Kokhanok_grid","Bristol Bay","DFO","IC","1398.9027000000001","5883.9000000000005","74.14","436.23234600000001","0.2377509305052771","409","42637","gallons","0.13799985927715366","PCE","12","Kokhanok",NA
"P194","330","Levelock Electrical Coop","Levelock","Levelock_grid","Bristol Bay","DFO","IC","1643.45415","5645.5000000000009","74.14","418.55737000000005","0.29110869719245414","480.5","40910","gallons","0.13799804448790029","PCE","12","Levelock",NA
"P196","321","Manokotak Power Company","Manokotak","Manokotak_grid","Bristol Bay","DFO","IC","4740.9667577999999","16432.100000000002","74.14","1218.2758940000001","0.28851861647628724","1386.126","119073","gallons","0.13800021835344706","PCE","12","Manokotak",NA
"P207","22","Naknek Electric Association","Naknek","Naknek_grid","Bristol Bay","DFO","IC","74549.303438999996","192661","74.14","14283.886540000001","0.38694548164392378","21796.129999999997","1396096","gallons","0.13799982236178601","PCE","12","Naknek, South Naknek, King Salmon",NA
"P213","661","New Koliganek Village Council","Koliganek","Koliganek_grid","Bristol Bay","DFO","IC","2550.9555083999999","9344.9000000000015","74.14","692.83088600000008","0.27297836342817999","745.82799999999997","67716","gallons","0.13800135861539373","PCE","12","Koliganek",NA
"P224","45","Nushagak Electric Cooperative","Dillingham","Dillingham_grid","Bristol Bay","DFO","IC","64339.263299999999","176866.9","74.14","13112.911966","0.36377221119384123","18811","1281644","gallons","0.13800002184694032","PCE","12","Dillingham, Aleknagik",NA
"P227","662","Pedro Bay Village Council","Pedro Bay","Pedro Bay_grid","Bristol Bay","DFO","IC","636.30235110000001","2359.4","74.14","174.925916","0.26968820509451558","186.03700000000001","17098","gallons","0.13799274768978828","PCE","12","Pedro Bay",NA
"P230","425","Pilot Point Electric Utility","Pilot Point","Pilot Point_grid","Bristol Bay","DFO","IC","1416.5856509999999","5296","74.14","392.64544000000001","0.26748218485649544","414.16999999999996","38377","gallons","0.1379993225108789","PCE","12","Pilot Point",NA
"P232","399","Port Heiden Utilities","Port Heiden","Port Heiden_grid","Bristol Bay","DFO","IC","1797.7575641999997","7620.4999999999991","74.14","564.98386999999991","0.23591070982219015","525.61399999999992","55220","gallons","0.13800253531329226","PCE","12","Port Heiden",NA
"P248","447","Tanalian Electric Cooperative","Port Alsworth","Port Alsworth_grid","Bristol Bay","DFO","IC","2839.3825667999999","9184.2000000000007","74.14","680.91658800000016","0.30915948768537266","830.15599999999995","66553","gallons","0.13799828707947051","PCE","12","Port Alsworth",NA
"P61","169","Alaska Village Electric Cooperative","New Stuyahok","New Stuyahok_grid","Bristol Bay","DFO","IC","4696.4070893999997","14030.2","74.14","1040.199028","0.33473557678436511","1373.098","101669","gallons","0.13799880002754036","PCE","12","New Stuyahok",NA
"P75","169","Alaska Village Electric Cooperative","Togiak","Togiak_grid","Bristol Bay","DFO","IC","10458.227367900001","30900.800000000003","74.14","2290.9853120000002","0.33844519779099569","3057.6930000000002","223918","gallons","0.13800051804678501","PCE","12","Togiak",NA
"P116","658","Chignik Lagoon Power Utility","Chignik Lagoon","Chignik Lagoon_grid","Bristol Bay","WND","WT","0","0","0","0","-","0","-",NA,"-","0","0","Chignik Lagoon",NA
"P118","297","Chignik, City of","Chignik Bay","Chignik_grid","Bristol Bay","WAT","HY","0","0","0","0","-","0","-",NA,"-","0","0","Chignik",NA
"P211","659","Native Village of Perryville","Perryville","Perryville_grid","Bristol Bay","WND","WT","0","0","0","0","-","0","-",NA,"-","0","0","Perryville",NA
"P211","659","Native Village of Perryville","Perryville","Perryville_grid","Bristol Bay","SUN","PV","0","0","0","0","-","0","-",NA,"-","0","0","Perryville",NA
"P211","659","Native Village of Perryville","Perryville","Perryville_grid","Bristol Bay","DFO","IC","0","0","74.14","0","-","0","-","gallons","-","0","0","Perryville",NA
"P230","425","Pilot Point Electric Utility","Pilot Point","Pilot Point_grid","Bristol Bay","WND","WT","0","0","0","0","-","0","-",NA,"-","0","0","Pilot Point",NA
"P232","399","Port Heiden Utilities","Port Heiden","Port Heiden_grid","Bristol Bay","WND","WT","0","0","0","0","-","0","-",NA,"-","0","0","Port Heiden",NA
"P260","729","Twin Hills Village Council","Twin Hills","Twin Hills_grid","Bristol Bay","DFO","IC","0","0","74.14","0","-","0","-","gallons","-","0","0","Twin Hills",NA
"P115","686","Chenega Ira Council","Chenega Bay","Chenega_grid","Copper River/Chugach","DFO","IC","882.79653150000013","3017.5000000000009","74.14","223.71745000000007","0.29255891681855839","258.10500000000002","21866","gallons","0.13799963413518709","PCE","12","Chenega Bay",NA
"P119","368","Chitina Electric Inc","Chitina","Chitina_grid","Copper River/Chugach","DFO","IC","1584.4334532000003","5386.5999999999995","74.14","399.36252399999995","0.29414351412765016","463.24400000000003","39034","gallons","0.13799764308039145","PCE","12","Chitina",NA
"P126","10","Copper Valley Elec Assn Inc","Allison Creek Hydro","CopperValley_grid","Copper River/Chugach","WAT","HY","0","0","0","0","-","0","-",NA,"-","0","0","0",NA
"P127","10","Copper Valley Elec Assn, Inc","Glennallen","CopperValley_grid","Copper River/Chugach","DFO","IC","31138.411200000002","92307.1","74.14","6843.6483940000007","0.33733495256594564","9104","668892","gallons","0.13800000598003864","EIA923","12","0",NA
"P128","10","Copper Valley Elec Assn, Inc","Solomon Gulch","CopperValley_grid","Copper River/Chugach","WAT","HY","187962.58650000003","0","0","0","-","54955.000000000007","0",NA,"-","EIA923","12","0",NA
"P129","10","Copper Valley Elec Assn, Inc","Valdez","CopperValley_grid","Copper River/Chugach","DFO","IC","6765.3534","32283.899999999998","74.14","2393.5283460000001","0.20955812030145057","1978","233940","gallons","0.13800076942805847","EIA923","12","0",NA
"P130","10","Copper Valley Elec Assn, Inc","Valdez Cogen","CopperValley_grid","Copper River/Chugach","WO","GT","72568.505099999995","244642","74","18103.508000000002","0.29663142510280327","21216.999999999996","2208780","gallons","0.11075888046795063","EIA923","12","0",NA
"P132","160","Cordova Electric Cooperative","Humpback Creek","Cordova_grid","Copper River/Chugach","WAT","HY","10602.93","0","0","0","-","3100","0",NA,"-","EIA923","12","Cordova, Eyak",NA
"P133","160","Cordova Electric Cooperative","Orca","Cordova_grid","Copper River/Chugach","DFO","IC","25891.671000000002","76507.200000000012","74.14","5672.2438080000011","0.33842136426375552","7570","554400","gallons","0.13800000000000001","EIA923","12","Cordova, Eyak",NA
"P134","160","Cordova Electric Cooperative","Power Creek","Cordova_grid","Copper River/Chugach","WAT","HY","56520.457500000004","0","0","0","-","16525","0",NA,"-","EIA923","12","Cordova, Eyak",NA
"P250","586","Tatitlek Village Ira Council","Tatitlek","Tatitlek_grid","Copper River/Chugach","DFO","IC","1508.8721855999997","2475.5","74.14","183.53357","0.60952219171884459","441.15199999999993","17938","gallons","0.13800312186419891","PCE","12","Tatitlek",NA
"P292","160","Cordova Electric Cooperative","Cordova, Eyak","Cordova_grid","Copper River/Chugach","WAT","HY","0","0","0","0","-","0","-",NA,"-","0","0","Cordova, Eyak",NA
"P292","160","Cordova Electric Cooperative","Cordova, Eyak","Cordova_grid","Copper River/Chugach","DFO","IC","0","0","74.14","0","-","0","-","gallons","-","0","0","Cordova, Eyak",NA
"P27","2","Alaska Power & Telephone Company","Slana","Slana_grid","Copper River/Chugach","DFO","IC","3538.2319440000001","11159.8","74.14","827.38757199999998","0.31705155504578936","1034.48","80868","gallons","0.13800019785329176","PCE","12","Slana",NA
"P129","10","Copper Valley Elec Assn, Inc","Valdez","CopperValley_grid","Copper River/Chugach","DFO","GT","99.188699999999997","516.20000000000005","74.14","38.271068000000007","0.19215168539325841","29","3738","gallons","0.1380952380952381","EIA923","12","0",NA
"P130","10","Copper Valley Elec Assn Inc","Valdez Cogen","CopperValley_grid","Copper River/Chugach","JF","IC","0","0","72.233333333333306","0","-","0","-","gallons","-","0","0","0",NA
"P130","10","Copper Valley Elec Assn, Inc","Valdez Cogen","CopperValley_grid","Copper River/Chugach","JF","GT","0","0","72.233333333333306","0","-","0","0","gallons","-","EIA923","12","0",NA
"P32","2","Alaska Power & Telephone Company","Chistochina","Slana_grid","Copper River/Chugach","DFO","IC","985.94935920000012","3414.4999999999995","74.14","253.15102999999996","0.28875365623078059","288.26400000000001","24741","gallons","0.13800978133462671","PCE","12","Slana",NA
"P38","2","Alaska Power & Telephone Company","Mentasta Lake","Slana_grid","Copper River/Chugach","DFO","IC","0","0","74.14","0","-","0","-","gallons","-","0","0","Slana",NA
"P100","683","Alutiiq Power Company","Karluk","Karluk_grid","Kodiak","DFO","IC","822.54794700000002","2969.5","74.14","220.15873000000002","0.27699880350227313","240.49","21518","gallons","0.13800074356352821","PCE","12","Karluk",NA
"P180","16","Kodiak Electric Assn Inc","ESS Battery Microgrid","Kodiak_grid","Kodiak","MWH","BA","0","0","0","0","-","0","-","MWH","-","0","0","Kodiak, Kodiak Station, Port Lions, Chiniak, Woody Island",NA
"P181","16","Kodiak Electric Assn Inc","Flywheel Energy Storage System Microgrid","Kodiak_grid","Kodiak","MWH","FW","0","0","0","0","-","0","-","MWH","-","0","0","Kodiak, Kodiak Station, Port Lions, Chiniak, Woody Island",NA
"P182","16","Kodiak Electric Assn Inc","Kodiak Microgrid","Kodiak_grid","Kodiak","DFO","IC","0","2984.7999999999997","74.14","221.293072","0","0","21630","gallons","0.1379935275080906","EIA923","12","Kodiak, Kodiak Station, Port Lions, Chiniak, Woody Island",NA
"P183","16","Kodiak Electric Assn Inc","Nymans Plant Microgrid","Kodiak_grid","Kodiak","DFO","IC","0","881","74.14","65.317340000000002","0","0","6384","gallons","0.13800125313283207","EIA923","12","Kodiak, Kodiak Station, Port Lions, Chiniak, Woody Island",NA
"P184","16","Kodiak Electric Assn Inc","Pillar Mountain Wind Project Microgrid","Kodiak_grid","Kodiak","WND","WT","79771.656900000002","221802","0","0","0.359652559039143","23323","0",NA,"-","EIA923","12","Kodiak, Kodiak Station, Port Lions, Chiniak, Woody Island",NA
"P186","16","Kodiak Electric Assn Inc","Swampy Acres Microgrid","Kodiak_grid","Kodiak","DFO","IC","0","0","74.14","0","-","0","-","gallons","-","0","0","Kodiak, Kodiak Station, Port Lions, Chiniak, Woody Island",NA
"P187","16","Kodiak Electric Assn Inc","Terror Lake Microgrid","Kodiak_grid","Kodiak","WAT","HY","458426.22929999989","0","0","0","-","134030.99999999997","0",NA,"-","EIA923","12","Kodiak, Kodiak Station, Port Lions, Chiniak, Woody Island",NA
"P2","449","Akhiok, City of","Akhiok","Akhiok_grid","Kodiak","DFO","IC","862.81513889999997","3477.8000000000006","74.14","257.84409200000005","0.24809222465351655","252.26299999999998","25200","gallons","0.13800793650793652","PCE","12","Akhiok",NA
"P225","357","Ouzinkie, City of","Ouzinkie","Ouzinkie_grid","Kodiak","DFO","IC","2312.8957878000001","6865.1","74.14","508.97851400000002","0.33690635064310787","676.226","49748","gallons","0.13799750743748493","PCE","12","Ouzinkie",NA
"P91","169","Alaska Village Electric Cooperative","Old Harbor","Old Harbor_grid","Kodiak","DFO","IC","2907.6346533000001","8343.4000000000015","74.14","618.57967600000006","0.34849517622312243","850.11099999999999","60459","gallons","0.13800095932780895","PCE","12","Old Harbor",NA
"P185","16","Kodiak Electric Assn Inc","Port Lions Microgrid","Kodiak_grid","Kodiak","DFO","IC","0","0","74.14","0","-","0","0","gallons","-","EIA923","12","Kodiak, Kodiak Station, Port Lions, Chiniak, Woody Island",NA
"P193","353","Larsen Bay Utility Company","Larsen Bay","Larsen Bay_grid","Kodiak","WAT","HY","2540.2431288000002","0","0","0","-","742.69600000000003","0",NA,"-","PCE","12","Larsen Bay",NA
"P193","353","Larsen Bay Utility Company","Larsen Bay","Larsen Bay_grid","Kodiak","DFO","IC","1671.2338265999999","30552.999999999996","74.14","2265.1994199999999","5.4699500101463037E-2","488.62199999999996","221399","gallons","0.13799971996260144","PCE","12","Larsen Bay",NA
"P225","357","Ouzinkie, City of","Ouzinkie","Ouzinkie_grid","Kodiak","WAT","HY","488.66168129999994","0","0","0","-","142.87099999999998","0",NA,"-","PCE","5","Ouzinkie",NA
"P105","5","Aniak Light & Power","Aniak","Aniak_grid","Lower Yukon-Kuskokwim","DFO","IC","8994.02088","28681.8","74.14","2126.4686519999996","0.31357937367947619","2629.6","207840","gallons","0.13799942263279447","PCE","12","Aniak",NA
"P108","337","Atmautluak Tribal Utilities","Atmautluak","Atmautluak_grid","Lower Yukon-Kuskokwim","DFO","IC","2240.9155743000001","6695.6","74.14","496.41178400000007","0.33468480409522672","655.18100000000004","48519","gallons","0.13799954656938521","PCE","12","Atmautluak",NA
"P178","446","Kipnuk Light Plant","Kipnuk","Kipnuk_grid","Lower Yukon-Kuskokwim","WND","WT","0","0","0","0","-","0","-",NA,"-","0","0","Kipnuk",NA
"P178","446","Kipnuk Light Plant","Kipnuk","Kipnuk_grid","Lower Yukon-Kuskokwim","DFO","IC","6228.3252563999986","18759.2","74.14","1390.807088","0.33201443859013169","1820.9879999999996","135937","gallons","0.13799922022701694","PCE","12","Kipnuk",NA
"P191","281","Kwethluk Incorporated d/b/a Kuiggluum Kallugvia","Kwethluk","Kwethluk_grid","Lower Yukon-Kuskokwim","DFO","IC","5135.5530875999993","16022.9","74.14","1187.9378059999999","0.3205133332667619","1501.4919999999997","116108","gallons","0.13799996554931615","PCE","12","Kwethluk",NA
"P192","376","Kwigillingok Power Company","Kwigillingok","Kwigillingok_grid","Lower Yukon-Kuskokwim","WND","WT","720.41436869999995","0","0","0","-","210.62899999999999","0",NA,"-","PCE","9","Kwigillingok",NA
"P192","376","Kwigillingok Power Company","Kwigillingok","Kwigillingok_grid","Lower Yukon-Kuskokwim","DFO","IC","3775.0911392999992","11786.4","74.14","873.84369600000002","0.32029212815617997","1103.7309999999998","85409","gallons","0.13799950824854523","PCE","12","Kwigillingok",NA
"P195","570","Lime Village Electric Utility","Lime Village","Lime Village_grid","Lower Yukon-Kuskokwim","DFO","IC","246.01191809999997","1035.3000000000002","74.14","76.757142000000002","0.23762379802955658","71.926999999999992","7503","gallons","0.13798480607756899","PCE","12","Lime Village",NA
